SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 1, 0, 0, 1, 0, 0, 14425, 0, 
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 2, 0, 0, 2, 0, 0, 21536, 0, 0, 
4, 0, 1, 0, 0, 1, 0, 0, 107, 0, 
5, 2, 0, 0, 2, 0, 0, 11706, 0, 0, 
6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7, 1, 1, 0, 1, 1, 0, 5386, 7266, 0, 
8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9, 1, 1, 0, 1, 1, 0, 6087, 13664, 0, 
10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
11, 1, 0, 0, 1, 0, 0, 5111, 0, 0, 
12, 1, 0, 0, 1, 0, 0, 5722, 0, 0, 
13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
17, 1, 0, 0, 1, 0, 0, 6599, 0, 0, 
18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
19, 1, 0, 0, 1, 0, 0, 2514, 0, 0, 
20, 1125, 1, 0, 2, 1, 0, 5249862, 12776, 0, 
21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
22, 1, 0, 0, 1, 0, 0, 3073, 0, 0, 
23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
24, 0, 1, 0, 0, 1, 0, 0, 1824, 0, 
25, 4, 0, 0, 3, 0, 0, 14190, 0, 0, 
26, 1, 0, 0, 1, 0, 0, 1097, 0, 0, 
27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
29, 1, 0, 0, 1, 0, 0, 3531, 0, 0, 
30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
