Time,ROS,AgentName,CohortsKilled,DamagedSites,TotalBiomassMortality,MeanSeverity,ClimateThreshold1,ClimateThreshold2,
1, 1, WPBR_chronic, 3, 1, 1795, 1, 0, 2.96, 
2, 1, WPBR_chronic, 3, 1, 1466, 1, 6.51, 1.98, 
3, 1, WPBR_chronic, 7, 1, 1209, 1, 13.09, 1.31, 
4, 1, WPBR_chronic, 4, 2, 667, 1, 17.72, 1.31, 
5, 1, WPBR_chronic, 1, 1, 112, 1, 21.47, 4.25, 
7, 1, WPBR_chronic, 5, 3, 928, 1, 567.91, 1.62, 
8, 1, WPBR_chronic, 5, 1, 1528, 1, 567.83, 8.47, 
9, 1, WPBR_chronic, 2, 2, 438, 1, 568.39, 8.47, 
10, 1, WPBR_chronic, 1, 1, 144, 1, 568.82, -4.63, 
11, 1, WPBR_chronic, 8, 2, 2656, 1, 405.75, 3.61, 
12, 1, WPBR_chronic, 30, 3, 10205, 1, 408.53, 1.27, 
13, 1, WPBR_chronic, 2, 1, 352, 1, 409.98, 3.56, 
14, 1, WPBR_chronic, 4, 1, 1632, 1, 411.3, 1.31, 
15, 1, WPBR_chronic, 10, 2, 2327, 1, 412.13, 5.84, 
16, 2, JeffreyPineBeetle, 8212, 1200, 3705490, 1.22, 638.3, 3.56, 
16, 3, JeffreyPineBeetle, 6559, 1045, 2742890, 2.03, 638.3, 3.56, 
16, 1, MountainPineBeetle, 2831, 555, 897237, 1, 638.3, 3.56, 
16, 1, FirEngraver, 6520, 364, 3616096, 1, 638.3, 3.56, 
16, 3, FirEngraver_Peak, 119431, 7929, 61029519, 2.03, 638.3, 3.56, 
16, 1, WPBR_chronic, 7, 2, 2858, 1, 638.3, 3.56, 
16, 1, WPineBeetle, 2089, 280, 741574, 1.76, 638.3, 3.56, 
17, 3, JeffreyPineBeetle, 12322, 1843, 5444675, 2.01, 636.35, 4.46, 
17, 3, JeffreyPineBeetle, 6843, 1062, 2886807, 2.03, 636.35, 4.46, 
17, 2, MountainPineBeetle, 5323, 1052, 1650426, 1.53, 636.35, 4.46, 
17, 3, FirEngraver, 19032, 1087, 10184026, 1.01, 636.35, 4.46, 
17, 3, FirEngraver_Peak, 116380, 7743, 59966797, 2.03, 636.35, 4.46, 
17, 2, WPineBeetle, 4233, 579, 1488532, 2.73, 636.35, 4.46, 
18, 1, JeffreyPineBeetle, 3928, 562, 1734707, 1, 634.17, 6.89, 
18, 3, JeffreyPineBeetle, 6621, 1079, 2799570, 2.04, 634.17, 6.89, 
18, 3, MountainPineBeetle, 7816, 1556, 2488310, 1.91, 634.17, 6.89, 
18, 1, MountainPineBeetle, 3269, 628, 990791, 1.46, 634.17, 6.89, 
18, 3, FirEngraver, 18171, 1063, 10032057, 1.01, 634.17, 6.89, 
18, 2, FirEngraver_Peak, 76222, 5042, 39548611, 1.97, 634.17, 6.89, 
18, 1, WPBR_chronic, 2, 1, 781, 1, 634.17, 6.89, 
18, 1, WPineBeetle, 1918, 275, 700864, 1.78, 634.17, 6.89, 
19, 2, JeffreyPineBeetle, 7757, 1150, 3422943, 1.25, 632.31, 3.78, 
19, 1, JeffreyPineBeetle, 2156, 351, 914584, 1, 632.31, 3.78, 
19, 3, MountainPineBeetle, 8120, 1642, 2553893, 1.9, 632.31, 3.78, 
19, 1, FirEngraver, 6099, 342, 3347385, 1, 632.31, 3.78, 
19, 2, FirEngraver_Peak, 72936, 4882, 37822729, 1.97, 632.31, 3.78, 
19, 1, WPBR_chronic, 3, 2, 1192, 1, 632.31, 3.78, 
19, 1, WPineBeetle, 2185, 299, 774082, 1.76, 632.31, 3.78, 
20, 1, JeffreyPineBeetle, 3859, 577, 1672290, 1, 631.8, 4.54, 
20, 3, JeffreyPineBeetle, 6296, 1019, 2581751, 2.04, 631.8, 4.54, 
20, 2, MountainPineBeetle, 5119, 1021, 1624774, 1.51, 631.8, 4.54, 
20, 2, MountainPineBeetle, 6868, 1305, 2124885, 2.46, 631.8, 4.54, 
20, 3, FirEngraver, 18776, 1068, 10231615, 1.01, 631.8, 4.54, 
20, 2, FirEngraver_Peak, 68671, 4721, 35494050, 1.97, 631.8, 4.54, 
20, 3, WPineBeetle, 5775, 781, 2051193, 2.91, 631.8, 4.54, 
21, 1, WPBR_chronic, 3, 2, 848, 1, 568.26, 5.84, 
23, 1, WPBR_chronic, 6, 3, 1545, 1, 571.9, 2.94, 
25, 1, WPBR_chronic, 1, 1, 511, 1, 571.84, 4.56, 
26, 1, WPBR_chronic, 11, 3, 3827, 1, 609.42, 1.04, 
27, 2, FirEngraver, 12647, 761, 6904252, 1, 609.36, 4.54, 
27, 1, WPBR_chronic, 1, 1, 260, 1, 609.36, 4.54, 
28, 1, WPBR_chronic, 1, 1, 29, 1, 609.49, 1.62, 
29, 3, FirEngraver, 19097, 1139, 10227728, 1.01, 609.36, 5.84, 
29, 1, WPBR_chronic, 2, 2, 702, 1, 609.36, 5.84, 
30, 1, WPBR_chronic, 4, 2, 1278, 1, 609.54, 1.31, 
