EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
1, 1, 475, 362, 10.9376926366815, 292, 183, Lightning, 1, 1, 23, 40, 6.120369828, 5.94722544790688, 133.5257067, NaN, 10.94, NaN, 0, 0, 0.129999995231628, 0.90099, 0, 329, 17848, 
2, 3, 693, 535, 0.677892169780125, 83, 8, Lightning, 1, 1, 16, 29, 5.4845506656, 6.40510309817669, 286.6398143, NaN, 0.68, NaN, 0, 0, 0.114384353160858, 1, 0, 294, 3923, 
3, 4, 462, 143, 43.3894615148111, 256, 870, Accidental, 1, 1, 17, 69, 15.239370798, 17.1444244217764, 223.42905676, NaN, 43.39, NaN, 0, 0, 0.129999995231628, 1, 1177, 223, 5147, 
4, 8, 634, 190, 30.3949728487235, 151, 688, Accidental, 1, 1, 21, 76, 16.8789839688, 21.4756379745872, 184.688606658, NaN, 30.39, NaN, 732.528241146077, 632.394021296898, 0.150000005960464, 0.384515247770762, 346, 265, 10771, 
5, 8, 331, 90, 37.556606244484, 196, 719, Accidental, 1, 1, 33, 41, 11.50520256, 12.5573510531355, 183.1958896, NaN, 37.56, NaN, 698.088905007282, 540.140393534116, 0.129999995231628, 0.30190492508514, 0, 425, 9462, 
6, 10, 650, 147, 48.2025170944033, 291, 598, Accidental, 2, 320, 5211, 12084, 17.5063971662436, 20.1804529843877, 184.862888101735, 0, 45.24, 0.676735299543388, 733.113184584173, 643.714191806708, 0.164192106551491, 0.235825407962115, 197.753125, 324.14, 1591131, 
7, 11, 632, 163, 31.9040104378772, 203, 546, Accidental, 1, 1, 20, 50, 7.3887933348, 5.57959546568735, 7.73396000000002, NaN, 31.9, NaN, 523.647742982827, 503.019482777462, 0.150000005960464, 0.499238880276242, 175, 286, 6764, 
8, 11, 367, 389, 27.4673265151536, 240, 518, Lightning, 1, 1, 22, 46, 7.1941155156, 10.2896315315172, 271.64522456, NaN, 27.47, NaN, 427.326673696067, 398.855673414568, 0.105287864804268, 0.391788715603507, 548, 328, 14451, 
9, 13, 139, 121, 10.6792905056187, 351, 355, Lightning, 1, 1, 19, 62, 16.6831898832, 22.6139727915852, 126.3830966, NaN, 10.68, NaN, 472.267704035394, 432.514228313729, 0.129999995231628, 0.580114068220379, 396, 245, 7457, 
10, 15, 541, 174, 38.0935859520516, 197, 675, Accidental, 1, 1, 20, 67, 8.885939256, 7.50096105674121, 48.2615634, NaN, 38.09, NaN, 472.267704035394, 402.190393832134, 0.150000005960464, 0.617352107978016, 339, 289, 6935, 
11, 16, 126, 251, 26.5676430300705, 190, 487, Lightning, 1, 1, 12, 51, 8.6167194444, 8.83592065422219, 235.8251304, NaN, 26.57, NaN, 725.460359530498, 671.242423330376, 0.209999173879623, 0.422273102437309, 636, 244, 3738, 
12, 18, 289, 505, 0.490489601615468, 29, 84, Lightning, 1, 1, 10, 53, 13.062559482, 13.8598353517424, 249.87544974, NaN, 0.49, NaN, 581.57472530957, 578.809384122459, 0.147400975227356, 0.640147534720749, 637, 203, 5230, 
13, 21, 580, 170, 40.0237806983718, 240, 685, Accidental, 1, 1, 15, 71, 8.4873054168, 5.31319020192675, 28.8782278, NaN, 40.02, NaN, 700.75242923438, 622.016145352575, 0.150947630405426, 0.71871655303919, 176, 225, 5355, 
