Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 0, 941, 0, 3687, 7370.5, 0, 0, 0, 0, 5, 238.7, 0, 0, 0, 3464.1, 346.4, 2371.7, 21.7, 1512, 266.8, 0, 0, 539.5, 903, 1013.3, 1231.1, 0, 0, 9.4, 3.8, 11.9, 0.1, 7.6, 26.7, 0, 0, 36, 45.3, 43.9, 49.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 213.5, 0, 0, 
0, eco2, 1, 5626, 0, 4720.7, 14309.1, 0, 0, 0, 0, 5, 294.1, 0, 0, 0, 6725.3, 672.5, 2201.1, 49.3, 1403.2, 247.6, 0, 0, 683.2, 1213.2, 1343.3, 1481, 0, 0, 17.5, 7.6, 11, 0.2, 7, 24.8, 0, 0, 45.6, 60.6, 55.5, 59.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257.8, 0, 0, 
0, eco3, 2, 6985, 0, 9864.5, 18439.5, 0, 0, 0, 0, 5, 540, 0, 0, 0, 8666.5, 866.7, 2652.5, 102.5, 1691, 298.4, 0, 0, 1235, 2274.7, 3217, 3137.8, 0, 0, 22.4, 9.4, 13.3, 0.5, 8.5, 29.8, 0, 0, 82.4, 113.7, 129.5, 125.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 494.5, 0, 0, 
0, eco4, 3, 6919, 0, 8373.2, 20405.2, 0, 0, 0, 0, 5, 491.1, 0, 0, 0, 9590.4, 959, 3185.2, 96.7, 2030.5, 358.3, 0, 0, 1202, 2144.6, 2706.2, 2320.4, 0, 0, 25.3, 9.4, 15.9, 0.5, 10.2, 35.8, 0, 0, 80.1, 107.2, 108.8, 92.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 439.9, 0, 0, 
0, eco5, 4, 6211, 0, 5727.8, 18251.5, 0, 0, 0, 0, 5, 371.2, 0, 0, 0, 8578.2, 857.8, 3256.3, 71.5, 2075.9, 366.3, 0, 0, 981.7, 1603.9, 1962.6, 1179.6, 0, 0, 24.8, 6, 16.3, 0.4, 10.4, 36.6, 0, 0, 65.4, 80.2, 78.8, 47.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 323.7, 0, 0, 
0, eco6, 5, 11464, 0, 8439.4, 22856.8, 0, 0, 0, 0, 5, 493.1, 0, 0, 0, 10742.7, 1074.3, 3247.5, 107.5, 2070.3, 365.3, 0, 0, 799.2, 2344, 2875.8, 2420.4, 0, 0, 35.9, 5.7, 16.2, 0.5, 10.4, 36.5, 0, 0, 53.3, 117.2, 115.3, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 434.6, 0, 0, 
0, eco7, 6, 6991, 0, 9529.9, 24565.7, 0, 0, 0, 0, 5, 549.9, 0, 0, 0, 11545.9, 1154.6, 3335.7, 127.1, 2126.5, 375.3, 0, 0, 872, 2743.9, 3044.8, 2869.2, 0, 0, 40.9, 6.3, 16.7, 0.6, 10.6, 37.5, 0, 0, 58.1, 137.2, 122, 114.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 485.4, 0, 0, 
0, eco8, 7, 1060, 0, 8584.6, 21046, 0, 0, 0, 0, 5, 515.1, 0, 0, 0, 9891.6, 989.2, 3317.6, 129.2, 2115, 373.2, 0, 0, 1228.7, 2845.7, 2561.1, 1949.2, 0, 0, 34.9, 5.3, 16.6, 0.6, 10.6, 37.3, 0, 0, 81.8, 142.3, 102.6, 78.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 457.6, 0, 0, 
5, eco1, 0, 941, 1.4, 4076.9, 8030.9, 154, 15.4, 34.1, 66.3, 20.94, 236.3, 7.9, 130.4, 13, 3616, 361.6, 2592.4, 51.2, 20.8, 108.1, 3.2, 4.9, 1003.1, 890.6, 951.6, 1231.7, 3.2, 0.3, 9.8, 4, 12.2, 0.4, 0.1, 8.6, 0, 0.2, 33.1, 55.9, 38, 49.5, 0, 1.4, 0, 0, 3.4, 0.6, -1.2, 0, 4.53, 5.1, 1.69, 17.8, 0.4, 1.6, 0.3, 206.3, 0.34, 0, 
5, eco2, 1, 5626, -145.9, 4908.7, 15663.3, 322.5, 32.3, 67.9, 136.8, 13.87, 287.9, 9.1, 277.9, 27.8, 7058.8, 705.9, 2637.3, 108.2, 40.7, 126.5, 6.2, 9.1, 1064.8, 1134.7, 1226.3, 1482.9, 6.6, 0.7, 18.3, 8, 11.6, 0.9, 0.2, 8.4, 0, 0.4, 38, 72, 49, 59.8, 0.1, 0.9, 0, 0, 3.6, 1.2, -1.4, 0, 4.71, 3.19, 2.54, 74.1, 1.7, 3.1, 0.7, 241.8, 0.23, 0, 
5, eco3, 2, 6985, -99.5, 9491, 19399.5, 378.2, 37.8, 77.3, 169.1, 17.55, 523.4, 14.7, 349, 34.9, 8732.8, 873.3, 3174.2, 177.3, 47.8, 137.8, 7.1, 10.1, 1483.1, 2184.9, 2681.1, 3141.9, 8.4, 0.9, 22.6, 9.5, 13.6, 1.4, 0.2, 9, 0, 0.4, 60, 143.9, 109.1, 126.8, 0.1, 1, 0, 0, 5.5, 2.6, -2.7, 0, 4.86, 4.99, 4.55, 226.2, 5.7, 3.5, 0.8, 467.1, 0.3, 0, 
