Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_AbieConc,CohortsHarvested_AbieMagn,CohortsHarvested_CaloDecu,CohortsHarvested_FX_R_SEED,CohortsHarvested_NOFX_R_SEED,CohortsHarvested_NOFX_NOR_SEED,CohortsHarvested_PinuAlbi,CohortsHarvested_PinuCont,CohortsHarvested_PinuJeff,CohortsHarvested_PinuLamb,CohortsHarvested_PinuMont,CohortsHarvested_PopuTrem,CohortsHarvested_TsugMert,CohortsHarvested_AcerMacr,CohortsHarvested_AescCali,CohortsHarvested_AlnuRhom,CohortsHarvested_ArbuMenz,CohortsHarvested_CornNutt,CohortsHarvested_JuniOcci,CohortsHarvested_LithDens,CohortsHarvested_PinuAtte,CohortsHarvested_PinuMono,CohortsHarvested_PinuPond,CohortsHarvested_PinuSabi,CohortsHarvested_PinuWash,CohortsHarvested_PseuMenz,CohortsHarvested_QuerChry,CohortsHarvested_QuerDoug,CohortsHarvested_QuerGarr,CohortsHarvested_QuerKell,CohortsHarvested_QuerWisl,CohortsHarvested_TaxuBrev,CohortsHarvested_TorrCali,CohortsHarvested_UmbeCali,BiomassHarvestedMg_AbieConc,BiomassHarvestedMg_AbieMagn,BiomassHarvestedMg_CaloDecu,BiomassHarvestedMg_FX_R_SEED,BiomassHarvestedMg_NOFX_R_SEED,BiomassHarvestedMg_NOFX_NOR_SEED,BiomassHarvestedMg_PinuAlbi,BiomassHarvestedMg_PinuCont,BiomassHarvestedMg_PinuJeff,BiomassHarvestedMg_PinuLamb,BiomassHarvestedMg_PinuMont,BiomassHarvestedMg_PopuTrem,BiomassHarvestedMg_TsugMert,BiomassHarvestedMg_AcerMacr,BiomassHarvestedMg_AescCali,BiomassHarvestedMg_AlnuRhom,BiomassHarvestedMg_ArbuMenz,BiomassHarvestedMg_CornNutt,BiomassHarvestedMg_JuniOcci,BiomassHarvestedMg_LithDens,BiomassHarvestedMg_PinuAtte,BiomassHarvestedMg_PinuMono,BiomassHarvestedMg_PinuPond,BiomassHarvestedMg_PinuSabi,BiomassHarvestedMg_PinuWash,BiomassHarvestedMg_PseuMenz,BiomassHarvestedMg_QuerChry,BiomassHarvestedMg_QuerDoug,BiomassHarvestedMg_QuerGarr,BiomassHarvestedMg_QuerKell,BiomassHarvestedMg_QuerWisl,BiomassHarvestedMg_TaxuBrev,BiomassHarvestedMg_TorrCali,BiomassHarvestedMg_UmbeCali,
1, 1, PIF_CC_28, 49303, 4, 250, 191, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, PIF_CC_28, 49921, 9, 315, 181, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, PIF_CC_28, 50350, 10, 0, 179, 1, 1, 429.01, 132.41, 0, 45, 10, 1, 0, 0, 0, 0, 2, 0, 9, 1, 1, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 8, 3, 0, 0, 4, 0, 0, 0, 0, 68.2344002008438, 13.6080000400543, 0, 0, 0, 0, 13.2840000391006, 0, 135.043200397491, 5.02200001478195, 3.30480000972748, 0, 24.5916000723839, 0, 0, 0, 0, 0, 6.28560001850128, 0, 0, 0, 0, 3.43440001010895, 0, 58.7736001729965, 22.5828000664711, 0, 0, 74.8440002202988, 0, 0, 0, 0, 
1, 1, PIF_CC_28, 50578, 10, 0, 171, 7, 7, 6931.69, 305.63, 0, 356, 148, 126, 18, 0, 0, 0, 0, 0, 11, 20, 3, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 17, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 4092.8652120471, 2292.94800674915, 115.894800341129, 0, 0, 0, 0, 0, 78.7968002319336, 109.576800322533, 28.9008000850678, 0, 0, 0, 0, 18.9864000558853, 34.8624001026154, 0, 0, 0, 0, 0, 104.522400307655, 0, 0, 10.1088000297546, 0, 0, 0, 33.0156000971794, 11.2104000329971, 0, 0, 0, 
1, 1, PIF_CC_28, 50579, 10, 0, 126, 1, 1, 283.05, 87.36, 0, 21, 4, 1, 0, 0, 0, 0, 0, 5, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.1880000829697, 4.3740000128746, 0, 0, 0, 0, 0, 84.4668002486229, 138.704400408268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27.3132000803947, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, PIF_CC_28, 51311, 3, 416, 63, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, PIF_CC_28, 51987, 3, 440, 192, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, PIF_CC_28, 52000, 2, 0, 200, 13, 13, 2182.08, 51.81, 0, 255, 46, 28, 0, 0, 0, 0, 0, 0, 100, 1, 0, 0, 3, 0, 0, 0, 0, 0, 7, 0, 0, 3, 39, 4, 0, 0, 2, 1, 0, 16, 5, 0, 0, 0, 283.46760083437, 168.156000494957, 0, 0, 0, 0, 0, 0, 1159.82280341387, 6.35040001869202, 0, 0, 19.7316000580788, 0, 0, 0, 0, 0, 40.7268001198769, 0, 0, 16.9128000497818, 295.682400870323, 20.9304000616074, 0, 0, 8.06760002374649, 4.43880001306534, 0, 120.852000355721, 36.9360001087189, 0, 0, 0, 
1, 1, PIF_CC_28, 55145, 5, 0, 189, 8, 8, 5079.67, 195.98, 0, 491, 61, 2, 73, 0, 0, 0, 0, 2, 13, 39, 0, 0, 2, 2, 0, 2, 4, 0, 0, 0, 0, 2, 95, 0, 0, 172, 0, 0, 0, 18, 4, 0, 0, 0, 580.381201708317, 7.22520002126694, 699.094802057743, 0, 0, 0, 0, 7.03080002069473, 63.2448001861572, 232.210800683498, 0, 0, 21.8052000641823, 8.00280002355576, 0, 15.7140000462532, 30.1320000886917, 0, 0, 0, 0, 11.3076000332832, 657.525601935387, 0, 0, 2501.28000736237, 0, 0, 0, 218.764800643921, 25.9524000763893, 0, 0, 0, 
1, 1, PIF_CC_28, 55535, 6, 386, 188, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
