Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_AbieConc,CohortsHarvested_AbieMagn,CohortsHarvested_CaloDecu,CohortsHarvested_FX_R_SEED,CohortsHarvested_NOFX_R_SEED,CohortsHarvested_NOFX_NOR_SEED,CohortsHarvested_PinuAlbi,CohortsHarvested_PinuCont,CohortsHarvested_PinuJeff,CohortsHarvested_PinuLamb,CohortsHarvested_PinuMont,CohortsHarvested_PopuTrem,CohortsHarvested_TsugMert,CohortsHarvested_AcerMacr,CohortsHarvested_AescCali,CohortsHarvested_AlnuRhom,CohortsHarvested_ArbuMenz,CohortsHarvested_CornNutt,CohortsHarvested_JuniOcci,CohortsHarvested_LithDens,CohortsHarvested_PinuAtte,CohortsHarvested_PinuMono,CohortsHarvested_PinuPond,CohortsHarvested_PinuSabi,CohortsHarvested_PinuWash,CohortsHarvested_PseuMenz,CohortsHarvested_QuerChry,CohortsHarvested_QuerDoug,CohortsHarvested_QuerGarr,CohortsHarvested_QuerKell,CohortsHarvested_QuerWisl,CohortsHarvested_TaxuBrev,CohortsHarvested_TorrCali,CohortsHarvested_UmbeCali,BiomassHarvestedMg_AbieConc,BiomassHarvestedMg_AbieMagn,BiomassHarvestedMg_CaloDecu,BiomassHarvestedMg_FX_R_SEED,BiomassHarvestedMg_NOFX_R_SEED,BiomassHarvestedMg_NOFX_NOR_SEED,BiomassHarvestedMg_PinuAlbi,BiomassHarvestedMg_PinuCont,BiomassHarvestedMg_PinuJeff,BiomassHarvestedMg_PinuLamb,BiomassHarvestedMg_PinuMont,BiomassHarvestedMg_PopuTrem,BiomassHarvestedMg_TsugMert,BiomassHarvestedMg_AcerMacr,BiomassHarvestedMg_AescCali,BiomassHarvestedMg_AlnuRhom,BiomassHarvestedMg_ArbuMenz,BiomassHarvestedMg_CornNutt,BiomassHarvestedMg_JuniOcci,BiomassHarvestedMg_LithDens,BiomassHarvestedMg_PinuAtte,BiomassHarvestedMg_PinuMono,BiomassHarvestedMg_PinuPond,BiomassHarvestedMg_PinuSabi,BiomassHarvestedMg_PinuWash,BiomassHarvestedMg_PseuMenz,BiomassHarvestedMg_QuerChry,BiomassHarvestedMg_QuerDoug,BiomassHarvestedMg_QuerGarr,BiomassHarvestedMg_QuerKell,BiomassHarvestedMg_QuerWisl,BiomassHarvestedMg_TaxuBrev,BiomassHarvestedMg_TorrCali,BiomassHarvestedMg_UmbeCali,
1, 1, PIF_CC_28, 30, 1168, 0, 14905.4904438734, 269, 158, 91, 0, 0, 0, 2, 7, 142, 61, 4, 0, 9, 2, 0, 5, 8, 0, 10, 0, 0, 5, 151, 5, 0, 182, 5, 1, 0, 40, 11, 0, 0, 0, 5053.1364148736, 2486.31120731831, 814.989602398872, 0, 0, 0, 13.2840000391006, 91.4976002693176, 1575.61200463772, 353.160001039505, 32.2056000947952, 0, 66.1284001946449, 8.00280002355576, 0, 34.7004001021385, 64.9944001913071, 0, 74.3256002187729, 0, 0, 28.220400083065, 1057.73040311336, 24.3648000717163, 0, 2570.16240756512, 30.6504000902176, 4.43880001306534, 0, 447.47640131712, 74.0988002181053, 0, 0, 0, 
1, 3, PIF_CC_30, 17, 656, 0, 10817.4852318406, 271, 108, 34, 0, 0, 0, 0, 0, 132, 22, 2, 2, 20, 0, 0, 0, 0, 0, 3, 0, 0, 0, 31, 0, 0, 1, 6, 1, 0, 15, 8, 0, 0, 0, 6719.98681977987, 1184.86800348759, 231.951600682735, 0, 0, 0, 0, 0, 1900.32480559349, 118.454400348663, 31.7844000935555, 11.1456000328064, 180.241200530529, 0, 0, 0, 0, 0, 23.3280000686646, 0, 0, 0, 166.17960048914, 0, 0, 3.69360001087189, 45.6516001343727, 6.15600001811981, 0, 144.115200424194, 49.6044001460075, 0, 0, 0, 
1, 5, PIF_CC_32, 15, 823, 0, 13430.1888395309, 245, 283, 19, 0, 0, 0, 0, 28, 140, 28, 9, 0, 5, 0, 0, 0, 0, 0, 9, 0, 0, 0, 20, 0, 0, 4, 0, 0, 0, 22, 11, 0, 0, 0, 4989.17881468535, 5576.59081641436, 121.435200357437, 0, 0, 0, 0, 185.392800545692, 1828.59120538235, 151.761600446701, 52.2288001537323, 0, 44.8740001320839, 0, 0, 0, 0, 0, 88.8732002615929, 0, 0, 0, 100.958400297165, 0, 0, 14.7744000434875, 0, 0, 0, 219.996000647545, 55.5336001634598, 0, 0, 0, 
1, 7, PIF_CC_34, 36, 1848, 0, 30832.5528907537, 595, 673, 54, 0, 0, 0, 0, 52, 335, 42, 13, 0, 17, 0, 0, 0, 0, 4, 11, 0, 0, 0, 17, 1, 0, 2, 4, 3, 0, 20, 5, 0, 0, 0, 12352.1436363578, 12503.2572368026, 324.000000953674, 0, 0, 0, 0, 450.975601327419, 4235.71681246758, 202.986000597477, 94.7700002789497, 0, 181.731600534916, 0, 0, 0, 0, 16.9452000498772, 152.701200449467, 0, 0, 0, 76.010400223732, 5.63760001659393, 0, 11.2752000331879, 32.5944000959396, 13.4136000394821, 0, 147.258000433445, 31.1364000916481, 0, 0, 0, 
1, 4, PIF_PCT_31, 25, 690, 31, 7535.65682218075, 70, 1, 84, 0, 0, 0, 0, 1, 2, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 3, 0, 524, 0, 0, 0, 0, 0, 0, 0, 0, 735.123602163792, 4.05000001192093, 671.101201975346, 0, 0, 0, 0, 3.11040000915527, 8.71560002565384, 0, 0, 0, 75.39480022192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119.361600351334, 13.8348000407219, 0, 5904.9648173809, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 31, FED_SGH_10, 20, 743, 147, 8703.41762561798, 218, 0, 146, 0, 0, 0, 2, 0, 11, 6, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 372, 0, 0, 0, 0, 0, 0, 0, 0, 2875.46760846376, 0, 1180.20240347385, 0, 0, 0, 13.575600039959, 0, 90.0720002651215, 15.7464000463486, 0, 0, 78.9912002325058, 0, 0, 0, 0, 0, 0, 0, 0, 0, 652.406401920319, 0, 0, 3796.95601117611, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 33, FED_SGH_12, 21, 575, 204, 6900.87602031231, 80, 2, 99, 0, 0, 0, 0, 0, 7, 23, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 174, 0, 0, 389, 0, 0, 0, 0, 0, 0, 0, 0, 706.028402078152, 7.77600002288818, 750.934802210331, 0, 0, 0, 0, 0, 40.5324001193047, 60.3612001776695, 0, 0, 28.9656000852585, 0, 0, 0, 0, 0, 10.2384000301361, 0, 0, 0, 1141.58160336018, 0, 0, 4154.45761222839, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 18, HAND_45, 23, 9, 435, 6010.13521769047, 153, 129, 17, 0, 0, 0, 2, 7, 87, 6, 12, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0, 0, 12, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2772.72720816135, 2145.7548063159, 80.3520002365112, 0, 0, 0, 8.16480002403259, 35.8992001056671, 749.379602205753, 15.4224000453949, 45.1332001328468, 0, 28.7064000844955, 0, 0, 0, 0, 0, 87.1884002566338, 0, 0, 0, 37.3248001098633, 4.0824000120163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 11, PNIF_SG_38, 22, 837, 189, 14099.6700415015, 393, 34, 200, 0, 0, 0, 0, 0, 18, 27, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 139, 3, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 8900.92802619934, 221.875200653076, 1758.57480517626, 0, 0, 0, 0, 0, 109.350000321865, 97.3296002864838, 8.78040002584457, 0, 0, 0, 0, 0, 0, 0, 6.54480001926422, 0, 0, 0, 979.128002882004, 11.2104000329971, 0, 2005.94880590439, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 13, PNIF_SG_40, 25, 760, 286, 16778.8908493876, 480, 77, 194, 0, 0, 0, 0, 8, 191, 39, 4, 0, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 43, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 11230.4232330561, 732.078002154827, 1874.63160551786, 0, 0, 0, 0, 75.2328002214432, 2353.63320692778, 130.442400383949, 21.6108000636101, 0, 10.8864000320435, 0, 0, 0, 0, 0, 134.460000395775, 0, 0, 0, 201.981600594521, 5.83200001716614, 0, 7.67880002260208, 0, 0, 0, 0, 0, 0, 0, 0, 
