SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 27, 1, 1, 9.77097998856518, Rx, 
1, 112, 1, 1, 11.2716684158427, Rx, 
1, 117, 1, 1, 9.47370575384391, Rx, 
1, 125, 1, 1, 11.7484204992119, Rx, 
1, 139, 1, 1, 13.1222446114534, Rx, 
1, 140, 1, 1, 12.9354784374898, Rx, 
1, 141, 1, 1, 14.6829663241387, Rx, 
1, 155, 1, 1, 32.6327391926087, Accidental, 
1, 167, 1, 1, 26.0565641712198, Rx, 
1, 178, 1, 1, 26.8569212333448, Rx, 
1, 183, 1, 1, 38.0397500072039, Rx, 
1, 191, 1, 1, 36.4020768412347, Rx, 
1, 192, 1, 1, 34.1721798859276, Rx, 
1, 195, 1, 1, 39.9193380475833, Rx, 
1, 196, 1, 1, 32.6219284751046, Rx, 
1, 197, 1, 1, 29.7956514100552, Rx, 
1, 198, 1, 1, 29.4175663487834, Rx, 
1, 199, 1, 1, 29.7659422436175, Rx, 
1, 200, 1, 1, 30.6572233054782, Rx, 
1, 201, 1, 1, 26.8461956875587, Rx, 
1, 209, 1, 1, 41.5223002433177, Rx, 
1, 210, 1, 1, 40.3140371389768, Rx, 
1, 211, 1, 1, 39.1205943431723, Rx, 
1, 215, 1, 1, 28.7976722556657, Rx, 
1, 216, 1, 1, 17.4936614068005, Rx, 
1, 217, 1, 1, 17.9322561724447, Rx, 
1, 218, 1, 1, 23.4226892271611, Rx, 
1, 221, 1, 1, 31.8948642948071, Rx, 
1, 222, 1, 1, 32.8582552148784, Rx, 
1, 234, 1, 1, 28.3302604915919, Rx, 
1, 237, 1, 1, 30.2858537173879, Rx, 
1, 255, 1, 1, 43.1354057473745, Accidental, 
1, 261, 1, 1, 25.1878595032926, Rx, 
1, 262, 1, 1, 26.3287971004248, Rx, 
1, 263, 1, 1, 20.5960278705313, Rx, 
1, 268, 1, 1, 13.7311319141886, Rx, 
1, 269, 1, 1, 11.712344222439, Rx, 
1, 270, 1, 1, 11.3816311345172, Rx, 
1, 271, 1, 1, 13.8581021247145, Rx, 
1, 288, 1, 1, 17.576081095517, Rx, 
1, 290, 1, 1, 17.7961241498982, Rx, 
1, 293, 1, 1, 16.1664494080552, Rx, 
