SpeciesCode,AgeDBH,MaximumBarkThickness
AbieConc,6.25,3.4
AbieMagn,12.5,3.7
AcerMacr,6.25,1.2
AescCali,6.25,1.2
AlnuRhom,5,1
ArbuMenz,7.5,4.3
CornNutt,5,1
CaloDecu,10,5.1
FX_R_SEED,2.5,0.5
JuniOcci,12.5,2.6
LithDens,10,1
NOFX_NOR_SEED,2.5,0.5
NOFX_R_SEED,2.5,0.5
PinuAlbi,12.5,1.3
PinuAtte,12.5,1.3
PinuCont,10,1.6
PinuJeff,10,5.3
PinuLamb,12.5,7
PinuMono,12.5,2.6
PinuMont,15,2.7
PinuPond,10,4.4
PinuSabi,10,3.4
PinuWash,10,4.4
PopuTrem,10,1.5
PseuMenz,10,4
QuerChry,6.25,1.9
QuerDoug,6.25,1.5
QuerGarr,6.25,1.5
QuerKell,6.25,1.6
QuerWisl,6.25,2.2
TaxuBrev,10,1
TorrCali,10,1
TsugMert,15,2.1
UmbeCali,10,1
