Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
1, AbieConc, 0, 0, 0, 32430, 
1, AbieMagn, 0, 0, 0, 25641, 
1, CaloDecu, 0, 0, 0, 18030, 
1, FX_R_SEED, 0, 0, 0, 13, 
1, NOFX_R_SEED, 0, 0, 0, 69, 
1, NOFX_NOR_SEED, 0, 0, 0, 5, 
1, PinuAlbi, 0, 0, 0, 2270, 
1, PinuCont, 0, 0, 0, 1072, 
1, PinuJeff, 0, 0, 0, 4634, 
1, PinuLamb, 0, 0, 0, 8878, 
1, PinuMont, 0, 0, 0, 6426, 
1, PopuTrem, 0, 0, 0, 250, 
1, TsugMert, 0, 0, 0, 0, 
1, AcerMacr, 0, 0, 0, 18, 
1, AescCali, 0, 0, 0, 278, 
1, AlnuRhom, 0, 0, 0, 0, 
1, ArbuMenz, 0, 0, 0, 977, 
1, CornNutt, 0, 0, 0, 0, 
1, JuniOcci, 0, 0, 0, 9092, 
1, LithDens, 0, 0, 0, 351, 
1, PinuAtte, 0, 0, 0, 2, 
1, PinuMono, 0, 0, 0, 32, 
1, PinuPond, 0, 0, 0, 5555, 
1, PinuSabi, 0, 0, 0, 2337, 
1, PinuWash, 0, 0, 0, 0, 
1, PseuMenz, 0, 0, 0, 20530, 
1, QuerChry, 0, 0, 0, 24186, 
1, QuerDoug, 0, 0, 0, 3867, 
1, QuerGarr, 0, 0, 0, 44, 
1, QuerKell, 0, 0, 0, 20430, 
1, QuerWisl, 0, 0, 0, 13567, 
1, TaxuBrev, 0, 0, 0, 2, 
1, TorrCali, 0, 0, 0, 99, 
1, UmbeCali, 0, 0, 0, 381, 
