Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,SoilWaterContent,
1, 7, eco1, 0, 5609, 0.1, 22.4, 1.83, 6.58, 1.88, 4.75, 0.04, 0, 0.05, 
1, 7, eco2, 1, 36603, 0, 24.5, 1.34, 12.88, 2.77, 11.54, 0.04, 0, 0.01, 
1, 7, eco3, 2, 41420, 0, 23.9, 1.45, 17.39, 3.46, 15.95, 0.04, 0, 0.01, 
1, 7, eco4, 3, 45644, 0, 22.5, 2.17, 17.93, 3.29, 15.76, 0.04, 0, 0.01, 
1, 7, eco5, 4, 41067, 0.1, 20.9, 3.07, 16.24, 2.88, 13.16, 0.04, 0, 0.02, 
1, 7, eco6, 5, 62055, 0.2, 18.2, 7.08, 14.41, 3.38, 7.33, 0.04, 0, 0.07, 
1, 7, eco7, 6, 34375, 0.3, 17, 8.68, 14.82, 3.75, 6.14, 0.04, 0, 0.08, 
1, 7, eco8, 7, 8287, 0.4, 16.1, 13.32, 14.32, 4.24, 1, 0.04, 0, 0.14, 
1, 7, eco9, 8, 336, 0.5, 15.2, 13.29, 9.84, 3.39, -3.45, 0.04, 0, 0.16, 
1, 7, eco10, 9, 18, 0.4, 14.1, 4.4, 3.44, 1.26, -0.96, 0.04, 0, 0.13, 
1, 8, eco1, 0, 5609, 0.2, 23.6, 3.23, 7.22, 2.22, 3.99, 0.04, 0, 0.11, 
1, 8, eco2, 1, 36603, 0, 25.6, 1.88, 13.69, 3.03, 11.81, 0.04, 0, 0.02, 
1, 8, eco3, 2, 41420, 0, 25, 2.05, 18.5, 3.78, 16.44, 0.04, 0, 0.01, 
1, 8, eco4, 3, 45644, 0.1, 23.5, 3.82, 19.19, 3.71, 15.37, 0.04, 0, 0.03, 
1, 8, eco5, 4, 41067, 0.1, 21.9, 6, 17.63, 3.44, 11.62, 0.04, 0, 0.06, 
1, 8, eco6, 5, 62055, 0.4, 19.2, 14.05, 16.56, 4.52, 2.51, 0.04, 0, 0.16, 
1, 8, eco7, 6, 34375, 0.5, 18.1, 18.38, 17.67, 5.33, -0.71, 0.04, 0, 0.2, 
1, 8, eco8, 7, 8287, 0.6, 17.4, 22.95, 17.3, 5.86, -5.65, 0.04, 0, 0.28, 
1, 8, eco9, 8, 336, 0.7, 16.6, 22.86, 12.17, 4.88, -10.68, 0.04, 0, 0.31, 
1, 8, eco10, 9, 18, 0.7, 15.5, 9.75, 4.47, 2.06, -5.29, 0.04, 0, 0.31, 
1, 9, eco1, 0, 5609, 0, 20.9, 2.25, 5.97, 1.81, 3.72, 0.04, 0, 0.1, 
1, 9, eco2, 1, 36603, 0, 23.1, 1.47, 11.58, 2.58, 10.11, 0.04, 0, 0.01, 
1, 9, eco3, 2, 41420, 0, 22.6, 1.61, 15.75, 3.24, 14.14, 0.04, 0, 0.01, 
1, 9, eco4, 3, 45644, 0, 21.2, 2.48, 16.34, 3.12, 13.86, 0.04, 0, 0.02, 
1, 9, eco5, 4, 41067, 0, 19.6, 3.46, 14.77, 2.75, 11.31, 0.04, 0, 0.04, 
1, 9, eco6, 5, 62055, 0, 16.5, 7.6, 12.93, 3.21, 5.33, 0.04, 0, 0.1, 
1, 9, eco7, 6, 34375, 0, 15.4, 9.95, 13.51, 3.68, 3.56, 0.04, 0, 0.13, 
1, 9, eco8, 7, 8287, 0.1, 14.6, 14.37, 13.1, 4.16, -1.26, 0.04, 0, 0.2, 
1, 9, eco9, 8, 336, 0.1, 13.8, 13.04, 8.94, 3.22, -4.1, 0.04, 0, 0.21, 
1, 9, eco10, 9, 18, 0, 12.9, 4.2, 3.17, 1.19, -1.03, 0.04, 0, 0.19, 
1, 10, eco1, 0, 5609, 0, 17.2, 2.48, 4.74, 1.52, 2.26, 0.04, 0, 0.09, 
1, 10, eco2, 1, 36603, 0, 19.6, 1.53, 9.28, 2.13, 7.75, 0.04, 0, 0.01, 
1, 10, eco3, 2, 41420, 0, 19.2, 1.64, 12.73, 2.68, 11.09, 0.04, 0, 0.01, 
1, 10, eco4, 3, 45644, 0, 17.8, 2.36, 13.19, 2.58, 10.83, 0.04, 0, 0.01, 
1, 10, eco5, 4, 41067, 0, 16.1, 2.92, 11.84, 2.24, 8.92, 0.04, 0, 0.02, 
1, 10, eco6, 5, 62055, 0, 12.6, 6.09, 10.04, 2.53, 3.94, 0.04, 0, 0.06, 
1, 10, eco7, 6, 34375, 0, 11.4, 8.08, 10.45, 2.9, 2.37, 0.04, 0, 0.09, 
1, 10, eco8, 7, 8287, 0, 10.6, 11.35, 10.18, 3.27, -1.17, 0.04, 0, 0.13, 
1, 10, eco9, 8, 336, 0, 10.1, 9.26, 6.92, 2.42, -2.34, 0.04, 0, 0.14, 
1, 10, eco10, 9, 18, 0, 9.2, 2.9, 2.44, 0.88, -0.46, 0.04, 0, 0.11, 
1, 11, eco1, 0, 5609, 10.7, 7.7, 12.54, 70.63, 14.98, 58.08, 0.08, 0.04, 1.58, 
1, 11, eco2, 1, 36603, 10.2, 9.8, 29.5, 152.62, 31.59, 123.13, 0.08, 0.04, 3.87, 
1, 11, eco3, 2, 41420, 11.1, 9.3, 35.59, 207.38, 39.32, 171.78, 0.08, 0.04, 4.57, 
1, 11, eco4, 3, 45644, 12.2, 7.9, 32.19, 214.43, 35.78, 182.25, 0.09, 0.07, 4.34, 
1, 11, eco5, 4, 41067, 12.7, 6.3, 24.85, 191.12, 28.23, 166.27, 0.09, 0.1, 3.47, 
1, 11, eco6, 5, 62055, 12.1, 3.4, 16.37, 162.76, 30.18, 146.39, 0.09, 0, 2.94, 
1, 11, eco7, 6, 34375, 12.9, 2.4, 14.58, 164.01, 30.59, 149.43, 0.09, 0, 2.8, 
1, 11, eco8, 7, 8287, 12.7, 1.5, 11.93, 152.37, 33.41, 140.44, 0.09, 0.01, 2.41, 
1, 11, eco9, 8, 336, 11.4, 0.8, 9.08, 102.31, 23.06, 93.24, 0.09, 0.01, 2.05, 
1, 11, eco10, 9, 18, 10.1, 0, 0.58, 1.18, 0.33, 0.6, 0.08, 0, 2.01, 
1, 12, eco1, 0, 5609, 10, 5.9, 7.72, 53.27, 11.09, 45.56, 0.08, 0.05, 1.88, 
1, 12, eco2, 1, 36603, 10.1, 8, 19.98, 109.4, 19.88, 89.43, 0.08, 0.08, 5.08, 
