Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 0, 1, 0, 4123, 35452, 0, 0, 0, 0, 5, 332.5, 0, 0, 0, 16662.4, 1666.2, 2836.9, 66.3, 1808.5, 319.2, 0, 0, 960, 1408, 1244, 511, 0, 0, 57.5, 8.6, 14.2, 0.3, 9, 31.9, 0, 0, 64, 71, 50, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 252, 0, 0, 
5, eco1, 0, 1, -145.3, 4460.2, 36108, 395.2, 39.5, 59.2, 269.4, 18.31, 326.5, 12.4, 455.5, 45.6, 16527.1, 1652.7, 3903.2, 182.3, 38.1, 137.3, 3.9, 7.3, 1536.1, 1216.2, 1194.3, 513.5, 14.3, 1.4, 57, 8.5, 17.5, 0.9, 0.2, 10.3, 0, 0.3, 54.6, 75.6, 45.9, 21.5, 0.1, 1.3, 0, 0, 4.6, 2.6, -2, 0, 4.27, 3.95, 2.07, 0, 0, 4.5, 1.2, 226.7, 0.31, 0, 
10, eco1, 0, 1, -135.5, 4218.2, 36456, 391, 39.1, 94, 268.8, 14.48, 315.6, 9.6, 699.9, 70, 16447, 1644.7, 4560.3, 276.2, 65.5, 127.1, 9.4, 17.7, 1400.5, 1100.1, 1201.4, 516.2, 22.2, 2.2, 56.8, 8.5, 19.2, 1.4, 0.3, 4.6, 0, 0.8, 42.7, 79.1, 41.2, 22, 0.1, -0.2, 0, -0.1, 3.6, 2.6, -2.1, 0, 4.93, 7.41, 3.49, 0, 0, 3.7, 1.9, 205.2, 0.26, 0, 
15, eco1, 0, 1, -108.2, 4182.6, 36277, 378.7, 37.9, 105.8, 266.4, 12.61, 309, 8.6, 788.9, 78.9, 16274.1, 1627.4, 4966.9, 349.8, 87.1, 147.5, 12.9, 24.3, 1413.7, 1021.2, 1229.2, 518.6, 25.2, 2.5, 56.3, 8.4, 20, 1.8, 0.4, 3.3, 0.1, 1.1, 34.7, 82.6, 37.5, 22.5, 0.1, -0.5, 0, -0.1, 2.7, 3, -2.5, 0, 4.51, 3, 1.7, 0, 0, 3.2, 2.2, 194.7, 0.23, 0, 
20, eco1, 0, 1, -20.4, 4296.1, 36100, 364.6, 36.5, 113.6, 264.5, 8.69, 304.3, 9.5, 844.2, 84.4, 16135.7, 1613.6, 5238.4, 411.2, 88.9, 163.7, 15.1, 28.3, 1502.8, 980.3, 1292, 520.9, 27, 2.7, 55.9, 8.4, 20.4, 2.1, 0.5, 3.2, 0.1, 1.2, 30.3, 86.3, 34.6, 23, 0.2, -0.7, 0, -0.1, 2.7, 3.7, -3.4, 0, 4.47, 4.11, 1.72, 0, 0, 2.8, 2.4, 187.8, 0.16, 0, 
25, eco1, 0, 1, -99.3, 4454.6, 35859, 423.1, 42.3, 116, 264.1, 5.66, 302.5, 9.4, 869.7, 87, 15995.9, 1599.6, 5402.3, 459.3, 94.2, 172.9, 15.7, 29.3, 1600.8, 966.8, 1363.7, 523.3, 27.8, 2.8, 55.4, 8.3, 20.6, 2.4, 0.5, 3.2, 0.1, 1.3, 27.9, 90.8, 32.3, 23.5, 0.1, -0.7, 0, -0.1, 2.1, 4.3, -4.3, 0, 4.34, 0.75, 0.16, 0, 0, 3.6, 2.4, 185.2, 0.11, 0, 
30, eco1, 0, 1, -123.7, 4610.2, 35505, 373.3, 37.3, 118.5, 261, 2.64, 302.1, 6.5, 877.4, 87.7, 15820.9, 1582.1, 5593.2, 502.7, 111, 188.7, 17.1, 31.9, 1688.2, 967.4, 1429.3, 525.3, 28.1, 2.8, 54.9, 8.2, 20.9, 2.6, 0.6, 3.5, 0.1, 1.4, 26.8, 94.9, 30.8, 23.9, 0.1, -0.6, 0, -0.1, 1.7, 2.8, -2.8, 0, 4.22, 3.4, 0.73, 0, 0, 2.8, 2.5, 184.6, 0.06, 0, 
35, eco1, 0, 1, -32.2, 4794.4, 35262, 322, 32.2, 119.8, 258.7, 1.4, 303.1, 7.3, 886.3, 88.6, 15700.1, 1570, 5615.5, 535.4, 108, 189.5, 18, 33.6, 1761.7, 981.7, 1523.3, 527.7, 28.4, 2.8, 54.5, 8.2, 20.7, 2.8, 0.6, 3.5, 0.1, 1.5, 26.1, 99.1, 29.2, 24.4, 0.1, -0.7, 0, 0, 1.8, 3.4, -3.4, 0, 4.6, 2.37, 0.42, 0, 0, 2.1, 2.5, 185.7, 0.03, 0, 
40, eco1, 0, 1, 47.8, 4944.6, 35046, 321.9, 32.2, 123, 258.3, 1.8, 304.2, 8.8, 892, 89.2, 15592.3, 1559.2, 5485.9, 551, 96.1, 176.2, 17.1, 31.9, 1799.8, 1008.3, 1605.9, 530.6, 28.6, 2.9, 54.2, 8.1, 20, 2.9, 0.5, 3.2, 0.1, 1.4, 25.2, 103.7, 26.8, 24.9, 0.2, -0.8, 0, 0, 2.2, 4.1, -4.5, 0, 4.7, 7.1, 1.08, 0, 0, 2, 2.6, 187.6, 0.03, 0, 
45, eco1, 0, 1, -28.3, 5040.9, 34834, 340, 34, 121.7, 257.5, 1.29, 305.5, 7.8, 896, 89.6, 15489.5, 1549, 5418.9, 562.5, 98.8, 177.3, 16.6, 30.7, 1817.6, 1039.8, 1650.1, 533.4, 28.7, 2.9, 53.9, 8.1, 19.6, 2.9, 0.5, 3.2, 0.1, 1.4, 24.6, 108.1, 25, 25.4, 0.1, -0.6, 0, 0, 1.8, 4, -4.4, 0, 4.39, 3.73, 0.61, 0, 0, 2.1, 2.6, 189.6, 0.03, 0, 
