Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, AbieConc, eco1, 392, 0, 1, 0.77, 0, 116.91, 0, 310.35, 
5, AbieConc, eco2, 3979, 0.25, 1, 0.72, 0.15, 136.59, 0, 308.62, 
5, AbieConc, eco3, 5033, 0.57, 1, 0.72, 0.34, 137.15, 1.79, 307.1, 
5, AbieConc, eco4, 4356, 0.82, 1, 0.73, 0.43, 131.82, 2.18, 304.31, 
5, AbieConc, eco5, 4333, 0.99, 1, 0.62, 0.37, 110.1, 101.21, 294.32, 
5, AbieConc, eco6, 9079, 0.89, 1, 0.51, 0.31, 105.22, 136.67, 290.13, 
5, AbieConc, eco7, 5572, 0.79, 1, 0.52, 0.31, 102.68, 139.05, 289.6, 
5, AbieConc, eco8, 817, 0.71, 1, 0.49, 0.3, 99.64, 141.19, 281.99, 
5, AbieConc, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AbieConc, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AbieMagn, eco1, 374, 0, 1, 0.77, 0, 116.82, 0, 310.22, 
5, AbieMagn, eco2, 3995, 0.03, 1, 0.71, 0.02, 136.69, 0, 308.77, 
5, AbieMagn, eco3, 5001, 0.42, 1, 0.71, 0.25, 136.91, 1.75, 307.03, 
5, AbieMagn, eco4, 4326, 0.73, 1, 0.72, 0.41, 131.71, 2.23, 304.44, 
5, AbieMagn, eco5, 4350, 0.97, 1, 0.61, 0.37, 110.18, 101.14, 294.28, 
5, AbieMagn, eco6, 9083, 0.92, 1, 0.49, 0.3, 105.23, 136.67, 290.1, 
5, AbieMagn, eco7, 5573, 0.83, 1, 0.5, 0.3, 102.67, 139.02, 289.6, 
5, AbieMagn, eco8, 837, 0.74, 1, 0.47, 0.28, 99.73, 141.26, 282, 
5, AbieMagn, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AbieMagn, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, CaloDecu, eco1, 400, 0, 1, 0.78, 0, 117.13, 0, 311.74, 
5, CaloDecu, eco2, 2598, 0.31, 1, 0.74, 0.18, 134.17, 0, 308.93, 
5, CaloDecu, eco3, 2751, 0.66, 1, 0.73, 0.39, 137.77, 1.91, 308.27, 
5, CaloDecu, eco4, 2474, 0.9, 1, 0.74, 0.43, 130.75, 2.94, 305.36, 
5, CaloDecu, eco5, 3228, 0.93, 1, 0.65, 0.39, 110.12, 100.23, 294.74, 
5, CaloDecu, eco6, 5748, 0.51, 1, 0.54, 0.29, 105.13, 136.08, 289.64, 
5, CaloDecu, eco7, 2999, 0.27, 1, 0.55, 0.16, 102.48, 138.69, 289.3, 
5, CaloDecu, eco8, 518, 0.07, 1, 0.52, 0.04, 99.91, 140.9, 281.7, 
5, CaloDecu, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, CaloDecu, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, FX_R_SEED, eco1, 418, 0.37, 1, 0.8, 0.22, 111.26, 0, 311.32, 
5, FX_R_SEED, eco2, 749, 0.55, 1, 0.76, 0.33, 124.38, 0, 308.25, 
5, FX_R_SEED, eco3, 617, 0.74, 1, 0.73, 0.42, 136.47, 3.75, 308.76, 
5, FX_R_SEED, eco4, 639, 0.91, 1, 0.74, 0.44, 128.64, 7.04, 306.39, 
5, FX_R_SEED, eco5, 889, 0.98, 1, 0.65, 0.39, 112.22, 97.04, 296.31, 
5, FX_R_SEED, eco6, 1201, 0.86, 1, 0.54, 0.32, 106.75, 132.3, 286.49, 
5, FX_R_SEED, eco7, 610, 0.77, 1, 0.52, 0.31, 108.23, 134.6, 286.7, 
5, FX_R_SEED, eco8, 92, 0.67, 1, 0.52, 0.31, 100.97, 139.23, 281.33, 
5, FX_R_SEED, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, FX_R_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_R_SEED, eco1, 418, 0.37, 1, 0.79, 0.22, 111.74, 0, 311.58, 
5, NOFX_R_SEED, eco2, 748, 0.56, 1, 0.76, 0.33, 124.18, 0, 308.23, 
5, NOFX_R_SEED, eco3, 594, 0.73, 1, 0.72, 0.41, 138.29, 3.87, 310.21, 
5, NOFX_R_SEED, eco4, 662, 0.91, 1, 0.75, 0.44, 126.77, 6.03, 306.19, 
5, NOFX_R_SEED, eco5, 910, 0.98, 1, 0.65, 0.39, 111.91, 96.45, 296.34, 
5, NOFX_R_SEED, eco6, 1206, 0.86, 1, 0.54, 0.32, 106.36, 132.43, 286.63, 
5, NOFX_R_SEED, eco7, 595, 0.77, 1, 0.52, 0.31, 108.05, 134.56, 286.63, 
5, NOFX_R_SEED, eco8, 88, 0.67, 1, 0.52, 0.31, 101.26, 139.53, 281.41, 
5, NOFX_R_SEED, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_R_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_NOR_SEED, eco1, 461, 0.37, 1, 0.79, 0.22, 114.78, 0, 312.03, 
5, NOFX_NOR_SEED, eco2, 1273, 0.55, 1, 0.76, 0.33, 127.88, 0, 308.65, 
5, NOFX_NOR_SEED, eco3, 1099, 0.73, 1, 0.73, 0.41, 138.47, 3.04, 309.94, 
5, NOFX_NOR_SEED, eco4, 1261, 0.91, 1, 0.74, 0.44, 129.32, 5.3, 306.38, 
5, NOFX_NOR_SEED, eco5, 1788, 0.98, 1, 0.65, 0.39, 111.44, 97.72, 295.61, 
5, NOFX_NOR_SEED, eco6, 2319, 0.85, 1, 0.54, 0.32, 105.63, 133.83, 287.88, 
5, NOFX_NOR_SEED, eco7, 975, 0.75, 1, 0.53, 0.32, 105.06, 136.43, 287.76, 
5, NOFX_NOR_SEED, eco8, 193, 0.66, 1, 0.52, 0.31, 100.21, 140.08, 281.66, 
5, NOFX_NOR_SEED, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_NOR_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuAlbi, eco1, 400, 0, 1, 0.76, 0, 118.29, 0, 311.72, 
5, PinuAlbi, eco2, 2595, 0, 1, 0.72, 0, 133.94, 0, 308.88, 
5, PinuAlbi, eco3, 2824, 0, 1, 0.7, 0, 137.42, 1.85, 308.1, 
5, PinuAlbi, eco4, 2519, 0, 1, 0.72, 0, 130.48, 3.18, 305.35, 
5, PinuAlbi, eco5, 3254, 0.52, 1, 0.61, 0.31, 110.68, 99.58, 294.82, 
5, PinuAlbi, eco6, 5674, 0.97, 1, 0.49, 0.29, 105.18, 136.03, 289.67, 
5, PinuAlbi, eco7, 3034, 0.99, 1, 0.49, 0.3, 102.58, 138.67, 289.25, 
5, PinuAlbi, eco8, 505, 0.96, 1, 0.47, 0.28, 99.65, 141.01, 281.82, 
5, PinuAlbi, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuAlbi, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuCont, eco1, 422, 0, 1, 0.77, 0, 111.21, 0, 311.17, 
5, PinuCont, eco2, 749, 0, 1, 0.73, 0, 124.41, 0, 308.35, 
5, PinuCont, eco3, 586, 0, 1, 0.69, 0, 135.04, 3.66, 308.46, 
5, PinuCont, eco4, 674, 0, 1, 0.7, 0, 128.92, 6.8, 306.64, 
5, PinuCont, eco5, 905, 0.53, 1, 0.6, 0.3, 111.78, 96.7, 296.31, 
5, PinuCont, eco6, 1211, 0.97, 1, 0.45, 0.27, 106.29, 132.65, 286.7, 
5, PinuCont, eco7, 599, 0.97, 1, 0.42, 0.25, 108.17, 134.31, 286.56, 
5, PinuCont, eco8, 92, 0.9, 1, 0.44, 0.26, 100.24, 139.27, 280.9, 
5, PinuCont, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuCont, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuJeff, eco1, 455, 0, 1, 0.78, 0, 115.04, 0, 312.09, 
5, PinuJeff, eco2, 1283, 0, 1, 0.75, 0, 127.74, 0, 308.71, 
5, PinuJeff, eco3, 1101, 0, 1, 0.72, 0, 137.77, 2.47, 309.91, 
5, PinuJeff, eco4, 1260, 0.31, 1, 0.74, 0.19, 129.07, 5.49, 306.51, 
5, PinuJeff, eco5, 1821, 0.88, 1, 0.64, 0.36, 110.79, 98.29, 295.51, 
5, PinuJeff, eco6, 2312, 0.86, 1, 0.53, 0.32, 105.69, 133.67, 287.81, 
5, PinuJeff, eco7, 971, 0.67, 1, 0.52, 0.31, 105.1, 136.22, 287.62, 
5, PinuJeff, eco8, 176, 0.46, 1, 0.51, 0.26, 100.28, 140.16, 281.49, 
5, PinuJeff, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuJeff, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuLamb, eco1, 399, 0, 1, 0.76, 0, 117.48, 0, 311.13, 
5, PinuLamb, eco2, 2605, 0, 1, 0.72, 0, 134.25, 0, 308.74, 
5, PinuLamb, eco3, 2850, 0, 1, 0.71, 0, 136.48, 1.97, 307.86, 
5, PinuLamb, eco4, 2486, 0.33, 1, 0.72, 0.2, 130.39, 3.1, 305.24, 
5, PinuLamb, eco5, 3250, 0.89, 1, 0.61, 0.34, 110.36, 99.61, 294.82, 
5, PinuLamb, eco6, 5717, 0.84, 1, 0.49, 0.29, 105.34, 135.94, 289.65, 
5, PinuLamb, eco7, 2996, 0.64, 1, 0.5, 0.3, 102.5, 138.71, 289.31, 
5, PinuLamb, eco8, 500, 0.44, 1, 0.47, 0.25, 99.32, 141.15, 281.78, 
5, PinuLamb, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuLamb, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuMont, eco1, 392, 0, 1, 0.75, 0, 117.21, 0, 311.63, 
5, PinuMont, eco2, 2616, 0, 1, 0.69, 0, 134.1, 0, 308.81, 
5, PinuMont, eco3, 2770, 0, 1, 0.68, 0, 137.14, 2.03, 307.98, 
5, PinuMont, eco4, 2573, 0, 1, 0.69, 0, 131.08, 3.19, 305.51, 
