Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, AbieConc, eco1, 172, 0.03, 1, 0.68, 0.02, 134.95, 14.73, 287.38, 
5, AbieConc, eco2, 888, 0.02, 1, 0.48, 0.01, 173.98, 28.8, 284.08, 
5, AbieConc, eco3, 506, 0.45, 1, 0.53, 0.25, 155.18, 43.86, 281.93, 
5, AbieConc, eco4, 553, 0.78, 1, 0.54, 0.32, 141.76, 56.84, 278.69, 
5, AbieConc, eco5, 797, 0.99, 1, 0.54, 0.32, 109.64, 106.4, 272.64, 
5, AbieConc, eco6, 913, 0.9, 1, 0.45, 0.27, 100.92, 124.08, 261.2, 
5, AbieConc, eco7, 390, 0.8, 1, 0.6, 0.36, 77.53, 128.2, 260.95, 
5, AbieConc, eco8, 88, 0.74, 1, 0.68, 0.41, 65.53, 128.23, 260.08, 
5, AbieConc, eco9, 1, 0.66, 1, 0.7, 0.39, 62, 131, 260, 
5, AbieConc, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AbieMagn, eco1, 162, 0.01, 1, 0.66, 0.01, 135.94, 14.9, 286.63, 
5, AbieMagn, eco2, 887, 0.01, 1, 0.47, 0.01, 172.65, 28.88, 283.94, 
5, AbieMagn, eco3, 483, 0.26, 1, 0.51, 0.15, 155.57, 44.19, 281.94, 
5, AbieMagn, eco4, 545, 0.68, 1, 0.52, 0.31, 142.18, 56.95, 278.67, 
5, AbieMagn, eco5, 802, 0.97, 1, 0.52, 0.31, 109.53, 106.45, 272.76, 
5, AbieMagn, eco6, 813, 0.93, 1, 0.43, 0.26, 100.68, 124.14, 261.23, 
5, AbieMagn, eco7, 411, 0.83, 1, 0.58, 0.35, 78.51, 128.34, 260.96, 
5, AbieMagn, eco8, 83, 0.77, 1, 0.66, 0.4, 66.92, 128.4, 259.9, 
5, AbieMagn, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AbieMagn, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, CaloDecu, eco1, 123, 0.03, 1, 0.69, 0.02, 136.79, 15.48, 286.41, 
5, CaloDecu, eco2, 551, 0.03, 1, 0.5, 0.02, 173.63, 28.31, 284.36, 
5, CaloDecu, eco3, 237, 0.54, 1, 0.56, 0.29, 154.93, 44.68, 282.62, 
5, CaloDecu, eco4, 280, 0.9, 1, 0.57, 0.34, 138.15, 58.91, 280.34, 
5, CaloDecu, eco5, 393, 0.97, 1, 0.56, 0.34, 111.41, 105.77, 273.49, 
5, CaloDecu, eco6, 534, 0.51, 1, 0.48, 0.26, 100.97, 125.4, 261.79, 
5, CaloDecu, eco7, 225, 0.25, 1, 0.58, 0.15, 82, 131.04, 262.28, 
5, CaloDecu, eco8, 67, 0.15, 1, 0.7, 0.09, 65.37, 129.79, 260, 
5, CaloDecu, eco9, 2, 0, 1, 0.7, 0, 64.5, 131, 260, 
5, CaloDecu, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, FX_R_SEED, eco1, 187, 0.21, 1, 0.7, 0.12, 132.39, 16.27, 287.03, 
5, FX_R_SEED, eco2, 564, 0.4, 1, 0.51, 0.21, 169.04, 29.53, 283.28, 
5, FX_R_SEED, eco3, 246, 0.71, 1, 0.61, 0.35, 140.52, 42.98, 282.79, 
5, FX_R_SEED, eco4, 244, 0.91, 1, 0.61, 0.37, 129.99, 59.4, 279.5, 
5, FX_R_SEED, eco5, 381, 0.99, 1, 0.57, 0.34, 110.35, 105.52, 274.62, 
5, FX_R_SEED, eco6, 717, 0.84, 1, 0.49, 0.3, 99.79, 125.51, 262.36, 
5, FX_R_SEED, eco7, 343, 0.72, 1, 0.54, 0.32, 88.15, 131.17, 261.99, 
5, FX_R_SEED, eco8, 54, 0.69, 1, 0.68, 0.4, 67.83, 131.15, 260, 
5, FX_R_SEED, eco9, 2, 0.6, 1, 0.71, 0.36, 63, 131, 260, 
5, FX_R_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_R_SEED, eco1, 196, 0.2, 1, 0.7, 0.12, 132.66, 16.31, 286.81, 
5, NOFX_R_SEED, eco2, 566, 0.4, 1, 0.51, 0.21, 167.5, 29.71, 283.12, 
5, NOFX_R_SEED, eco3, 235, 0.71, 1, 0.61, 0.35, 139.87, 43.45, 282.41, 
5, NOFX_R_SEED, eco4, 237, 0.91, 1, 0.62, 0.37, 128.38, 58.13, 278.77, 
5, NOFX_R_SEED, eco5, 377, 0.99, 1, 0.57, 0.34, 110.52, 105.37, 274.44, 
5, NOFX_R_SEED, eco6, 720, 0.84, 1, 0.49, 0.3, 99.82, 125.52, 262.33, 
5, NOFX_R_SEED, eco7, 338, 0.72, 1, 0.54, 0.32, 88.17, 131.03, 262.02, 
5, NOFX_R_SEED, eco8, 52, 0.69, 1, 0.68, 0.4, 67.87, 130.69, 260, 
5, NOFX_R_SEED, eco9, 2, 0.6, 1, 0.71, 0.36, 63, 131, 260, 
5, NOFX_R_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_NOR_SEED, eco1, 179, 0.22, 1, 0.69, 0.13, 134.77, 15.77, 286.96, 
