Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1980, eco1, 0, 146.24, 15.8, 0, 339, 0, 
1981, eco1, 0, 164.04, 15.26, 0, 365, 0, 
1982, eco1, 0, 89.44, 15.32, 0, 313, 0, 
1983, eco1, 0, 91.25, 14.85, 0, 296, 0, 
1984, eco1, 0, 63.65, 16.43, 0, 302, 0, 
1985, eco1, 0, 104.11, 14.66, 0, 365, 0, 
1986, eco1, 0, 89.44, 15.32, 0, 313, 0, 
1987, eco1, 0, 116.16, 16.67, 0, 365, 0, 
1988, eco1, 0, 171.51, 13.31, 0, 305, 0, 
1989, eco1, 0, 89.44, 15.32, 0, 313, 0, 
1990, eco1, 0, 85.52, 15.74, 0, 350, 0, 
1991, eco1, 0, 72.52, 15.29, 0, 326, 0, 
1992, eco1, 0, 100.55, 15.29, 0, 365, 0, 
1993, eco1, 0, 153.71, 14.36, 0, 310, 0, 
1994, eco1, 0, 100.77, 15.66, 0, 350, 0, 
1995, eco1, 0, 63.65, 16.43, 0, 302, 0, 
1996, eco1, 0, 34.3, 16.04, 0, 335, 0, 
1997, eco1, 0, 85.52, 15.74, 0, 350, 0, 
1998, eco1, 0, 34.3, 16.04, 0, 335, 0, 
1999, eco1, 0, 34.3, 16.04, 0, 335, 0, 
2000, eco1, 0, 95.85, 15.25, 0, 318, 0, 
2001, eco1, 0, 72.52, 15.29, 0, 326, 0, 
2002, eco1, 0, 79.85, 15.62, 0, 316, 0, 
2003, eco1, 0, 89.44, 15.32, 0, 313, 0, 
2004, eco1, 0, 123.45, 14.69, 0, 306, 0, 
2005, eco1, 0, 100.76, 15.34, 0, 334, 0, 
2006, eco1, 0, 116.16, 16.67, 0, 365, 0, 
2007, eco1, 0, 96.55, 14.71, 0, 336, 0, 
2008, eco1, 0, 164.04, 15.26, 0, 365, 0, 
2009, eco1, 0, 91.73, 14.87, 0, 344, 0, 
2010, eco1, 0, 69.02, 14.87, 44, 309, 0, 
2011, eco1, 0, 100.55, 15.29, 0, 365, 0, 
2012, eco1, 0, 116.16, 16.67, 0, 365, 0, 
2013, eco1, 0, 100.77, 15.66, 0, 350, 0, 
2014, eco1, 0, 145.85, 15.73, 0, 330, 0, 
2015, eco1, 0, 94.39, 15.22, 0, 337, 0, 
2016, eco1, 0, 117.92, 15.42, 0, 348, 0, 
2017, eco1, 0, 100.76, 15.34, 0, 334, 0, 
2018, eco1, 0, 100.77, 15.66, 0, 350, 0, 
2019, eco1, 0, 89.44, 15.32, 0, 313, 0, 
2020, eco1, 0, 82.04, 15.33, 0, 310, 0, 
2021, eco1, 0, 76.46, 15.05, 0, 329, 0, 
2022, eco1, 0, 79.85, 15.62, 0, 316, 0, 
2023, eco1, 0, 116.16, 16.67, 0, 365, 0, 
2024, eco1, 0, 91.25, 14.85, 0, 296, 0, 
2025, eco1, 0, 98.86, 14.34, 0, 312, 0, 
2026, eco1, 0, 145.18, 15.21, 0, 287, 0, 
2027, eco1, 0, 205.52, 14.1, 0, 313, 0, 
2028, eco1, 0, 89.44, 15.32, 0, 313, 0, 
2029, eco1, 0, 171.51, 13.31, 0, 305, 0, 
2030, eco1, 0, 123.45, 14.69, 0, 306, 0, 
2031, eco1, 0, 99.99, 2.78, 138, 245, 0, 
2032, eco1, 0, 116.16, 16.67, 0, 365, 0, 
2033, eco1, 0, 85.52, 15.74, 0, 350, 0, 
2034, eco1, 0, 81.16, 14.84, 17, 285, 0, 
2035, eco1, 0, 153.71, 14.36, 0, 310, 0, 
2036, eco1, 0, 100.77, 15.66, 0, 350, 0, 
2037, eco1, 0, 85.52, 15.74, 0, 350, 0, 
2038, eco1, 0, 151.55, 15.03, 0, 365, 0, 
2039, eco1, 0, 116.16, 16.67, 0, 365, 0, 
2040, eco1, 0, 69.02, 14.87, 44, 309, 0, 
2041, eco1, 0, 100.77, 15.66, 0, 350, 0, 
2042, eco1, 0, 94.39, 15.22, 0, 337, 0, 
2043, eco1, 0, 145.18, 15.21, 0, 287, 0, 
2044, eco1, 0, 94.39, 15.22, 0, 337, 0, 
2045, eco1, 0, 178.53, 15.59, 0, 365, 0, 
2046, eco1, 0, 85.52, 15.74, 0, 350, 0, 
2047, eco1, 0, 145.85, 15.73, 0, 330, 0, 
2048, eco1, 0, 99.99, 2.78, 138, 245, 0, 
2049, eco1, 0, 95.85, 15.25, 0, 318, 0, 
2050, eco1, 0, 164.04, 15.26, 0, 365, 0, 
2051, eco1, 0, 178.53, 15.59, 0, 365, 0, 
2052, eco1, 0, 95.85, 15.25, 0, 318, 0, 
2053, eco1, 0, 79.85, 15.62, 0, 316, 0, 
2054, eco1, 0, 82.04, 15.33, 0, 310, 0, 
2055, eco1, 0, 145.85, 15.73, 0, 330, 0, 
2056, eco1, 0, 171.51, 13.31, 0, 305, 0, 
2057, eco1, 0, 146.24, 15.8, 0, 339, 0, 
2058, eco1, 0, 79.85, 15.62, 0, 316, 0, 
2059, eco1, 0, 123.45, 14.69, 0, 306, 0, 
2060, eco1, 0, 171.51, 13.31, 0, 305, 0, 
1980, eco2, 1, 165.21, 15.3, 0, 336, 0, 
1981, eco2, 1, 189.33, 14.74, 0, 365, 0, 
1982, eco2, 1, 101.6, 14.81, 0, 309, 0, 
1983, eco2, 1, 102.22, 14.34, 0, 293, 0, 
1984, eco2, 1, 72.28, 15.92, 0, 300, 0, 
1985, eco2, 1, 120.89, 14.17, 0, 318, 0, 
1986, eco2, 1, 101.6, 14.81, 0, 309, 0, 
1987, eco2, 1, 129.59, 16.12, 0, 365, 0, 
1988, eco2, 1, 190.12, 12.79, 17, 302, 0, 
1989, eco2, 1, 101.6, 14.81, 0, 309, 0, 
1990, eco2, 1, 124.5, 15.66, 0, 351, 0, 
1991, eco2, 1, 83.9, 14.75, 0, 323, 0, 
1992, eco2, 1, 116.03, 14.79, 0, 347, 0, 
1993, eco2, 1, 172.8, 13.71, 0, 307, 0, 
1994, eco2, 1, 115.54, 15.13, 0, 343, 0, 
1995, eco2, 1, 72.28, 15.92, 0, 300, 0, 
1996, eco2, 1, 38.98, 15.52, 0, 331, 0, 
1997, eco2, 1, 124.5, 15.66, 0, 351, 0, 
1998, eco2, 1, 38.98, 15.52, 0, 331, 0, 
1999, eco2, 1, 38.98, 15.52, 0, 331, 0, 
2000, eco2, 1, 108.02, 14.75, 0, 315, 0, 
2001, eco2, 1, 83.9, 14.75, 0, 323, 0, 
