Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7749.4, 19336.1, 0, 5, 2946, 
5, 46.8, 8444.8, 20598, 313.8, 19.21, 2303.9, 
10, -39.6, 8000.1, 21494.5, 344.5, 19.34, 2253.2, 
15, -13.3, 7572.9, 22157.8, 367, 15.91, 2294.5, 
20, -63, 7278.8, 22534.8, 318, 14.56, 2514, 
25, -57.8, 7017.6, 23010.4, 309.3, 13.7, 2693.4, 
30, -98.8, 6894.3, 23434.4, 307.6, 11.77, 2961.3, 
35, -91, 6781.5, 23653.3, 326.2, 12.49, 3199.6, 
40, -105.5, 6692.6, 24020.9, 362.4, 10.74, 3329.6, 
45, -105.4, 6652.3, 24189.1, 364.6, 10.17, 3533.6, 
50, -73.3, 6637.1, 24393.6, 329.3, 9.55, 3711.3, 
55, -37.9, 6636.6, 24812.8, 348.9, 8.56, 3839.2, 
60, -98.4, 6664, 25237.8, 367.8, 7.62, 3960, 
65, -46.1, 6667.7, 25310.2, 310.5, 7.96, 4092.2, 
70, -36, 6725.2, 25622, 356.5, 6.05, 4223.9, 
75, -16.9, 6781.7, 26035.7, 371, 5.3, 4294.6, 
80, -113.6, 6831.3, 26272.5, 343.2, 4.7, 4431.9, 
