Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_AbieConc,CohortsHarvested_AbieMagn,CohortsHarvested_CaloDecu,CohortsHarvested_FX_R_SEED,CohortsHarvested_NOFX_R_SEED,CohortsHarvested_NOFX_NOR_SEED,CohortsHarvested_PinuAlbi,CohortsHarvested_PinuCont,CohortsHarvested_PinuJeff,CohortsHarvested_PinuLamb,CohortsHarvested_PinuMont,CohortsHarvested_PopuTrem,CohortsHarvested_TsugMert,CohortsHarvested_AcerMacr,CohortsHarvested_AescCali,CohortsHarvested_AlnuRhom,CohortsHarvested_ArbuMenz,CohortsHarvested_CornNutt,CohortsHarvested_JuniOcci,CohortsHarvested_LithDens,CohortsHarvested_PinuAtte,CohortsHarvested_PinuMono,CohortsHarvested_PinuPond,CohortsHarvested_PinuSabi,CohortsHarvested_PinuWash,CohortsHarvested_PseuMenz,CohortsHarvested_QuerChry,CohortsHarvested_QuerDoug,CohortsHarvested_QuerGarr,CohortsHarvested_QuerKell,CohortsHarvested_QuerWisl,CohortsHarvested_TaxuBrev,CohortsHarvested_TorrCali,CohortsHarvested_UmbeCali,BiomassHarvestedMg_AbieConc,BiomassHarvestedMg_AbieMagn,BiomassHarvestedMg_CaloDecu,BiomassHarvestedMg_FX_R_SEED,BiomassHarvestedMg_NOFX_R_SEED,BiomassHarvestedMg_NOFX_NOR_SEED,BiomassHarvestedMg_PinuAlbi,BiomassHarvestedMg_PinuCont,BiomassHarvestedMg_PinuJeff,BiomassHarvestedMg_PinuLamb,BiomassHarvestedMg_PinuMont,BiomassHarvestedMg_PopuTrem,BiomassHarvestedMg_TsugMert,BiomassHarvestedMg_AcerMacr,BiomassHarvestedMg_AescCali,BiomassHarvestedMg_AlnuRhom,BiomassHarvestedMg_ArbuMenz,BiomassHarvestedMg_CornNutt,BiomassHarvestedMg_JuniOcci,BiomassHarvestedMg_LithDens,BiomassHarvestedMg_PinuAtte,BiomassHarvestedMg_PinuMono,BiomassHarvestedMg_PinuPond,BiomassHarvestedMg_PinuSabi,BiomassHarvestedMg_PinuWash,BiomassHarvestedMg_PseuMenz,BiomassHarvestedMg_QuerChry,BiomassHarvestedMg_QuerDoug,BiomassHarvestedMg_QuerGarr,BiomassHarvestedMg_QuerKell,BiomassHarvestedMg_QuerWisl,BiomassHarvestedMg_TaxuBrev,BiomassHarvestedMg_TorrCali,BiomassHarvestedMg_UmbeCali,
1, 1, PIF_CC_28, 388, 19189, 0, 243707.098317337, 5827, 713, 3450, 0, 0, 0, 0, 20, 1295, 1712, 26, 31, 66, 41, 2, 27, 28, 9, 78, 2, 0, 2, 2399, 42, 0, 2962, 71, 23, 4, 283, 74, 2, 0, 0, 118881.075949919, 6055.13881782293, 33722.2116992593, 0, 0, 0, 0, 140.194800412655, 13203.7128388643, 10423.4040306807, 146.38320043087, 194.626800572872, 440.769601297379, 286.934400844574, 11.2104000329971, 176.029200518131, 178.653600525856, 45.0684001326561, 1181.23920347691, 9.33120002746582, 0, 22.0320000648499, 18819.9612553954, 295.228800868988, 0, 35798.4361053705, 549.536401617527, 121.27320035696, 19.9908000588417, 2507.40360738039, 466.884001374245, 10.3680000305176, 0, 0, 
1, 3, PIF_CC_30, 108, 4990, 0, 70398.947007215, 1755, 243, 788, 0, 0, 0, 10, 2, 469, 330, 17, 2, 35, 19, 0, 3, 7, 3, 12, 3, 5, 2, 519, 4, 0, 538, 47, 16, 1, 129, 31, 0, 0, 0, 38832.7609143019, 2888.39520850182, 7885.31762320995, 0, 0, 0, 162.648000478745, 13.0572000384331, 5273.4564155221, 1859.92200547457, 83.9808002471924, 8.71560002565384, 397.062001168728, 128.660400378704, 0, 14.8392000436783, 39.1068001151085, 11.8908000349998, 221.648400652409, 17.3988000512123, 69.6276002049446, 8.06760002374649, 3434.23801010847, 17.2368000507355, 0, 6702.45841972828, 491.151601445675, 103.096800303459, 4.86000001430511, 1489.7196043849, 239.630400705338, 0, 0, 0, 
1, 5, PIF_CC_32, 106, 4191, 0, 58811.0545731068, 1377, 1244, 40, 0, 0, 0, 2, 187, 997, 25, 69, 20, 54, 0, 0, 3, 5, 2, 71, 0, 0, 1, 32, 21, 0, 12, 5, 4, 0, 17, 3, 0, 0, 0, 23758.7256699324, 17283.196850872, 195.598800575733, 0, 0, 0, 9.29880002737045, 1823.24520536661, 12990.4560382366, 113.140800333023, 417.182401227951, 126.360000371933, 407.041201198101, 0, 0, 13.4784000396729, 27.0540000796318, 7.29000002145767, 1149.45480338335, 0, 0, 3.88800001144409, 163.846800482273, 96.1308002829552, 0, 65.6424001932144, 20.1852000594139, 17.2368000507355, 0, 92.3076002717018, 30.2940000891685, 0, 0, 0, 
1, 7, PIF_CC_34, 86, 3868, 0, 62590.5793842316, 1290, 1231, 113, 0, 0, 0, 2, 113, 811, 87, 38, 0, 15, 0, 0, 0, 0, 3, 27, 0, 0, 1, 40, 4, 0, 23, 9, 1, 1, 37, 22, 0, 0, 0, 25927.3224763155, 20270.7360596657, 714.776402103901, 0, 0, 0, 19.5372000575066, 1153.66680339575, 12492.7596367717, 529.869601559639, 227.480400669575, 0, 86.9292002558708, 0, 0, 0, 0, 11.3076000332832, 292.960800862312, 0, 0, 4.21200001239777, 209.563200616837, 28.1232000827789, 0, 115.992000341415, 50.090400147438, 3.69360001087189, 3.66120001077652, 328.212000966072, 119.685600352287, 0, 0, 0, 
1, 2, PIF_PCT_29, 238, 7974, 806, 123289.841162896, 3593, 734, 1321, 0, 0, 0, 4, 4, 339, 64, 35, 0, 56, 0, 0, 0, 0, 0, 59, 0, 0, 0, 337, 23, 0, 2211, 0, 0, 0, 0, 0, 0, 0, 0, 71355.8162100315, 8016.60242359638, 10923.7248321533, 0, 0, 0, 20.6064000606537, 15.2928000450134, 3356.05680987835, 305.467200899124, 261.306000769138, 0, 412.354801213741, 0, 0, 0, 0, 0, 1091.94480321407, 0, 0, 0, 2631.26880774498, 155.034000456333, 0, 24744.3660728335, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 4, PIF_PCT_31, 113, 3110, 430, 47686.4821403623, 1104, 328, 374, 0, 0, 0, 9, 18, 145, 18, 28, 0, 52, 0, 0, 0, 0, 0, 69, 0, 0, 0, 191, 21, 0, 1183, 0, 0, 0, 0, 0, 0, 0, 0, 21430.5588630796, 3955.16521164179, 2937.51360864639, 0, 0, 0, 67.2948001980782, 167.702400493622, 1427.38200420141, 89.2620002627373, 174.765600514412, 0, 443.232001304626, 0, 0, 0, 0, 0, 1171.22760344744, 0, 0, 0, 1511.75160444975, 154.35360045433, 0, 14156.2728416681, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 6, PIF_PCT_33, 91, 2872, 641, 56774.6173671126, 1185, 1514, 29, 0, 0, 0, 25, 136, 330, 4, 110, 0, 65, 0, 0, 0, 0, 0, 62, 0, 0, 0, 11, 25, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 20322.9648598194, 27768.3876817346, 167.734800493717, 0, 0, 0, 325.555200958252, 1057.43880311251, 4036.10041188002, 15.6492000460625, 810.907202386856, 0, 1010.68560297489, 0, 0, 0, 0, 0, 944.200802779197, 0, 0, 0, 62.8884001851082, 177.325200521946, 0, 74.779200220108, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 8, PIF_PCT_35, 79, 2669, 455, 55536.386563468, 1230, 1268, 55, 0, 0, 0, 19, 44, 249, 4, 74, 0, 42, 0, 0, 0, 0, 0, 48, 0, 0, 0, 25, 40, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 24250.4280713797, 25395.4116747499, 318.394800937176, 0, 0, 0, 160.282800471783, 296.492400872707, 2968.13160873651, 33.7284000992775, 537.354001581669, 0, 275.108400809765, 0, 0, 0, 0, 0, 660.150001943111, 0, 0, 0, 140.130000412464, 361.810801064968, 0, 138.963600409031, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 31, FED_SGH_10, 268, 4419, 4104, 85429.7282514572, 2414, 164, 1738, 0, 0, 0, 2, 1, 165, 202, 13, 0, 82, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1950, 79, 0, 1692, 0, 0, 0, 0, 0, 0, 0, 0, 37801.4365112662, 2104.67160619497, 14392.8576423645, 0, 0, 0, 7.87320002317429, 5.54040001630783, 1246.36320366859, 584.852401721478, 67.5540001988411, 0, 653.637601923943, 0, 0, 0, 0, 0, 266.198400783539, 0, 0, 0, 12561.2532369733, 571.82760168314, 0, 15165.6624446392, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 31, PNIF_SG_10, 67, 1315, 1077, 26039.1024766445, 773, 45, 470, 0, 0, 0, 2, 5, 103, 59, 20, 0, 18, 0, 0, 0, 0, 0, 9, 0, 0, 0, 490, 20, 0, 378, 0, 0, 0, 0, 0, 0, 0, 0, 13554.1188398957, 344.995201015472, 4224.27961243391, 0, 0, 0, 9.68760002851486, 50.9976001501083, 1061.13240312338, 174.052800512314, 173.275200510025, 0, 108.89640032053, 0, 0, 0, 0, 0, 134.91360039711, 0, 0, 0, 2825.47440831661, 134.589600396156, 0, 3242.68920954466, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 33, FED_SGH_12, 189, 3555, 2786, 72415.6850131512, 1894, 490, 1037, 0, 0, 0, 3, 37, 348, 192, 21, 0, 75, 0, 0, 0, 0, 0, 59, 0, 0, 0, 1106, 79, 0, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 33175.7208976507, 7877.18522318601, 8369.85962463617, 0, 0, 0, 14.4828000426292, 278.542800819874, 3843.41761131287, 559.677601647377, 120.106800353527, 0, 809.514002382755, 0, 0, 0, 0, 0, 676.123201990128, 0, 0, 0, 6975.68762053251, 561.394801652431, 0, 9153.97202694416, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 33, PNIF_SG_12, 44, 534, 850, 11479.9356337905, 240, 2, 285, 0, 0, 0, 0, 0, 1, 37, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 394, 11, 0, 407, 0, 0, 0, 0, 0, 0, 0, 0, 2646.30240778923, 10.0440000295639, 2396.75760705471, 0, 0, 0, 0, 0, 4.1796000123024, 76.7556002259254, 0, 0, 46.4616001367569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2490.68520733118, 63.5364001870155, 0, 3745.21321102381, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 35, FED_SGH_14, 57, 1546, 647, 32957.020897007, 725, 659, 98, 0, 0, 0, 8, 81, 342, 18, 21, 0, 32, 0, 0, 0, 0, 0, 32, 0, 0, 0, 83, 11, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 13375.4652393699, 12207.1212359309, 694.753202044964, 0, 0, 0, 76.9500002264977, 772.351202273369, 3989.41201174259, 46.5912001371384, 103.485600304604, 0, 264.222000777721, 0, 0, 0, 0, 0, 370.591201090813, 0, 0, 0, 428.490001261234, 78.4404002308846, 0, 549.147601616383, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 35, PNIF_SG_14, 18, 220, 367, 4782.40201407671, 133, 2, 80, 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 2, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 1432.43640421629, 13.575600039959, 500.644801473618, 0, 0, 0, 0, 0, 0, 89.0676002621651, 0, 0, 27.864000082016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 945.885602784157, 8.74800002574921, 0, 1764.18000519276, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 37, FED_SGH_16, 63, 1948, 703, 41809.8997230649, 925, 806, 170, 0, 0, 0, 0, 49, 558, 30, 27, 0, 17, 0, 0, 0, 0, 0, 30, 0, 0, 0, 26, 8, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 18926.3628557086, 13077.2556384921, 1144.95120337009, 0, 0, 0, 0, 383.583601129055, 7186.80602115393, 110.937600326538, 188.859600555897, 0, 128.595600378513, 0, 0, 0, 0, 0, 502.491601479053, 0, 0, 0, 93.2148002743721, 50.3820001482964, 0, 16.4592000484467, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 37, PNIF_SG_16, 21, 717, 217, 14260.0500419736, 306, 323, 68, 0, 0, 0, 0, 17, 170, 11, 7, 0, 9, 0, 0, 0, 0, 0, 11, 0, 0, 0, 9, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5994.22681764364, 5679.88201671839, 474.724801397324, 0, 0, 0, 0, 79.2828002333641, 1728.1836050868, 23.2956000685692, 43.5456001281738, 0, 63.7308001875877, 0, 0, 0, 0, 0, 122.569200360775, 0, 0, 0, 35.5428001046181, 11.113200032711, 0, 3.95280001163483, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 12, HAND_39, 64, 1, 964, 9013.42082653046, 311, 18, 286, 0, 0, 0, 0, 0, 7, 38, 2, 0, 14, 0, 0, 0, 0, 0, 1, 0, 0, 0, 142, 2, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 4948.87321456671, 108.05400031805, 1543.89240454435, 0, 0, 0, 0, 0, 24.1380000710487, 124.124400365353, 6.67440001964569, 0, 70.7616002082825, 0, 0, 0, 0, 0, 8.10000002384186, 0, 0, 0, 660.344401943684, 12.8304000377655, 0, 1505.62800443172, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 14, HAND_41, 72, 32, 790, 9079.80842672586, 208, 98, 102, 0, 0, 0, 5, 17, 115, 14, 10, 0, 31, 0, 0, 0, 0, 0, 32, 0, 0, 0, 80, 20, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 4195.54081234932, 1362.22560400963, 501.714001476765, 0, 0, 0, 42.9948001265526, 90.6552002668381, 923.497202718258, 44.9388001322746, 51.2892001509666, 0, 219.639600646496, 0, 0, 0, 0, 0, 475.858801400661, 0, 0, 0, 290.725200855732, 108.280800318718, 0, 772.448402273655, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 16, HAND_43, 12, 4, 231, 2498.2344073534, 67, 55, 2, 0, 0, 0, 15, 17, 19, 0, 10, 0, 36, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 896.961602640152, 708.523202085495, 5.5728000164032, 0, 0, 0, 165.33720048666, 82.004400241375, 108.540000319481, 0, 35.6724001049995, 0, 375.678001105785, 0, 0, 0, 0, 0, 35.0568001031876, 0, 0, 0, 4.40640001296997, 78.3432002305985, 0, 2.13840000629425, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 18, HAND_45, 54, 38, 1054, 15184.3572446942, 350, 314, 20, 0, 0, 0, 17, 52, 167, 5, 90, 0, 28, 0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5864.23801726103, 5631.73561657667, 67.4892001986504, 0, 0, 0, 307.800000905991, 240.926400709152, 1790.52120527029, 13.9644000411034, 517.62240152359, 0, 223.981200659275, 0, 0, 0, 0, 0, 449.874001324177, 0, 0, 0, 13.7052000403404, 60.134400177002, 0, 2.36520000696182, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 32, HAND_11, 383, 34, 4320, 33316.2720980644, 1155, 97, 1143, 0, 0, 0, 8, 2, 66, 101, 32, 0, 75, 0, 0, 0, 0, 0, 34, 0, 0, 0, 840, 35, 0, 766, 0, 0, 0, 0, 0, 0, 0, 0, 12868.8264378786, 450.910801327229, 6624.01801949739, 0, 0, 0, 45.8784001350403, 13.8672000408173, 240.019200706482, 303.069600892067, 141.912000417709, 0, 314.571600925922, 0, 0, 0, 0, 0, 377.136001110077, 0, 0, 0, 4125.26521214247, 226.087200665474, 0, 7584.71042232513, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 34, HAND_13, 179, 30, 1680, 14327.7012421727, 329, 117, 359, 0, 0, 0, 6, 18, 32, 23, 9, 0, 49, 0, 0, 0, 0, 0, 30, 0, 0, 0, 387, 23, 0, 328, 0, 0, 0, 0, 0, 0, 0, 0, 3600.25561059713, 2693.63880792856, 1925.49960566759, 0, 0, 0, 37.6812001109123, 87.3180002570152, 179.46360052824, 60.9120001792908, 34.7652001023293, 0, 229.294800674915, 0, 0, 0, 0, 0, 451.170001327991, 0, 0, 0, 1845.63360543251, 131.220000386238, 0, 3050.84880897999, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 36, HAND_15, 69, 41, 1293, 16896.7944497347, 373, 290, 68, 0, 0, 0, 21, 24, 190, 5, 54, 0, 161, 0, 0, 0, 0, 0, 41, 0, 0, 0, 55, 24, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6547.32721927166, 3532.99321039915, 290.174400854111, 0, 0, 0, 172.206000506878, 107.14680031538, 1444.52160425186, 12.4092000365257, 297.302400875092, 0, 3250.30320956707, 0, 0, 0, 0, 0, 644.468401896954, 0, 0, 0, 260.787600767612, 116.218800342083, 0, 220.93560065031, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 38, HAND_17, 50, 24, 844, 13072.2012384772, 326, 256, 16, 0, 0, 0, 6, 20, 106, 5, 43, 0, 25, 0, 0, 0, 0, 0, 24, 0, 0, 0, 16, 24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7278.33602142334, 3882.10321142674, 63.4716001868248, 0, 0, 0, 30.3264000892639, 120.398400354385, 679.654802000523, 20.1528000593185, 275.432400810719, 0, 180.241200530529, 0, 0, 0, 0, 0, 310.456800913811, 0, 0, 0, 54.7236001610756, 174.63600051403, 0, 2.26800000667572, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 11, PNIF_SG_38, 78, 1960, 1107, 37979.6041117906, 1054, 132, 756, 0, 0, 0, 0, 3, 154, 89, 7, 0, 5, 0, 0, 0, 0, 0, 13, 0, 0, 0, 491, 9, 0, 354, 0, 0, 0, 0, 0, 0, 0, 0, 19478.5560573339, 1329.63120391369, 6842.49122014046, 0, 0, 0, 0, 16.135200047493, 2320.55280683041, 239.792400705814, 57.6396001696587, 0, 35.9640001058578, 0, 0, 0, 0, 0, 223.300800657272, 0, 0, 0, 4505.15521326065, 56.1492001652718, 0, 2874.23640846014, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 13, PNIF_SG_40, 62, 1332, 766, 26314.5672774553, 747, 254, 278, 0, 0, 0, 0, 38, 316, 51, 6, 0, 22, 0, 0, 0, 0, 0, 31, 0, 0, 0, 169, 14, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 14035.7448413134, 2755.23120810986, 2296.47960675955, 0, 0, 0, 0, 326.26800096035, 3471.85441021919, 127.882800376415, 29.8404000878334, 0, 194.691600573063, 0, 0, 0, 0, 0, 489.175201439857, 0, 0, 0, 879.465602588653, 76.5612002253532, 0, 1631.37240480185, 0, 0, 0, 0, 0, 0, 0, 0, 
