EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
1, 1, 256, 215, 0.454050482711305, 17, 22, Lightning, 1, 1, 18, 69, 7.7822733312, 8.0289980558206, 116.9522472, NaN, 0.45, NaN, 0, 0, 0.132505878806114, 1, 754, 253, 5822, 
2, 1, 322, 591, 1.82325010907241, 21, 201, Accidental, 1, 1, 24, 38, 19.6386481224, 22.7283464411521, 163.0769155, NaN, 1.82, NaN, 0, 0, 0.19931748509407, 0.489398432752821, 1016, 364, 10656, 
3, 1, 444, 244, 0.964978860215312, 49, 299, Accidental, 1, 1, 14, 45, 26.5895071344, 33.3704587081356, 265.50711068, NaN, 0.96, NaN, 0, 0, 0.129999995231628, 1, 112, 232, 6577, 
4, 1, 257, 532, 0.897339323073591, 79, 112, Lightning, 1, 1, 15, 41, 15.0213824892, 15.8536622303066, 102.7795429, NaN, 0.9, NaN, 0, 0, 0.117029964923859, 1, 749, 239, 6784, 
5, 1, 236, 133, 6.8547070934709, 83, 209, Accidental, 1, 1, 24, 53, 13.8633347952, 15.1466757015234, 219.1914202, NaN, 6.85, NaN, 0, 0, 0.132116213440895, 0.882857337782118, 102, 301, 6052, 
6, 1, 418, 146, 14.6833688263537, 107, 341, Accidental, 1, 1, 3, 4, 13.5034261632, 14.6606097852013, 217.23048351, NaN, 14.68, NaN, 0, 0, 0.129999995231628, 0.933353587510851, 0, 292, 617, 
7, 1, 689, 364, 5.27946657102525, 131, 39, Accidental, 1, 1, 6, 6, 8.8710573384, 1.72075146301299, 265.15144758, NaN, 5.28, NaN, 0, 0, 0.100000001490116, 0.621849880642361, 0, 526, 877, 
8, 1, 416, 268, 14.6187577231675, 157, 360, Accidental, 1, 1, 30, 70, 12.367039806, 16.5650480568037, 244.55129787, NaN, 14.62, NaN, 0, 0, 0.137095183134079, 1, 575, 244, 11271, 
9, 1, 325, 90, 23.7464062646269, 170, 471, Accidental, 1, 1, 10, 10, 11.6264949876, 11.9578181142973, 253.57955873, NaN, 23.75, NaN, 0, 0, 0.129732683300972, 0.218049292670356, 0, 1293, 2043, 
10, 1, 445, 395, 15.3744278434759, 183, 281, Lightning, 1, 1, 25, 36, 8.132147658, 7.87181737745752, 266.95777928, NaN, 15.37, NaN, 0, 0, 0.121105201542377, 0.561388761393229, 445, 462, 8769, 
11, 1, 91, 182, 23.9268186698227, 186, 503, Accidental, 1, 1, 15, 87, 12.7216125756, 14.6989368074045, 241.33453553, NaN, 23.93, NaN, 0, 0, 0.129999995231628, 0.938061428493923, 1110, 241, 7653, 
12, 1, 234, 324, 27.1219042053753, 197, 579, Accidental, 1, 1, 7, 24, 9.891939132, 16.5496147078032, 174.2529173, NaN, 27.12, NaN, 0, 0, 0.100121445953846, 0.707296834309896, 1685, 267, 6658, 
13, 1, 306, 92, 38.8480070910035, 209, 707, Accidental, 1, 1, 50, 54, 8.914033368, 9.30708220597877, 230.52405921, NaN, 38.85, NaN, 0, 0, 0.199117481708527, 0.346413006591797, 111, 805, 13920, 
14, 1, 267, 225, 42.9585176212277, 210, 710, Accidental, 1, 2, 23, 87, 10.630961163, 14.4521680977129, 224.07093092, 0, 41.21, 0.125742266749371, 0, 0, 0.151011288166046, 1, 0, 274, 13165, 
15, 1, 268, 541, 30.0293481983867, 216, 582, Lightning, 1, 1, 10, 15, 11.4295479876, 12.0714746594934, 276.17443418, NaN, 30.03, NaN, 0, 0, 0.137162610888481, 0.808434232584635, 450, 314, 4830, 
16, 1, 425, 574, 36.7730158081742, 220, 712, Accidental, 1, 1, 12, 31, 12.8525876028, 13.1904215661669, 199.72316329, NaN, 36.77, NaN, 0, 0, 0.111144781112671, 0.653977703179253, 1287, 313, 7858, 
17, 1, 693, 413, 30.5521736524539, 228, 615, Accidental, 1, 1, 49, 49, 10.0309279536, 14.3571194133808, 213.13287101, NaN, 30.55, NaN, 0, 0, 0.100000001490116, 0, 1022, 1406, 29498, 
18, 1, 36, 261, 25.7599201578739, 233, 486, Lightning, 1, 1, 26, 43, 11.1168356328, 10.0882395139662, 250.84178049, NaN, 25.76, NaN, 0, 0, 0.129999995231628, 0.772871868218316, 1003, 298, 15252, 
19, 1, 237, 432, 27.544092430309, 241, 571, Accidental, 1, 1, 42, 52, 14.1348667284, 15.1760473713323, 301.4110507, NaN, 27.54, NaN, 0, 0, 0.129999995231628, 0.457884214952257, 185, 541, 15035, 
20, 1, 350, 369, 27.5603244031769, 255, 549, Lightning, 1, 1, 13, 21, 13.2474570948, 13.057470435476, 264.23422949, NaN, 27.56, NaN, 0, 0, 0.0726397484540939, 1, 106, 273, 5464, 
21, 1, 109, 156, 44.8187489321305, 278, 871, Accidental, 1, 3, 76, 204, 13.0854760812, 14.6684989576835, 175.9021214, 0, 44.82, 0.0608260211164153, 0, 0, 0.129999995231628, 0.793742472330729, 800, 294, 25026, 
22, 1, 666, 157, 18.8649705326241, 285, 404, Accidental, 1, 1, 27, 50, 11.8408533768, 13.7316660370771, 260.31311424, NaN, 18.86, NaN, 0, 0, 0.150000005960464, 0.693512322319878, 0, 394, 8978, 
23, 1, 395, 135, 19.5854309493266, 310, 371, Accidental, 1, 1, 54, 58, 8.7089404824, 9.37841814652657, 249.10705554, NaN, 19.59, NaN, 0, 0, 0.129999995231628, 0.350322597249349, 467, 681, 13818, 
24, 1, 302, 125, 12.9765751885952, 354, 220, Accidental, 1, 1, 22, 51, 6.5525492016, 6.03361747932483, 222.6678385, NaN, 12.98, NaN, 0, 0, 0.129999995231628, 0.79838017985026, 0, 374, 5499, 
25, 2, 665, 161, 4.47436855720695, 10, 132, Lightning, 1, 1, 26, 60, 8.6845212864, 11.7715849020026, 150.9915249, NaN, 4.47, NaN, 0, 0, 0.148711517453194, 0.67005305718316, 261, 390, 9547, 
26, 2, 528, 173, 2.06451424555083, 43, 108, Accidental, 1, 1, 19, 58, 12.756967866, 13.5582080969922, 209.16282213, NaN, 2.06, NaN, 0, 0, 0.150000005960464, 0.885752254231771, 521, 281, 6275, 
27, 2, 359, 156, 4.93633551217765, 93, 122, Lightning, 1, 1, 16, 33, 11.350861002, 10.1379641183687, 123.9251949, NaN, 4.94, NaN, 0, 0, 0.130320757627487, 0.915578078884549, 0, 310, 3928, 
28, 2, 268, 280, 11.4502291881169, 139, 319, Lightning, 1, 1, 31, 51, 9.7601033196, 17.9083843688935, 243.98564002, NaN, 11.45, NaN, 0, 0, 0.115764729678631, 0.703628847927517, 0, 371, 15964, 
29, 2, 331, 406, 21.3654074990229, 156, 457, Lightning, 1, 1, 14, 50, 14.2277797944, 14.5729420271043, 305.5560954, NaN, 21.37, NaN, 0, 0, 0.129999995231628, 0.825515909830729, 1242, 261, 9031, 
30, 2, 636, 551, 25.5617528407598, 166, 505, Accidental, 1, 1, 44, 44, 13.5740404152, 12.2184397250216, 353.5984492, NaN, 25.56, NaN, 0, 0, 0.097423642873764, 0, 1209, 1306, 21755, 
31, 2, 311, 288, 30.8527079376259, 182, 571, Lightning, 1, 1, 16, 29, 9.764111664, 9.66978807093419, 238.66874239, NaN, 30.85, NaN, 0, 0, 0.0661097094416618, 0.856470007324219, 262, 318, 3989, 
32, 2, 420, 214, 34.7728776827421, 199, 654, Accidental, 1, 1, 20, 38, 9.5868423972, 11.0424780035022, 182.227173578, NaN, 34.77, NaN, 0, 0, 0.259098172187805, 0.85609313015408, 504, 295, 5555, 
33, 2, 513, 108, 33.8247096397149, 201, 613, Accidental, 1, 1, 16, 26, 7.2531022932, 8.75042826132881, 1.23864700000001, NaN, 33.82, NaN, 0, 0, 0.219999998807907, 0.860293092176649, 0, 333, 2668, 
34, 2, 679, 166, 37.9127810591228, 205, 667, Accidental, 1, 1, 27, 51, 8.739289206, 7.0983002952564, 348.854409, NaN, 37.91, NaN, 0, 0, 0.150000005960464, 0.78644671359592, 0, 375, 7849, 
35, 2, 414, 461, 32.4933200296717, 215, 672, Lightning, 1, 1, 38, 66, 13.2219269676, 16.5382598144749, 193.13024692, NaN, 32.49, NaN, 0, 0, 0.107878625392914, 0.772509461805555, 453, 314, 17249, 
36, 2, 608, 175, 33.6366665997509, 228, 611, Accidental, 1, 1, 10, 11, 8.2638467208, 8.87596943148042, 244.16642379, NaN, 33.64, NaN, 0, 0, 0.150000005960464, 0.602370137532552, 0, 485, 1368, 
37, 2, 566, 221, 35.4662871448764, 235, 740, Lightning, 1, 1, 28, 80, 14.9698226016, 17.9827776527193, 230.51739857, NaN, 35.47, NaN, 0, 0, 0.150000005960464, 0.659100032552083, 577, 343, 11331, 
38, 2, 424, 220, 34.8262536664988, 237, 683, Accidental, 1, 1, 8, 24, 11.0693535876, 13.6927095276303, 194.09098662, NaN, 34.83, NaN, 0, 0, 0.219999998807907, 0.959827615017361, 389, 266, 2814, 
39, 2, 540, 128, 38.3537657706627, 241, 776, Accidental, 1, 1, 31, 59, 13.3411631112, 16.5980587542795, 229.30518548, NaN, 38.35, NaN, 0, 0, 0.202853143215179, 0.790332462565104, 0, 335, 9304, 
40, 2, 625, 225, 31.5740794728387, 257, 667, Lightning, 1, 1, 24, 52, 9.9445957092, 17.5044322157392, 237.14643743, NaN, 31.57, NaN, 0, 0, 0.129999995231628, 0.868841548665364, 0, 305, 7136, 
41, 2, 549, 433, 28.8342875148707, 258, 523, Accidental, 1, 1, 5, 6, 9.461436804, 8.4902835402117, 240.57305904, NaN, 28.83, NaN, 0, 0, 0.12126412987709, 0.723707119411892, 0, 403, 934, 
42, 2, 412, 590, 29.8920124208203, 264, 554, Accidental, 1, 1, 49, 68, 10.3447644012, 9.65255930245465, 102.9168056, NaN, 29.89, NaN, 0, 0, 0.129961356520653, 0.46807465616862, 863, 464, 31605, 
43, 2, 528, 128, 24.4532161470357, 297, 465, Accidental, 1, 1, 14, 40, 8.64800505, 10.2140427600458, 213.01901892, NaN, 24.45, NaN, 0, 0, 0.150000005960464, 1, 130, 277, 3918, 
44, 2, 197, 383, 12.2113831354531, 303, 257, Accidental, 1, 1, 29, 48, 13.3874106264, 10.832954723455, 356.0979782, NaN, 12.21, NaN, 0, 0, 0.129999995231628, 0.630554901801215, 527, 391, 13508, 
45, 2, 423, 272, 15.1031834033401, 311, 310, Accidental, 1, 1, 5, 8, 9.5856900696, 11.0935464618269, 157.8143696, NaN, 15.1, NaN, 0, 0, 0.150000005960464, 0.746866323513455, 0, 377, 943, 
46, 2, 553, 207, 1.62877775934304, 344, 50, Lightning, 1, 1, 29, 86, 8.0830382364, 8.8152290244304, 148.1518063, NaN, 1.63, NaN, 0, 0, 0.170000001788139, 0.990348227267795, 0, 289, 11223, 
47, 2, 469, 162, 1.71291394460596, 351, 56, Accidental, 1, 1, 46, 74, 10.9694899044, 9.20248361924046, 239.6487588, NaN, 1.71, NaN, 0, 0, 0.230000004172325, 0.584280097113715, 751, 398, 12748, 
48, 3, 551, 503, 0.801947602592181, 49, 82, Lightning, 1, 1, 20, 44, 10.1191560984, 13.1576843636037, 235.97791022, NaN, 0.8, NaN, 0, 0, 0.0500000007450581, 0.783684966362847, 782, 301, 7217, 
49, 3, 534, 207, 0.993388357662584, 77, 109, Accidental, 1, 1, 46, 128, 11.5166576088, 15.3432931542637, 196.48504268, NaN, 0.99, NaN, 0, 0, 0.150000005960464, 0.896489364963108, 0, 302, 15890, 
50, 3, 416, 241, 19.4463779761267, 185, 411, Lightning, 1, 1, 23, 70, 10.9750199976, 13.4306908932295, 155.9783473, NaN, 19.45, NaN, 0, 0, 0.200000002980232, 1, 893, 237, 6723, 
51, 3, 508, 188, 26.910044328244, 193, 598, Lightning, 1, 1, 18, 24, 10.9658398428, 18.7344526692649, 226.67183988, NaN, 26.91, NaN, 0, 0, 0.136263936758041, 0.605945434570312, 250, 395, 6830, 
52, 3, 582, 215, 33.1677061715017, 213, 665, Lightning, 1, 1, 56, 101, 11.341353312, 14.7522873484606, 228.18735549, NaN, 33.17, NaN, 0, 0, 0.150000005960464, 0.510496797010634, 249, 483, 19600, 
53, 3, 418, 128, 27.4675680898967, 217, 492, Accidental, 1, 1, 4, 15, 6.8020860384, 7.84526343341183, 151.8076083, NaN, 27.47, NaN, 0, 0, 0.129999995231628, 0.829977620442708, 0, 352, 518, 
54, 3, 474, 174, 25.1483933986822, 224, 507, Lightning, 1, 1, 40, 61, 7.276092624, 13.0845199782538, 251.65425834, NaN, 25.15, NaN, 0, 0, 0.146525159478188, 0.46345953640408, 0, 591, 16981, 
