SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 7, 1, 1, 0, Accidental, 
1, 8, 1, 1, 0, Lightning, 
1, 72, 1, 1, 1.78439866116871, Lightning, 
1, 81, 1, 1, 3.67587334845542, Lightning, 
1, 82, 1, 1, 4.00519028188299, Accidental, 
1, 87, 1, 1, 5.72500318334476, Lightning, 
1, 88, 1, 1, 4.90717828854138, Lightning, 
1, 91, 1, 1, 4.77734708651785, Lightning, 
1, 120, 1, 1, 13.6485863159582, Lightning, 
1, 137, 1, 1, 12.6903404214626, Accidental, 
1, 139, 1, 1, 15.6715066437058, Accidental, 
1, 159, 1, 1, 18.1843540198752, Accidental, 
1, 207, 1, 1, 38.5153862500732, Accidental, 
1, 224, 1, 1, 38.1516183332597, Accidental, 
1, 249, 1, 1, 28.547297519588, Accidental, 
1, 262, 1, 1, 20.2321875812922, Lightning, 
1, 273, 1, 1, 41.523235790349, Accidental, 
1, 276, 1, 1, 41.6340751945174, Lightning, 
1, 278, 1, 1, 40.9656572978478, Lightning, 
1, 283, 1, 1, 35.501131279221, Accidental, 
1, 283, 1, 1, 35.501131279221, Lightning, 
1, 310, 1, 1, 22.0400987319469, Accidental, 
1, 318, 1, 1, 18.9701007979762, Lightning, 
1, 339, 1, 1, 8.05892494432442, Lightning, 
1, 345, 1, 1, 24.482827585238, Lightning, 
1, 353, 1, 1, 15.8041149736037, Lightning, 
2, 30, 1, 1, 0.334987436662848, Accidental, 
2, 44, 1, 1, 1.79931923785109, Accidental, 
2, 54, 1, 1, 4.1878633725964, Accidental, 
2, 59, 1, 1, 2.40213022529479, Accidental, 
2, 71, 1, 1, 4.53698713738761, Accidental, 
2, 85, 1, 1, 1.00568387306055, Lightning, 
2, 138, 1, 1, 13.7699401224956, Accidental, 
2, 154, 1, 1, 22.629364818673, Lightning, 
2, 170, 1, 1, 35.676739745849, Accidental, 
2, 175, 1, 1, 33.9253299021215, Accidental, 
2, 178, 1, 1, 34.4585073428658, Accidental, 
2, 200, 1, 1, 36.1842136183927, Accidental, 
2, 201, 1, 1, 35.9314922329705, Accidental, 
2, 219, 1, 1, 42.7671605513263, Lightning, 
2, 259, 1, 1, 32.2795631530574, Lightning, 
2, 262, 1, 1, 27.3683421235106, Accidental, 
2, 278, 1, 1, 18.4712899048621, Accidental, 
2, 284, 1, 1, 13.0128907575411, Accidental, 
2, 293, 1, 1, 24.6255594303348, Accidental, 
2, 298, 1, 1, 21.7556213599563, Lightning, 
2, 300, 1, 1, 13.8436854127074, Lightning, 
2, 307, 1, 1, 21.767008818659, Lightning, 
2, 318, 1, 1, 6.43203642750236, Accidental, 
2, 327, 1, 1, 1.88748424153858, Accidental, 
