SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 8, 10, 0, 8, 10, 0, 72636, 112374, 0, 
2, 11, 13, 0, 11, 13, 0, 106818, 94750, 0, 
3, 11, 11, 0, 11, 11, 0, 93919, 83870, 0, 
4, 9, 16, 0, 9, 16, 0, 59526, 106487, 0, 
5, 14, 8, 0, 14, 8, 0, 145051, 59430, 0, 
6, 13, 17, 0, 12, 16, 0, 132773, 193429, 0, 
7, 18, 16, 0, 18, 16, 0, 187044, 196861, 0, 
8, 18, 12, 0, 17, 10, 0, 236325, 152229, 0, 
9, 17, 12, 0, 15, 12, 0, 179244, 159076, 0, 
10, 13, 11, 0, 13, 11, 0, 111645, 120250, 0, 
11, 16, 14, 0, 16, 14, 0, 247102, 180343, 0, 
12, 9, 28, 0, 9, 14, 0, 125148, 250155, 0, 
13, 31, 24, 0, 15, 9, 0, 288321, 221542, 0, 
14, 421, 405, 0, 19, 15, 0, 3637642, 3568542, 0, 
15, 15, 13, 0, 14, 13, 0, 186149, 145210, 0, 
16, 14, 8, 0, 14, 8, 0, 164353, 115762, 0, 
17, 17, 13, 0, 17, 13, 0, 228030, 154581, 0, 
18, 13, 19, 0, 13, 19, 0, 157517, 222209, 0, 
19, 9, 6, 0, 9, 6, 0, 92969, 79772, 0, 
20, 2123, 2163, 0, 8, 13, 0, 13712531, 16356879, 0, 
21, 18, 14, 0, 18, 14, 0, 218749, 178366, 0, 
22, 385, 850, 0, 16, 14, 0, 2217231, 6291745, 0, 
23, 20, 18, 0, 17, 13, 0, 191083, 191841, 0, 
24, 904, 519, 0, 18, 18, 0, 7292666, 6417351, 0, 
25, 407, 235, 0, 15, 20, 0, 3992733, 2463352, 0, 
26, 12, 11, 0, 12, 11, 0, 111960, 125171, 0, 
27, 753, 45, 0, 14, 17, 0, 4540443, 550192, 0, 
28, 17, 755, 0, 17, 18, 0, 179489, 7341541, 0, 
29, 3211, 748, 0, 30, 19, 0, 21851370, 6711614, 0, 
30, 2782, 624, 0, 17, 18, 0, 28678206, 5132723, 0, 
