Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, AbieConc, eco2, 50, 0, 1, 0.6, 0, 214.22, 0, 365, 
5, AbieConc, eco3, 250, 0, 1, 0.55, 0, 231.67, 0, 365, 
5, AbieConc, eco4, 127, 0, 1, 0.62, 0, 204.38, 0, 365, 
5, AbieConc, eco5, 19, 0, 1, 0.51, 0, 247.37, 0, 365, 
5, AbieConc, eco14, 145, 0.85, 1, 0.49, 0.3, 180.48, 56.83, 315.76, 
5, AbieConc, eco15, 162, 0.55, 1, 0.67, 0.33, 183.35, 0.51, 364.72, 
5, AbieConc, eco16, 273, 0.06, 1, 0.63, 0.04, 202.91, 0, 365, 
5, AbieConc, eco17, 421, 0, 1, 0.59, 0, 217.21, 0, 365, 
5, AbieConc, eco18, 239, 0, 1, 0.56, 0, 230.55, 0, 365, 
5, AbieConc, eco19, 339, 0, 1, 0.61, 0, 209.58, 0, 365, 
5, AbieConc, eco20, 228, 0, 1, 0.57, 0, 220.23, 0, 365, 
5, AbieConc, eco21, 66, 0, 1, 0.58, 0, 219.14, 0, 365, 
5, AbieConc, eco22, 1, 0, 1, 0.38, 0, 291, 0, 365, 
5, AbieConc, eco25, 73, 0, 1, 0.6, 0, 209.82, 0, 356.12, 
5, AbieConc, eco26, 361, 0, 1, 0.53, 0, 234.06, 0, 358.8, 
5, AbieConc, eco27, 344, 0, 1, 0.59, 0, 218.07, 0, 359.03, 
5, AbieConc, eco28, 369, 0.92, 1, 0.45, 0.27, 176.35, 67.22, 307.55, 
5, AbieConc, eco29, 148, 0.71, 1, 0.55, 0.33, 199.95, 6.57, 315.78, 
5, AbieConc, eco30, 207, 0.42, 1, 0.67, 0.25, 181.87, 2.97, 362.82, 
5, AbieConc, eco31, 266, 0.27, 1, 0.66, 0.14, 179.64, 8.09, 358.89, 
5, AbieConc, eco32, 652, 0.26, 1, 0.66, 0.13, 176.03, 10.52, 356.56, 
5, AbieConc, eco33, 678, 0.1, 1, 0.63, 0.05, 181.86, 9.25, 356.18, 
5, AbieConc, eco34, 479, 0, 1, 0.59, 0, 216.73, 0, 365, 
5, AbieConc, eco35, 38, 0, 1, 0.66, 0, 188.84, 0, 365, 
5, AbieConc, eco37, 381, 0, 1, 0.69, 0, 171.8, 0, 354.93, 
5, AbieConc, eco38, 772, 0, 1, 0.68, 0, 173.79, 0, 353.58, 
5, AbieConc, eco39, 532, 0, 1, 0.66, 0, 185.91, 0, 355.06, 
5, AbieConc, eco40, 459, 0, 1, 0.6, 0, 200.08, 0, 344.3, 
5, AbieConc, eco41, 603, 0.98, 1, 0.57, 0.34, 137.18, 77.95, 301.86, 
5, AbieConc, eco42, 772, 0.94, 1, 0.54, 0.32, 149.42, 73.23, 304.05, 
5, AbieConc, eco43, 1348, 0.89, 1, 0.55, 0.33, 167.31, 43.86, 306.26, 
5, AbieConc, eco44, 1556, 0.91, 1, 0.63, 0.38, 146.21, 33.29, 305.3, 
5, AbieConc, eco45, 915, 0.89, 1, 0.56, 0.34, 169.05, 35.26, 306.2, 
5, AbieConc, eco46, 344, 0.19, 1, 0.65, 0.11, 194.01, 0, 365, 
5, AbieConc, eco47, 13, 0.58, 1, 0.65, 0.34, 182.69, 0, 345, 
5, AbieConc, eco49, 179, 0.56, 1, 0.72, 0.32, 138.28, 22.45, 339.88, 
5, AbieConc, eco50, 545, 0.42, 1, 0.64, 0.24, 169.67, 22.32, 342.3, 
5, AbieConc, eco51, 510, 0.31, 1, 0.67, 0.18, 160.59, 18.48, 341.19, 
5, AbieConc, eco52, 558, 0.16, 1, 0.64, 0.09, 172.8, 17.84, 338.92, 
5, AbieConc, eco53, 323, 0.31, 1, 0.67, 0.18, 160.51, 15.16, 334.16, 
5, AbieConc, eco54, 709, 0.98, 1, 0.65, 0.39, 105.59, 93.98, 295.47, 
5, AbieConc, eco55, 1297, 0.97, 1, 0.61, 0.37, 108.34, 101.22, 292.31, 
5, AbieConc, eco56, 1048, 0.9, 1, 0.55, 0.33, 103.31, 119.87, 283.52, 
5, AbieConc, eco57, 1026, 0.94, 1, 0.47, 0.28, 128.58, 107.65, 287.37, 
5, AbieConc, eco58, 439, 0.07, 1, 0.6, 0.04, 211.22, 0, 357.37, 
5, AbieConc, eco59, 82, 0.95, 1, 0.64, 0.38, 133.09, 58.28, 305.13, 
5, AbieConc, eco62, 100, 0.95, 1, 0.69, 0.42, 133.07, 26.8, 308.44, 
5, AbieConc, eco63, 299, 0.92, 1, 0.67, 0.4, 141.7, 20.65, 307.52, 
5, AbieConc, eco64, 280, 0.88, 1, 0.74, 0.44, 129.35, 0.69, 314.82, 
5, AbieConc, eco65, 405, 0.72, 1, 0.75, 0.42, 133.97, 0.22, 328.95, 
5, AbieConc, eco66, 416, 0.65, 1, 0.7, 0.38, 150.22, 4.44, 325.14, 
5, AbieConc, eco67, 162, 0.98, 1, 0.59, 0.35, 132, 84.3, 307.84, 
5, AbieConc, eco68, 396, 0.97, 1, 0.53, 0.32, 117.33, 108.45, 291.02, 
5, AbieConc, eco69, 304, 0.92, 1, 0.64, 0.38, 86.66, 112.72, 288.22, 
5, AbieConc, eco70, 229, 0.87, 1, 0.52, 0.31, 96.76, 119.71, 277.26, 
5, AbieConc, eco71, 199, 0.05, 1, 0.67, 0.03, 181.04, 0, 353.63, 
5, AbieConc, eco72, 21, 0.88, 1, 0.69, 0.4, 72.43, 115, 282, 
5, AbieConc, eco74, 4, 0.96, 1, 0.57, 0.34, 111, 106, 287, 
5, AbieConc, eco75, 36, 0.94, 1, 0.54, 0.32, 125.31, 98, 294, 
5, AbieConc, eco76, 159, 0.99, 1, 0.68, 0.41, 99.72, 93, 298, 
5, AbieConc, eco77, 434, 0.97, 1, 0.73, 0.44, 84.15, 100, 299, 
