Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, AbieConc, eco1, 740, 0, 1, 0.61, 0, 183.3, 0, 328.52, 
5, AbieConc, eco2, 3921, 0, 1, 0.49, 0, 218.01, 0, 324.18, 
5, AbieConc, eco3, 2936, 0.27, 1, 0.5, 0.15, 200.27, 19.17, 320, 
5, AbieConc, eco4, 3707, 0.57, 1, 0.52, 0.27, 185.07, 29.75, 319.32, 
5, AbieConc, eco5, 3340, 0.88, 1, 0.61, 0.37, 149.41, 52.52, 317.32, 
5, AbieConc, eco6, 3988, 0.98, 1, 0.4, 0.24, 126.05, 108.7, 273.23, 
5, AbieConc, eco7, 2208, 0.9, 1, 0.51, 0.31, 100.28, 112.72, 259.6, 
5, AbieConc, eco8, 738, 0.81, 1, 0.57, 0.34, 85.87, 116.57, 254.82, 
5, AbieConc, eco9, 36, 0.73, 1, 0.55, 0.33, 80.89, 123.67, 251.25, 
5, AbieConc, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AbieMagn, eco1, 729, 0, 1, 0.6, 0, 181.26, 0, 328.53, 
5, AbieMagn, eco2, 3992, 0, 1, 0.47, 0, 218.95, 0, 324.17, 
5, AbieMagn, eco3, 2945, 0.05, 1, 0.48, 0.03, 200.72, 18.85, 320.17, 
5, AbieMagn, eco4, 3732, 0.41, 1, 0.5, 0.21, 184.55, 29.72, 319.22, 
5, AbieMagn, eco5, 3313, 0.81, 1, 0.6, 0.36, 149.44, 52.71, 317.19, 
5, AbieMagn, eco6, 4032, 0.99, 1, 0.38, 0.23, 126.11, 108.87, 273.25, 
5, AbieMagn, eco7, 2203, 0.92, 1, 0.49, 0.29, 100.69, 112.8, 259.69, 
5, AbieMagn, eco8, 717, 0.84, 1, 0.56, 0.33, 86.14, 116.71, 254.9, 
5, AbieMagn, eco9, 36, 0.76, 1, 0.53, 0.32, 80.89, 124.56, 251.67, 
5, AbieMagn, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, CaloDecu, eco1, 548, 0, 1, 0.65, 0, 174.74, 0, 328.48, 
5, CaloDecu, eco2, 2535, 0, 1, 0.54, 0, 212.48, 0, 323.99, 
5, CaloDecu, eco3, 1548, 0.34, 1, 0.55, 0.2, 191.54, 20.89, 319.76, 
5, CaloDecu, eco4, 2108, 0.69, 1, 0.56, 0.32, 181.91, 30.76, 318.99, 
5, CaloDecu, eco5, 1736, 0.97, 1, 0.63, 0.38, 147.97, 54.89, 315.57, 
5, CaloDecu, eco6, 2636, 0.75, 1, 0.43, 0.26, 123.13, 111.84, 272.8, 
5, CaloDecu, eco7, 1580, 0.5, 1, 0.53, 0.28, 100.59, 116.45, 261.52, 
5, CaloDecu, eco8, 453, 0.29, 1, 0.58, 0.17, 87.45, 118.47, 255.92, 
5, CaloDecu, eco9, 20, 0.13, 1, 0.63, 0.08, 75.6, 121, 250, 
5, CaloDecu, eco10, 1, 0, 1, 0.73, 0, 52, 130, 243, 
5, FX_R_SEED, eco1, 2389, 0.14, 1, 0.78, 0.09, 118.13, 0, 328.9, 
5, FX_R_SEED, eco2, 3888, 0.32, 1, 0.64, 0.19, 174.67, 0, 324.81, 
5, FX_R_SEED, eco3, 1638, 0.57, 1, 0.61, 0.3, 172.3, 17.11, 320.95, 
