Time,ROS,AgentName,CohortsKilled,DamagedSites,TotalBiomassMortality,MeanSeverity,ClimateThreshold1,ClimateThreshold2,
1, 1, WPBR_chronic, 2, 2, 345, 1, 0, 7.41, 
2, 1, WPBR_chronic, 8, 2, 1282, 1, 16.67, 1.99, 
3, 1, WPBR_chronic, 10, 3, 1777, 1, 32.36, 3.47, 
4, 1, WPBR_chronic, 7, 2, 1120, 1, 45.31, 4.46, 
5, 1, WPBR_chronic, 3, 2, 635, 1, 54.03, 3.85, 
6, 2, JeffreyPineBeetle, 7641, 1219, 3715046, 1.15, 620.47, 5.17, 
6, 2, MountainPineBeetle, 5579, 1063, 1708762, 1.58, 620.47, 5.17, 
6, 3, FirEngraver, 18062, 1101, 10176359, 1.02, 620.47, 5.17, 
6, 1, WPBR_chronic, 3, 1, 765, 1, 620.47, 5.17, 
6, 2, WPineBeetle, 3414, 479, 1163163, 2.7, 620.47, 5.17, 
7, 1, JeffreyPineBeetle, 3449, 562, 1683417, 1, 621.33, 5.85, 
7, 1, MountainPineBeetle, 2628, 550, 823965, 1, 621.33, 5.85, 
7, 3, FirEngraver, 19094, 1134, 11081163, 1.01, 621.33, 5.85, 
7, 2, WPineBeetle, 4010, 537, 1383540, 2.67, 621.33, 5.85, 
8, 1, JeffreyPineBeetle, 3560, 567, 1771040, 1, 621.91, 3.08, 
8, 3, MountainPineBeetle, 7810, 1591, 2468346, 1.93, 621.91, 3.08, 
8, 3, FirEngraver, 17629, 1091, 10049181, 1.02, 621.91, 3.08, 
8, 1, WPBR_chronic, 3, 2, 585, 1, 621.91, 3.08, 
8, 1, WPineBeetle, 1789, 251, 601151, 1.69, 621.91, 3.08, 
10, 3, JeffreyPineBeetle, 11149, 1763, 5424345, 2, 621.88, 7.41, 
10, 2, MountainPineBeetle, 5050, 1066, 1606193, 1.56, 621.88, 7.41, 
10, 3, FirEngraver, 17377, 1073, 9788798, 1.01, 621.88, 7.41, 
10, 1, WPBR_chronic, 10, 1, 2846, 1, 621.88, 7.41, 
10, 1, WPineBeetle, 1874, 261, 654572, 1.66, 621.88, 7.41, 
11, 1, WPBR_chronic, 1, 1, 87, 1, 578.46, 5.33, 
12, 1, WPBR_chronic, 6, 2, 2275, 1, 580.11, 6.16, 
13, 1, WPBR_chronic, 2, 1, 624, 1, 580.87, 5.17, 
15, 1, WPBR_chronic, 6, 3, 960, 1, 579.79, 2.29, 
16, 1, WPBR_chronic, 9, 1, 3429, 1, 579.49, 1.23, 
17, 1, WPBR_chronic, 2, 2, 1538, 1, 580.49, -4.63, 
18, 1, WPBR_chronic, 1, 1, 125, 1, 578.36, 3.08, 
20, 1, WPBR_chronic, 10, 1, 1650, 1, 577.22, 4.56, 
21, 3, FirEngraver, 24258, 1336, 15071400, 1.02, 609.5, 3.85, 
21, 1, WPBR_chronic, 4, 1, 1002, 1, 609.5, 3.85, 
22, 1, FirEngraver, 8620, 474, 5457696, 1, 609.74, 8.48, 
22, 1, WPBR_chronic, 10, 3, 4264, 1, 609.74, 8.48, 
24, 1, FirEngraver, 7034, 426, 4382382, 1, 610.29, 4.58, 
24, 1, WPBR_chronic, 1, 1, 174, 1, 610.29, 4.58, 
25, 1, FirEngraver, 8088, 461, 5207441, 1, 610.37, 4.56, 
26, 1, FirEngraver, 7911, 442, 5079007, 1, 609.41, 4.56, 
27, 2, FirEngraver, 14672, 860, 9471012, 1, 609.43, 5.85, 
27, 1, WPBR_chronic, 34, 2, 13680, 1, 609.43, 5.85, 
28, 1, FirEngraver, 7521, 431, 4913363, 1, 609.82, 4.55, 
28, 1, WPBR_chronic, 1, 1, 170, 1, 609.82, 4.55, 
29, 3, FirEngraver, 22564, 1299, 14398225, 1.03, 610, 3.85, 
30, 3, FirEngraver, 23400, 1334, 14917423, 1.03, 610.05, 4.44, 
30, 1, WPBR_chronic, 2, 2, 259, 1, 610.05, 4.44, 
33, 3, FirEngraver, 24964, 1462, 16134027, 1.05, 610.31, 3.47, 
33, 1, WPBR_chronic, 1, 1, 401, 1, 610.31, 3.47, 
34, 1, WPBR_chronic, 6, 3, 5704, 1, 610.67, 1.04, 
35, 3, FirEngraver, 25021, 1461, 16260422, 1.05, 610.63, 5.6, 
35, 1, WPBR_chronic, 4, 1, 4800, 1, 610.63, 5.6, 
37, 3, JeffreyPineBeetle, 14338, 2030, 9201891, 2.01, 701.08, 3.08, 
37, 3, JeffreyPineBeetle, 8151, 1319, 5605501, 2.1, 701.08, 3.08, 
37, 2, MountainPineBeetle, 6422, 1293, 4225036, 1.7, 701.08, 3.08, 
37, 2, FirEngraver, 17084, 985, 11240366, 1, 701.08, 3.08, 
37, 3, FirEngraver_Peak, 131609, 8873, 85498993, 2.13, 701.08, 3.08, 
37, 1, WPBR_chronic, 1, 1, 101, 1, 701.08, 3.08, 
37, 3, WPineBeetle, 7902, 1080, 4861124, 2.95, 701.08, 3.08, 
38, 1, JeffreyPineBeetle, 4443, 628, 2746488, 1, 694.97, 2.96, 
38, 3, MountainPineBeetle, 9871, 1973, 6465798, 2.11, 694.97, 2.96, 
38, 3, FirEngraver, 26005, 1492, 16853161, 1.06, 694.97, 2.96, 
38, 2, FirEngraver_Peak, 85180, 5724, 55640868, 1.99, 694.97, 2.96, 
39, 1, JeffreyPineBeetle, 4622, 644, 2885486, 1, 689.73, 2.85, 
39, 1, MountainPineBeetle, 2952, 606, 1821291, 1, 689.73, 2.85, 
39, 1, FirEngraver, 8282, 480, 5364362, 1, 689.73, 2.85, 
39, 3, FirEngraver_Peak, 118474, 8117, 77276787, 2.13, 689.73, 2.85, 
40, 3, JeffreyPineBeetle, 13454, 1925, 8330569, 2.02, 686.64, 3.56, 
40, 3, JeffreyPineBeetle, 7696, 1216, 5292556, 2.08, 686.64, 3.56, 
40, 3, MountainPineBeetle, 9397, 1915, 6182625, 2.06, 686.64, 3.56, 
40, 3, FirEngraver, 22454, 1288, 14878594, 1.06, 686.64, 3.56, 
40, 2, FirEngraver_Peak, 76749, 5376, 49900604, 1.99, 686.64, 3.56, 
40, 2, WPineBeetle, 5045, 657, 3229365, 2.84, 686.64, 3.56, 
41, 3, FirEngraver, 24177, 1432, 15383301, 1.14, 590.2, 7.24, 
41, 1, WPBR_chronic, 9, 2, 11283, 1, 590.2, 7.24, 
42, 2, FirEngraver, 15111, 924, 9500601, 1, 593.7, 4.58, 
43, 1, FirEngraver, 7940, 476, 5020931, 1, 594.17, 4.46, 
44, 2, FirEngraver, 15455, 956, 10018470, 1, 594.21, 2.85, 
45, 1, WPBR_chronic, 5, 2, 1345, 1, 594.77, 1.99, 
46, 3, FirEngraver, 22889, 1408, 14866223, 1.16, 612.38, 3.62, 
