Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_AbieConc,CohortsHarvested_AbieMagn,CohortsHarvested_CaloDecu,CohortsHarvested_FX_R_SEED,CohortsHarvested_NOFX_R_SEED,CohortsHarvested_NOFX_NOR_SEED,CohortsHarvested_PinuAlbi,CohortsHarvested_PinuCont,CohortsHarvested_PinuJeff,CohortsHarvested_PinuLamb,CohortsHarvested_PinuMont,CohortsHarvested_PopuTrem,CohortsHarvested_TsugMert,CohortsHarvested_AcerMacr,CohortsHarvested_AescCali,CohortsHarvested_AlnuRhom,CohortsHarvested_ArbuMenz,CohortsHarvested_CornNutt,CohortsHarvested_JuniOcci,CohortsHarvested_LithDens,CohortsHarvested_PinuAtte,CohortsHarvested_PinuMono,CohortsHarvested_PinuPond,CohortsHarvested_PinuSabi,CohortsHarvested_PinuWash,CohortsHarvested_PseuMenz,CohortsHarvested_QuerChry,CohortsHarvested_QuerDoug,CohortsHarvested_QuerGarr,CohortsHarvested_QuerKell,CohortsHarvested_QuerWisl,CohortsHarvested_TaxuBrev,CohortsHarvested_TorrCali,CohortsHarvested_UmbeCali,BiomassHarvestedMg_AbieConc,BiomassHarvestedMg_AbieMagn,BiomassHarvestedMg_CaloDecu,BiomassHarvestedMg_FX_R_SEED,BiomassHarvestedMg_NOFX_R_SEED,BiomassHarvestedMg_NOFX_NOR_SEED,BiomassHarvestedMg_PinuAlbi,BiomassHarvestedMg_PinuCont,BiomassHarvestedMg_PinuJeff,BiomassHarvestedMg_PinuLamb,BiomassHarvestedMg_PinuMont,BiomassHarvestedMg_PopuTrem,BiomassHarvestedMg_TsugMert,BiomassHarvestedMg_AcerMacr,BiomassHarvestedMg_AescCali,BiomassHarvestedMg_AlnuRhom,BiomassHarvestedMg_ArbuMenz,BiomassHarvestedMg_CornNutt,BiomassHarvestedMg_JuniOcci,BiomassHarvestedMg_LithDens,BiomassHarvestedMg_PinuAtte,BiomassHarvestedMg_PinuMono,BiomassHarvestedMg_PinuPond,BiomassHarvestedMg_PinuSabi,BiomassHarvestedMg_PinuWash,BiomassHarvestedMg_PseuMenz,BiomassHarvestedMg_QuerChry,BiomassHarvestedMg_QuerDoug,BiomassHarvestedMg_QuerGarr,BiomassHarvestedMg_QuerKell,BiomassHarvestedMg_QuerWisl,BiomassHarvestedMg_TaxuBrev,BiomassHarvestedMg_TorrCali,BiomassHarvestedMg_UmbeCali,
1, 1, PIF_CC_28, 382, 19603, 0, 241455.978710711, 5581, 798, 3235, 0, 0, 0, 1, 4, 1155, 1794, 29, 26, 75, 34, 2, 61, 75, 14, 39, 9, 0, 4, 2842, 95, 0, 3203, 97, 25, 2, 329, 74, 0, 0, 0, 110729.689525926, 7946.78042339086, 32024.0628942609, 0, 0, 0, 3.53160001039505, 20.7036000609398, 11652.7248342991, 11288.4192332268, 171.104400503635, 163.911600482464, 631.184401857853, 197.607600581646, 9.55800002813339, 365.601601076126, 419.482801234722, 68.072400200367, 455.641201341152, 41.1480001211166, 0, 19.051200056076, 23017.3488677502, 737.229602169991, 0, 36829.8901084066, 817.840802407265, 142.236000418663, 10.756800031662, 3255.87600958347, 436.525201284885, 0, 0, 0, 
1, 3, PIF_CC_30, 115, 4677, 0, 62299.0765833735, 1464, 445, 441, 0, 0, 0, 10, 15, 633, 176, 25, 2, 86, 10, 0, 7, 11, 1, 30, 5, 5, 4, 593, 44, 0, 436, 50, 18, 2, 135, 29, 0, 0, 0, 29646.0972872615, 5289.85081557036, 4112.82361210585, 0, 0, 0, 107.98920031786, 87.123600256443, 8177.04722406864, 940.377602767944, 233.442000687122, 12.0852000355721, 856.364402520657, 49.0860001444817, 0, 44.3880001306534, 55.3716001629829, 3.33720000982285, 356.432401049137, 27.4104000806809, 69.6276002049446, 32.3676000952721, 4385.08081290722, 316.839600932598, 0, 5269.50361551046, 455.86800134182, 112.784400331974, 7.64640002250671, 1431.52920421362, 218.602800643444, 0, 0, 0, 
1, 5, PIF_CC_32, 107, 4895, 0, 71281.2638098121, 1562, 1629, 35, 0, 0, 0, 16, 335, 959, 28, 107, 2, 66, 0, 0, 2, 4, 2, 66, 0, 0, 0, 26, 5, 0, 20, 2, 0, 0, 26, 3, 0, 0, 0, 28312.2864833355, 23082.3432679415, 231.271200680733, 0, 0, 0, 119.167200350761, 3738.70081100464, 12417.2352365494, 137.732400405407, 876.031202578545, 12.960000038147, 555.822001636028, 0, 0, 8.81280002593994, 30.4560000896454, 9.23400002717972, 1314.30600386858, 0, 0, 0, 131.187600386143, 27.6372000813484, 0, 84.4992002487183, 8.00280002355576, 0, 0, 167.832000494003, 15.7464000463486, 0, 0, 0, 
1, 7, PIF_CC_34, 86, 3617, 0, 53603.1109577775, 1017, 1174, 70, 0, 0, 0, 3, 182, 844, 48, 41, 0, 40, 0, 0, 1, 1, 1, 55, 0, 0, 0, 41, 9, 0, 16, 16, 0, 0, 39, 19, 0, 0, 0, 17169.9264505386, 19333.177256906, 403.89840118885, 0, 0, 0, 21.5460000634193, 1605.32280472517, 12510.7092368245, 296.26560087204, 254.178000748158, 0, 351.345601034164, 0, 0, 5.44320001602173, 4.43880001306534, 5.96160001754761, 743.482802188396, 0, 0, 0, 213.516000628471, 65.7720001935959, 0, 65.9340001940727, 105.202800309658, 0, 0, 336.992400991917, 109.998000323772, 0, 0, 0, 
1, 2, PIF_PCT_29, 228, 7793, 753, 122797.263961446, 3459, 633, 1182, 0, 0, 0, 6, 2, 267, 74, 45, 0, 131, 0, 0, 0, 0, 0, 79, 0, 0, 0, 312, 47, 0, 2309, 0, 0, 0, 0, 0, 0, 0, 0, 70746.9554082394, 6428.41921892166, 9925.74002921581, 0, 0, 0, 48.8592001438141, 6.41520001888275, 2314.59120681286, 382.093201124668, 227.156400668621, 0, 1177.93440346718, 0, 0, 0, 0, 0, 1310.28840385675, 0, 0, 0, 2422.32120712996, 328.568400967121, 0, 27477.9216808796, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 4, PIF_PCT_31, 109, 2960, 489, 46641.031337285, 1059, 564, 362, 0, 0, 0, 8, 23, 227, 23, 27, 0, 64, 0, 0, 0, 0, 0, 63, 0, 0, 0, 148, 33, 0, 848, 0, 0, 0, 0, 0, 0, 0, 0, 17406.3168512344, 8881.71482614279, 3133.95480922461, 0, 0, 0, 74.5200002193451, 191.970000565052, 2837.39760835171, 112.687200331688, 135.853200399876, 0, 452.628001332283, 0, 0, 0, 0, 0, 1001.32200294733, 0, 0, 0, 1142.74800336361, 311.428800916672, 0, 10958.4900322556, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 6, PIF_PCT_33, 85, 3024, 447, 56263.3453656077, 1244, 1227, 132, 0, 0, 0, 10, 56, 231, 12, 84, 0, 55, 0, 0, 0, 0, 0, 36, 0, 0, 0, 48, 6, 0, 330, 0, 0, 0, 0, 0, 0, 0, 0, 23524.6356692433, 21254.9508625627, 1090.09800320864, 0, 0, 0, 123.606000363827, 366.962401080132, 2930.61240862608, 66.9708001971245, 601.862401771545, 0, 637.761601877213, 0, 0, 0, 0, 0, 517.039201521874, 0, 0, 0, 348.138001024723, 39.7224001169205, 0, 4760.98561401367, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 8, PIF_PCT_35, 82, 2741, 363, 51934.4461528659, 1196, 1324, 106, 0, 0, 0, 20, 23, 219, 11, 43, 0, 46, 0, 0, 0, 0, 0, 54, 0, 0, 0, 23, 24, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 20946.6648616552, 25644.2760754824, 683.996402013302, 0, 0, 0, 299.797200882435, 140.22720041275, 2298.65040676594, 51.4836001515389, 301.611600887775, 0, 373.539601099491, 0, 0, 0, 0, 0, 781.164002299309, 0, 0, 0, 114.696000337601, 216.432000637054, 0, 81.9072002410889, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 31, FED_SGH_10, 258, 8821, 2546, 128067.156376958, 2605, 195, 1733, 0, 0, 0, 0, 8, 297, 257, 26, 0, 78, 0, 0, 0, 0, 0, 30, 0, 0, 0, 1893, 65, 0, 4180, 0, 0, 0, 0, 0, 0, 0, 0, 41841.1333231568, 2474.71200728416, 13843.4508407474, 0, 0, 0, 0, 74.0016002178192, 2779.79040818214, 725.112002134323, 213.224400627613, 0, 607.370401787758, 0, 0, 0, 0, 0, 329.475600969791, 0, 0, 0, 12941.5644380927, 371.692801094055, 0, 51865.6285526633, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 31, PNIF_SG_10, 71, 2479, 642, 31564.0152929068, 489, 7, 459, 0, 0, 0, 0, 0, 12, 51, 2, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 562, 15, 0, 1505, 0, 0, 0, 0, 0, 0, 0, 0, 6380.72641878128, 45.4572001338005, 3805.83361120224, 0, 0, 0, 0, 0, 71.2800002098083, 112.266000330448, 8.13240002393722, 0, 152.96040045023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3001.14720883369, 90.8172002673149, 0, 17895.394852674, 0, 0, 0, 0, 0, 0, 0, 0, 
