SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 25, 4, 4, 7.15438924930015, Rx, 
1, 26, 4, 4, 7.39113883227698, Rx, 
1, 27, 4, 4, 6.41100613403976, Rx, 
1, 38, 4, 4, 7.24971385138226, Rx, 
1, 39, 4, 4, 6.20796346466689, Rx, 
1, 44, 4, 4, 7.76965039754689, Rx, 
1, 46, 4, 4, 7.48404954048325, Rx, 
1, 53, 4, 4, 10.2494305370101, Rx, 
1, 54, 4, 4, 10.5468708135193, Rx, 
1, 56, 4, 4, 10.9359779215265, Rx, 
1, 57, 4, 4, 10.0148904820382, Rx, 
1, 58, 4, 4, 6.63619735801212, Rx, 
1, 62, 4, 4, 6.0744157491907, Rx, 
1, 63, 4, 4, 6.34443487611733, Rx, 
1, 64, 4, 4, 6.83695399884986, Rx, 
1, 73, 4, 4, 9.7325721328766, Rx, 
1, 83, 4, 4, 11.845673571714, Rx, 
1, 84, 4, 4, 15.4090546209553, Rx, 
1, 91, 4, 4, 14.3425241413208, Rx, 
1, 95, 4, 4, 13.8185948575419, Rx, 
1, 100, 4, 4, 19.577334723064, Rx, 
1, 101, 4, 4, 19.5469104973278, Rx, 
1, 104, 4, 4, 9.28648173573841, Rx, 
1, 105, 4, 4, 9.84181508090149, Rx, 
1, 106, 4, 4, 9.39616585012419, Rx, 
1, 110, 4, 4, 7.87518774597901, Rx, 
1, 113, 4, 4, 7.32983668374414, Rx, 
1, 115, 4, 4, 9.12402403523072, Rx, 
1, 116, 4, 4, 10.5423073691801, Rx, 
1, 117, 4, 4, 11.8055047499874, Rx, 
1, 123, 4, 4, 11.9322068192184, Rx, 
1, 129, 4, 4, 11.1273456726707, Rx, 
1, 130, 4, 4, 15.8300060614421, Rx, 
1, 131, 4, 4, 17.2294570453178, Rx, 
1, 133, 4, 4, 14.5949585186214, Rx, 
1, 134, 4, 4, 17.3410808272897, Rx, 
1, 137, 4, 4, 11.9190904298082, Rx, 
1, 138, 4, 4, 18.0957802042276, Rx, 
1, 159, 4, 4, 14.6576135798598, Rx, 
1, 161, 4, 4, 15.9880913980279, Rx, 
1, 162, 4, 4, 17.5712536446008, Rx, 
1, 163, 4, 4, 20.5618369786153, Rx, 
1, 166, 4, 4, 23.9960531318496, Rx, 
1, 168, 4, 4, 22.6570854952336, Rx, 
1, 171, 4, 4, 26.2315269928371, Rx, 
1, 172, 4, 4, 24.4753212824297, Rx, 
1, 173, 4, 4, 25.0834048604301, Rx, 
1, 175, 4, 4, 25.0668410299358, Rx, 
