SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 4, 1, 0, 4, 1, 0, 67741, 27478, 0, 
2, 4, 1, 0, 4, 1, 0, 60608, 25003, 0, 
3, 2, 0, 0, 2, 0, 0, 19135, 0, 0, 
4, 1, 0, 0, 1, 0, 0, 3682, 0, 0, 
5, 5, 0, 0, 5, 0, 0, 61588, 0, 0, 
6, 6, 0, 0, 6, 0, 0, 35897, 0, 0, 
7, 4, 1, 0, 4, 1, 0, 35293, 13718, 0, 
8, 4, 2, 0, 4, 2, 0, 42803, 16966, 0, 
9, 12, 0, 0, 6, 0, 0, 100072, 0, 0, 
10, 6, 0, 0, 6, 0, 0, 49205, 0, 0, 
11, 7, 0, 0, 4, 0, 0, 99125, 0, 0, 
12, 6, 1, 0, 6, 1, 0, 69846, 14769, 0, 
13, 7, 3, 0, 6, 3, 0, 51830, 46166, 0, 
14, 3, 3, 0, 3, 3, 0, 18837, 60709, 0, 
15, 7, 0, 0, 6, 0, 0, 77434, 0, 0, 
16, 3, 0, 0, 3, 0, 0, 27435, 0, 0, 
17, 4, 3, 0, 4, 3, 0, 28828, 27377, 0, 
18, 4, 2, 0, 4, 2, 0, 37187, 23698, 0, 
19, 1, 0, 0, 1, 0, 0, 4433, 0, 0, 
20, 2, 0, 0, 2, 0, 0, 13194, 0, 0, 
21, 3, 0, 0, 3, 0, 0, 25349, 0, 0, 
22, 47, 1, 0, 5, 1, 0, 480839, 8194, 0, 
23, 1321, 4, 0, 5, 4, 0, 10922100, 38044, 0, 
24, 4, 0, 0, 4, 0, 0, 28361, 0, 0, 
25, 60, 0, 0, 2, 0, 0, 331772, 0, 0, 
26, 6, 1, 0, 6, 1, 0, 58417, 18403, 0, 
27, 91, 0, 0, 5, 0, 0, 700338, 0, 0, 
28, 2, 0, 0, 1, 0, 0, 7578, 0, 0, 
29, 2690, 1, 0, 14, 1, 0, 18598491, 13745, 0, 
30, 2035, 2, 0, 5, 1, 0, 10122413, 931, 0, 
31, 1550, 651, 0, 4, 4, 0, 9959534, 5584085, 0, 
32, 2, 0, 0, 2, 0, 0, 6289, 0, 0, 
33, 100, 1, 0, 3, 1, 0, 1734169, 12099, 0, 
34, 8, 1, 0, 8, 1, 0, 68627, 11264, 0, 
35, 18, 0, 0, 9, 0, 0, 152948, 0, 0, 
36, 7, 604, 0, 7, 4, 0, 54753, 5700251, 0, 
37, 2, 0, 0, 2, 0, 0, 13992, 0, 0, 
38, 3, 0, 0, 3, 0, 0, 28226, 0, 0, 
39, 3, 2546, 0, 3, 10, 0, 16846, 22188606, 0, 
40, 15, 0, 0, 5, 0, 0, 87117, 0, 0, 
41, 374, 0, 0, 9, 0, 0, 1952075, 0, 0, 
42, 325, 0, 0, 10, 0, 0, 1582088, 0, 0, 
43, 1147, 1, 0, 7, 1, 0, 4347663, 9627, 0, 
44, 767, 0, 0, 6, 0, 0, 3155927, 0, 0, 
45, 6, 0, 0, 6, 0, 0, 50637, 0, 0, 
46, 8, 0, 0, 8, 0, 0, 55912, 0, 0, 
47, 5, 19, 0, 5, 3, 0, 56268, 143923, 0, 
48, 7, 1, 0, 3, 1, 0, 19860, 20063, 0, 
49, 4, 166, 0, 4, 6, 0, 44924, 1242818, 0, 
50, 435, 0, 0, 6, 0, 0, 2030141, 0, 0, 
51, 1184, 2, 0, 11, 2, 0, 4017228, 12939, 0, 
52, 3, 3, 0, 3, 3, 0, 17399, 30244, 0, 
53, 7, 1, 0, 7, 1, 0, 70358, 21464, 0, 
54, 978, 5, 0, 5, 3, 0, 9084399, 67335, 0, 
55, 1163, 0, 0, 10, 0, 0, 4192221, 0, 0, 
56, 10, 0, 0, 9, 0, 0, 52450, 0, 0, 
57, 378, 1, 0, 12, 1, 0, 1958815, 10385, 0, 
58, 4, 3, 0, 4, 3, 0, 26888, 49879, 0, 
59, 5, 4, 0, 5, 4, 0, 22002, 58734, 0, 
60, 428, 2, 0, 13, 2, 0, 2268292, 24231, 0, 
61, 7, 2, 0, 7, 2, 0, 67996, 19628, 0, 
62, 327, 2, 0, 8, 2, 0, 1174461, 31988, 0, 
63, 119, 343, 0, 11, 2, 0, 539560, 2111677, 0, 
64, 4, 4, 0, 4, 4, 0, 15664, 43069, 0, 
65, 8, 2, 0, 6, 2, 0, 46715, 25872, 0, 
66, 403, 0, 0, 9, 0, 0, 921252, 0, 0, 
67, 1154, 0, 0, 8, 0, 0, 4798428, 0, 0, 
68, 724, 3, 0, 9, 3, 0, 2724100, 18430, 0, 
69, 3, 0, 0, 3, 0, 0, 26820, 0, 0, 
70, 884, 2, 0, 11, 2, 0, 3074500, 23854, 0, 
71, 1165, 1, 0, 8, 1, 0, 4326104, 8520, 0, 
72, 9, 1, 0, 9, 1, 0, 71018, 3985, 0, 
73, 9, 2, 0, 9, 2, 0, 63450, 13221, 0, 
74, 10, 5, 0, 8, 4, 0, 52221, 54657, 0, 
75, 2010, 1, 0, 8, 1, 0, 5732705, 10803, 0, 
76, 39, 0, 0, 6, 0, 0, 88168, 0, 0, 
77, 5, 2, 0, 5, 2, 0, 22523, 26100, 0, 
78, 2045, 1, 0, 6, 1, 0, 5150872, 3686, 0, 
79, 336, 0, 0, 5, 0, 0, 1069846, 0, 0, 
80, 8, 7, 0, 7, 6, 0, 39990, 83532, 0, 
