Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
5, AbieConc, 0, 0, 0, 704, 
5, AbieMagn, 0, 0, 0, 560, 
5, CaloDecu, 0, 0, 0, 256, 
5, FX_R_SEED, 0, 0, 0, 0, 
5, NOFX_R_SEED, 0, 0, 0, 0, 
5, NOFX_NOR_SEED, 0, 0, 0, 0, 
5, PinuAlbi, 0, 0, 0, 41, 
5, PinuCont, 0, 0, 0, 100, 
5, PinuJeff, 0, 0, 0, 274, 
5, PinuLamb, 0, 0, 0, 154, 
5, PinuMont, 0, 0, 0, 105, 
5, PopuTrem, 0, 0, 0, 18, 
5, TsugMert, 0, 0, 0, 1521, 
5, AcerMacr, 0, 0, 0, 1, 
5, AescCali, 0, 0, 0, 4, 
5, AlnuRhom, 0, 0, 1, 1, 
5, ArbuMenz, 0, 0, 1, 58, 
5, CornNutt, 0, 0, 0, 17, 
5, JuniOcci, 0, 0, 0, 309, 
5, LithDens, 0, 0, 0, 39, 
5, PinuAtte, 0, 0, 0, 0, 
5, PinuMono, 0, 0, 0, 0, 
5, PinuPond, 0, 0, 0, 421, 
5, PinuSabi, 0, 0, 0, 116, 
5, PinuWash, 0, 0, 0, 0, 
5, PseuMenz, 0, 0, 0, 389, 
5, QuerChry, 0, 0, 0, 668, 
5, QuerDoug, 0, 0, 0, 140, 
5, QuerGarr, 0, 0, 0, 3, 
5, QuerKell, 0, 0, 0, 438, 
5, QuerWisl, 0, 0, 0, 342, 
5, TaxuBrev, 0, 0, 0, 0, 
5, TorrCali, 0, 0, 0, 22, 
5, UmbeCali, 0, 0, 0, 18, 
10, AbieConc, 0, 0, 0, 651, 
10, AbieMagn, 0, 0, 0, 582, 
10, CaloDecu, 0, 0, 0, 182, 
10, FX_R_SEED, 0, 0, 0, 0, 
10, NOFX_R_SEED, 0, 0, 0, 0, 
10, NOFX_NOR_SEED, 0, 0, 0, 0, 
10, PinuAlbi, 0, 0, 0, 42, 
10, PinuCont, 0, 0, 0, 96, 
10, PinuJeff, 0, 0, 0, 253, 
10, PinuLamb, 0, 0, 0, 147, 
10, PinuMont, 0, 0, 0, 124, 
10, PopuTrem, 0, 0, 0, 19, 
10, TsugMert, 0, 0, 0, 1832, 
10, AcerMacr, 0, 0, 0, 4, 
10, AescCali, 0, 0, 0, 4, 
10, AlnuRhom, 0, 0, 0, 4, 
10, ArbuMenz, 0, 0, 0, 65, 
10, CornNutt, 0, 0, 0, 43, 
10, JuniOcci, 0, 0, 0, 240, 
10, LithDens, 0, 0, 0, 30, 
10, PinuAtte, 0, 0, 0, 1, 
10, PinuMono, 0, 0, 0, 59, 
10, PinuPond, 0, 0, 0, 399, 
10, PinuSabi, 0, 0, 0, 81, 
10, PinuWash, 0, 0, 0, 0, 
10, PseuMenz, 0, 0, 0, 249, 
10, QuerChry, 0, 0, 0, 421, 
10, QuerDoug, 0, 0, 0, 56, 
10, QuerGarr, 0, 0, 0, 1, 
10, QuerKell, 0, 0, 1, 184, 
10, QuerWisl, 0, 0, 0, 158, 
10, TaxuBrev, 0, 0, 0, 1, 
10, TorrCali, 0, 0, 0, 17, 
10, UmbeCali, 0, 0, 0, 12, 
15, AbieConc, 0, 0, 0, 425, 
15, AbieMagn, 0, 0, 0, 340, 
15, CaloDecu, 0, 0, 0, 110, 
15, FX_R_SEED, 0, 0, 0, 0, 
15, NOFX_R_SEED, 0, 0, 0, 0, 
15, NOFX_NOR_SEED, 0, 0, 0, 0, 
15, PinuAlbi, 0, 0, 0, 25, 
15, PinuCont, 0, 0, 0, 62, 
15, PinuJeff, 0, 0, 0, 187, 
15, PinuLamb, 0, 0, 0, 88, 
15, PinuMont, 0, 0, 0, 76, 
15, PopuTrem, 0, 0, 0, 13, 
15, TsugMert, 0, 0, 0, 347, 
15, AcerMacr, 0, 0, 0, 0, 
15, AescCali, 0, 0, 0, 0, 
15, AlnuRhom, 0, 0, 0, 1, 
15, ArbuMenz, 0, 0, 0, 24, 
15, CornNutt, 0, 0, 0, 7, 
15, JuniOcci, 0, 0, 0, 180, 
15, LithDens, 0, 0, 0, 14, 
15, PinuAtte, 0, 0, 0, 1, 
15, PinuMono, 0, 0, 0, 45, 
15, PinuPond, 0, 0, 0, 322, 
15, PinuSabi, 0, 0, 0, 66, 
15, PinuWash, 0, 0, 0, 0, 
15, PseuMenz, 0, 0, 0, 170, 
15, QuerChry, 0, 0, 0, 345, 
15, QuerDoug, 0, 0, 0, 51, 
15, QuerGarr, 0, 0, 0, 3, 
15, QuerKell, 0, 0, 0, 222, 
15, QuerWisl, 0, 0, 0, 140, 
15, TaxuBrev, 0, 0, 0, 0, 
15, TorrCali, 0, 0, 0, 5, 
15, UmbeCali, 0, 0, 0, 7, 
20, AbieConc, 0, 0, 0, 453, 
20, AbieMagn, 0, 0, 0, 344, 
20, CaloDecu, 0, 0, 0, 111, 
20, FX_R_SEED, 0, 0, 0, 1, 
20, NOFX_R_SEED, 0, 0, 0, 0, 
20, NOFX_NOR_SEED, 0, 0, 0, 0, 
20, PinuAlbi, 0, 0, 0, 19, 
20, PinuCont, 0, 0, 0, 81, 
20, PinuJeff, 0, 0, 0, 201, 
20, PinuLamb, 0, 0, 0, 77, 
20, PinuMont, 0, 0, 0, 68, 
20, PopuTrem, 0, 0, 0, 22, 
20, TsugMert, 0, 0, 0, 1218, 
20, AcerMacr, 0, 0, 0, 3, 
20, AescCali, 0, 0, 0, 2, 
20, AlnuRhom, 0, 0, 0, 1, 
20, ArbuMenz, 0, 0, 0, 44, 
20, CornNutt, 0, 0, 0, 22, 
20, JuniOcci, 0, 0, 0, 150, 
20, LithDens, 0, 0, 0, 18, 
20, PinuAtte, 0, 0, 0, 0, 
20, PinuMono, 0, 0, 0, 26, 
20, PinuPond, 0, 0, 0, 328, 
20, PinuSabi, 0, 0, 0, 66, 
20, PinuWash, 0, 0, 0, 0, 
20, PseuMenz, 0, 0, 0, 186, 
20, QuerChry, 0, 0, 0, 312, 
20, QuerDoug, 0, 0, 0, 42, 
20, QuerGarr, 0, 0, 0, 5, 
20, QuerKell, 0, 0, 0, 226, 
20, QuerWisl, 0, 0, 0, 161, 
20, TaxuBrev, 0, 0, 0, 0, 
20, TorrCali, 0, 0, 0, 6, 
20, UmbeCali, 0, 0, 0, 15, 
25, AbieConc, 0, 0, 0, 268, 
25, AbieMagn, 0, 0, 0, 184, 
25, CaloDecu, 0, 0, 0, 69, 
25, FX_R_SEED, 0, 0, 0, 0, 
25, NOFX_R_SEED, 0, 0, 0, 0, 
25, NOFX_NOR_SEED, 0, 0, 0, 0, 
25, PinuAlbi, 0, 0, 0, 10, 
25, PinuCont, 0, 0, 0, 38, 
25, PinuJeff, 0, 0, 0, 88, 
25, PinuLamb, 0, 0, 0, 37, 
25, PinuMont, 0, 0, 0, 20, 
25, PopuTrem, 0, 0, 0, 8, 
25, TsugMert, 0, 0, 0, 198, 
25, AcerMacr, 0, 0, 0, 0, 
