SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
7, 287, 1, 1, 25.6537129811313, Accidental, 
7, 308, 1, 1, 39.9945150051346, Accidental, 
9, 245, 1, 1, 41.9223441816777, Lightning, 
10, 189, 1, 1, 40.3272438438589, Lightning, 
11, 260, 1, 1, 28.1980666058073, Accidental, 
11, 321, 1, 1, 19.9065915085047, Accidental, 
13, 238, 1, 1, 42.3669655239244, Accidental, 
15, 225, 1, 1, 42.4188700747607, Accidental, 
16, 188, 1, 1, 21.6486555408, Accidental, 
17, 200, 1, 1, 30.1747527590397, Accidental, 
20, 296, 1, 1, 34.7779537115665, Accidental, 
22, 196, 1, 1, 36.6710175423458, Accidental, 
22, 309, 1, 1, 24.800363848513, Accidental, 
25, 276, 1, 1, 30.6632026276299, Accidental, 
26, 256, 1, 1, 26.4992443415873, Accidental, 
28, 217, 1, 1, 37.136412469586, Accidental, 
28, 326, 1, 1, 26.8913178224413, Accidental, 
29, 159, 1, 1, 33.0045266968609, Accidental, 
29, 226, 2, 2, 49.9784530731634, Lightning, 
30, 202, 1, 1, 44.0168106984057, Accidental, 
30, 317, 1, 1, 17.2572072340829, Accidental, 
34, 114, 1, 1, 20.7440101010804, Accidental, 
35, 239, 1, 1, 34.1822793133769, Lightning, 
35, 275, 1, 1, 43.6562332204989, Accidental, 
36, 171, 1, 1, 49.4823113603463, Accidental, 
36, 264, 2, 2, 48.6317303350303, Lightning, 
39, 224, 1, 1, 46.290131858479, Lightning, 
39, 250, 1, 1, 45.8360254947405, Lightning, 
39, 298, 1, 1, 33.1172264042993, Lightning, 
41, 215, 1, 1, 40.5881607314803, Lightning, 
41, 279, 1, 1, 45.7715073962814, Accidental, 
41, 359, 1, 1, 16.3423978145895, Accidental, 
42, 227, 1, 1, 37.6069462403433, Accidental, 
43, 294, 1, 1, 41.7737898774127, Accidental, 
44, 181, 1, 1, 26.4421167177826, Accidental, 
44, 187, 1, 1, 32.7653555219202, Accidental, 
44, 206, 1, 1, 33.3325148205306, Accidental, 
44, 247, 1, 1, 40.2949677222104, Lightning, 
44, 249, 1, 1, 51.2954034876062, Accidental, 
46, 210, 1, 1, 40.709678350971, Lightning, 
46, 299, 1, 1, 53.1584875020759, Accidental, 
48, 200, 1, 1, 35.7666590138255, Accidental, 
48, 280, 1, 1, 47.4566464357214, Lightning, 
48, 342, 1, 1, 25.663770457917, Accidental, 
49, 264, 1, 1, 42.274311591025, Accidental, 
51, 224, 1, 1, 42.6629491761316, Lightning, 
51, 300, 1, 1, 42.2300299785487, Accidental, 
52, 124, 1, 1, 18.7324584338694, Accidental, 
53, 154, 1, 1, 28.087768050261, Accidental, 
53, 189, 1, 1, 35.1363385381069, Lightning, 
57, 264, 1, 1, 42.274311591025, Accidental, 
59, 252, 1, 1, 43.0598965479164, Lightning, 
59, 321, 1, 1, 19.4629612075666, Accidental, 
64, 54, 1, 1, 11.9747720303054, Accidental, 
64, 279, 1, 1, 45.7715073962814, Accidental, 
64, 320, 1, 1, 38.239141547734, Accidental, 
65, 228, 1, 1, 38.2190570912204, Lightning, 
66, 196, 1, 1, 37.3322335772188, Accidental, 
67, 225, 1, 1, 37.6888853883354, Lightning, 
70, 281, 1, 1, 40.5086073690079, Lightning, 
71, 210, 1, 1, 40.709678350971, Accidental, 
72, 255, 1, 1, 43.532527076522, Accidental, 
73, 304, 1, 1, 44.3766888116822, Accidental, 
76, 220, 1, 1, 33.1802945616333, Accidental, 
76, 270, 1, 1, 48.0200636722996, Lightning, 
76, 291, 1, 1, 39.6855370125632, Accidental, 
76, 341, 1, 1, 26.8309120597923, Accidental, 
80, 277, 1, 1, 44.0012869145121, Accidental, 
