Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_AbieConc,CohortsHarvested_AbieMagn,CohortsHarvested_CaloDecu,CohortsHarvested_FX_R_SEED,CohortsHarvested_NOFX_R_SEED,CohortsHarvested_NOFX_NOR_SEED,CohortsHarvested_PinuAlbi,CohortsHarvested_PinuCont,CohortsHarvested_PinuJeff,CohortsHarvested_PinuLamb,CohortsHarvested_PinuMont,CohortsHarvested_PopuTrem,CohortsHarvested_TsugMert,CohortsHarvested_AcerMacr,CohortsHarvested_AescCali,CohortsHarvested_AlnuRhom,CohortsHarvested_ArbuMenz,CohortsHarvested_CornNutt,CohortsHarvested_JuniOcci,CohortsHarvested_LithDens,CohortsHarvested_PinuAtte,CohortsHarvested_PinuMono,CohortsHarvested_PinuPond,CohortsHarvested_PinuSabi,CohortsHarvested_PinuWash,CohortsHarvested_PseuMenz,CohortsHarvested_QuerChry,CohortsHarvested_QuerDoug,CohortsHarvested_QuerGarr,CohortsHarvested_QuerKell,CohortsHarvested_QuerWisl,CohortsHarvested_TaxuBrev,CohortsHarvested_TorrCali,CohortsHarvested_UmbeCali,BiomassHarvestedMg_AbieConc,BiomassHarvestedMg_AbieMagn,BiomassHarvestedMg_CaloDecu,BiomassHarvestedMg_FX_R_SEED,BiomassHarvestedMg_NOFX_R_SEED,BiomassHarvestedMg_NOFX_NOR_SEED,BiomassHarvestedMg_PinuAlbi,BiomassHarvestedMg_PinuCont,BiomassHarvestedMg_PinuJeff,BiomassHarvestedMg_PinuLamb,BiomassHarvestedMg_PinuMont,BiomassHarvestedMg_PopuTrem,BiomassHarvestedMg_TsugMert,BiomassHarvestedMg_AcerMacr,BiomassHarvestedMg_AescCali,BiomassHarvestedMg_AlnuRhom,BiomassHarvestedMg_ArbuMenz,BiomassHarvestedMg_CornNutt,BiomassHarvestedMg_JuniOcci,BiomassHarvestedMg_LithDens,BiomassHarvestedMg_PinuAtte,BiomassHarvestedMg_PinuMono,BiomassHarvestedMg_PinuPond,BiomassHarvestedMg_PinuSabi,BiomassHarvestedMg_PinuWash,BiomassHarvestedMg_PseuMenz,BiomassHarvestedMg_QuerChry,BiomassHarvestedMg_QuerDoug,BiomassHarvestedMg_QuerGarr,BiomassHarvestedMg_QuerKell,BiomassHarvestedMg_QuerWisl,BiomassHarvestedMg_TaxuBrev,BiomassHarvestedMg_TorrCali,BiomassHarvestedMg_UmbeCali,
1, 1, PIF_CC_28, 38, 1737, 0, 28276.5492832303, 665, 326, 105, 0, 0, 0, 2, 11, 172, 74, 9, 1, 14, 5, 2, 12, 15, 2, 5, 0, 0, 0, 107, 2, 0, 150, 5, 5, 0, 38, 10, 0, 0, 0, 16206.5124477029, 5080.3848149538, 805.852802371979, 0, 0, 0, 13.2840000391006, 117.579600346088, 1935.67320569754, 400.820401179791, 60.7176001787186, 6.15600001811981, 130.410000383854, 33.6312000989914, 10.4328000307083, 78.6996002316475, 93.9276002764702, 8.61840002536774, 74.4552002191544, 0, 0, 0, 746.496002197266, 7.29000002145767, 0, 1904.63400560617, 29.2572000861168, 23.3928000688553, 0, 432.799201273918, 75.5244002223015, 0, 0, 0, 
1, 3, PIF_CC_30, 18, 732, 0, 11481.2640337944, 297, 186, 18, 0, 0, 0, 6, 0, 143, 2, 14, 0, 31, 0, 0, 0, 1, 0, 5, 0, 0, 0, 14, 0, 0, 6, 0, 0, 1, 8, 0, 0, 0, 0, 5490.34201616049, 3265.85520961285, 101.638800299168, 0, 0, 0, 143.985600423813, 0, 1741.95360512733, 7.93800002336502, 85.7628002524376, 0, 376.164001107216, 0, 0, 0, 5.05440001487732, 0, 66.3228001952171, 0, 0, 0, 66.7116001963615, 0, 0, 26.9568000793457, 0, 0, 4.86000001430511, 97.7184002876282, 0, 0, 0, 0, 
1, 5, PIF_CC_32, 14, 646, 0, 10282.9824302673, 261, 191, 23, 0, 0, 0, 0, 0, 123, 12, 4, 0, 1, 0, 0, 3, 5, 0, 5, 0, 0, 0, 9, 0, 0, 2, 0, 0, 0, 5, 2, 0, 0, 0, 5131.38241510391, 3049.32600897551, 134.233200395107, 0, 0, 0, 0, 0, 1639.95840482712, 89.2296002626419, 21.1572000622749, 0, 5.50800001621246, 0, 0, 18.9216000556946, 22.2912000656128, 0, 66.9060001969337, 0, 0, 0, 50.349600148201, 0, 0, 7.19280002117157, 0, 0, 0, 37.9728001117706, 8.553600025177, 0, 0, 0, 
1, 7, PIF_CC_34, 24, 1285, 0, 20430.1116601348, 422, 397, 62, 0, 0, 0, 4, 39, 244, 39, 9, 0, 11, 0, 0, 0, 0, 5, 12, 0, 0, 0, 18, 0, 0, 4, 2, 2, 0, 13, 2, 0, 0, 0, 8716.44242565632, 6785.72641997337, 408.661201202869, 0, 0, 0, 36.4824001073837, 350.568001031876, 3230.57160950899, 214.358400630951, 50.1876001477241, 0, 166.17960048914, 0, 0, 0, 0, 20.7360000610352, 174.830400514603, 0, 0, 0, 117.352800345421, 0, 0, 19.0836000561714, 11.9556000351906, 8.39160002470016, 0, 106.693200314045, 11.8908000349998, 0, 0, 0, 
1, 2, PIF_PCT_29, 36, 1106, 103, 16729.2216492414, 537, 153, 142, 0, 0, 0, 2, 2, 46, 3, 18, 0, 37, 0, 0, 0, 0, 0, 9, 0, 0, 0, 32, 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 10459.9188307881, 1702.49040501118, 1244.48400366306, 0, 0, 0, 14.5152000427246, 9.07200002670288, 396.316801166534, 11.2104000329971, 103.356000304222, 0, 273.294000804424, 0, 0, 0, 0, 0, 71.7012002110481, 0, 0, 0, 222.944400656223, 0, 0, 2219.9184065342, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 4, PIF_PCT_31, 23, 797, 76, 16914.4200497866, 402, 354, 18, 0, 0, 0, 0, 3, 48, 4, 20, 0, 19, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9647.10002839565, 6080.05441789627, 101.379600298405, 0, 0, 0, 0, 11.8584000349045, 591.20280174017, 24.429600071907, 135.108000397682, 0, 272.289600801468, 0, 0, 0, 0, 0, 40.6296001195908, 0, 0, 0, 6.80400002002716, 0, 0, 3.56400001049042, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 6, PIF_PCT_33, 16, 602, 109, 12510.2880368233, 246, 320, 4, 0, 0, 0, 11, 26, 53, 0, 16, 0, 26, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4398.91561294794, 6124.79881802797, 31.8168000936508, 0, 0, 0, 189.313200557232, 281.847600829601, 684.936002016068, 0, 85.3740002512932, 0, 668.800801968575, 0, 0, 0, 0, 0, 13.8024000406265, 0, 0, 0, 0, 19.2456000566483, 0, 11.4372000336647, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 8, PIF_PCT_35, 24, 1014, 131, 24227.456471312, 392, 573, 23, 0, 0, 0, 3, 18, 57, 2, 41, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 7, 3, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7976.19962347746, 14860.7136437416, 139.417200410366, 0, 0, 0, 19.5696000576019, 95.6448002815247, 574.290001690388, 25.5636000752449, 299.635200881958, 0, 49.8312001466751, 0, 0, 0, 0, 0, 53.3304001569748, 0, 0, 0, 63.1152001857757, 19.6020000576973, 0, 50.5440001487732, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 31, FED_SGH_10, 59, 843, 1058, 16321.3380480409, 408, 13, 400, 0, 0, 0, 2, 0, 21, 54, 1, 0, 19, 0, 0, 0, 0, 0, 3, 0, 0, 0, 482, 18, 0, 480, 0, 0, 0, 0, 0, 0, 0, 0, 4513.67641328573, 66.9384001970291, 3324.88800978661, 0, 0, 0, 7.87320002317429, 0, 121.597200357914, 154.418400454521, 3.46680001020432, 0, 122.018400359154, 0, 0, 0, 0, 0, 14.904000043869, 0, 0, 0, 2893.64400851726, 170.974800503254, 0, 4926.93841450214, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 31, PNIF_SG_10, 21, 277, 365, 5696.5680167675, 116, 1, 150, 0, 0, 0, 0, 0, 1, 8, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 6, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 1191.7692035079, 3.98520001173019, 1404.11880413294, 0, 0, 0, 0, 0, 3.36960000991821, 18.6300000548363, 0, 0, 88.4520002603531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 876.776402580738, 27.6372000813484, 0, 2081.82960612774, 0, 0, 0, 0, 0, 0, 0, 0, 
