Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, AbieConc, eco1, 94, 0, 1, 0.68, 0, 134.82, 15.91, 290.11, 
5, AbieConc, eco2, 807, 0, 1, 0.47, 0, 175.37, 30.04, 282.87, 
5, AbieConc, eco3, 521, 0.45, 1, 0.49, 0.24, 159.45, 47.46, 281.44, 
5, AbieConc, eco4, 553, 0.77, 1, 0.52, 0.31, 145.05, 56.48, 276.16, 
5, AbieConc, eco5, 519, 0.99, 1, 0.53, 0.32, 107.91, 107.81, 268.84, 
5, AbieConc, eco6, 770, 0.9, 1, 0.46, 0.28, 100.13, 123.26, 261.3, 
5, AbieConc, eco7, 429, 0.8, 1, 0.59, 0.36, 78.07, 127.75, 260.19, 
5, AbieConc, eco8, 76, 0.74, 1, 0.68, 0.41, 66.37, 128, 260, 
5, AbieConc, eco9, 1, 0.66, 1, 0.7, 0.39, 62, 131, 260, 
5, AbieConc, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AbieMagn, eco1, 102, 0, 1, 0.68, 0, 133.99, 16, 289.71, 
5, AbieMagn, eco2, 790, 0, 1, 0.45, 0, 176.15, 29.86, 282.99, 
5, AbieMagn, eco3, 510, 0.26, 1, 0.48, 0.14, 158.6, 47.5, 281.74, 
5, AbieMagn, eco4, 554, 0.67, 1, 0.51, 0.3, 144.43, 56.4, 276.21, 
5, AbieMagn, eco5, 522, 0.96, 1, 0.51, 0.3, 108.32, 107.73, 268.71, 
5, AbieMagn, eco6, 759, 0.93, 1, 0.45, 0.27, 99.88, 123.3, 261.23, 
5, AbieMagn, eco7, 389, 0.83, 1, 0.57, 0.34, 79.02, 128.15, 260.21, 
5, AbieMagn, eco8, 75, 0.77, 1, 0.67, 0.4, 67.01, 128.17, 259.8, 
5, AbieMagn, eco9, 1, 0.69, 1, 0.69, 0.41, 62, 131, 260, 
5, AbieMagn, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, CaloDecu, eco1, 98, 0.01, 1, 0.69, 0, 141.15, 15.09, 293.37, 
5, CaloDecu, eco2, 566, 0.01, 1, 0.51, 0, 171.83, 29.08, 284.1, 
5, CaloDecu, eco3, 435, 0.55, 1, 0.52, 0.29, 160.12, 49.18, 283.81, 
5, CaloDecu, eco4, 341, 0.89, 1, 0.56, 0.34, 141.78, 57.01, 277.7, 
5, CaloDecu, eco5, 267, 0.98, 1, 0.56, 0.34, 107.58, 107.99, 269.32, 
5, CaloDecu, eco6, 574, 0.52, 1, 0.5, 0.27, 99.51, 124.45, 261.9, 
5, CaloDecu, eco7, 250, 0.25, 1, 0.59, 0.15, 80.29, 130.02, 260.68, 
5, CaloDecu, eco8, 31, 0.13, 1, 0.69, 0.08, 66.26, 128.42, 259.52, 
5, CaloDecu, eco9, 2, 0, 1, 0.7, 0, 64.5, 131, 260, 
5, CaloDecu, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, FX_R_SEED, eco1, 548, 0.22, 1, 0.67, 0.13, 151.43, 13.34, 301.63, 
5, FX_R_SEED, eco2, 2382, 0.41, 1, 0.58, 0.23, 169.92, 21.07, 293.08, 
5, FX_R_SEED, eco3, 2214, 0.71, 1, 0.43, 0.26, 178.98, 56.81, 293.53, 
5, FX_R_SEED, eco4, 799, 0.91, 1, 0.46, 0.28, 160.87, 66.12, 286.77, 
5, FX_R_SEED, eco5, 253, 1, 1, 0.55, 0.33, 113.28, 105.8, 272.94, 
5, FX_R_SEED, eco6, 740, 0.84, 1, 0.51, 0.3, 98.48, 124.83, 262.55, 
5, FX_R_SEED, eco7, 497, 0.72, 1, 0.54, 0.32, 87.39, 131.33, 260.71, 
5, FX_R_SEED, eco8, 42, 0.65, 1, 0.66, 0.38, 68.62, 131.29, 258.19, 
5, FX_R_SEED, eco9, 2, 0.6, 1, 0.71, 0.36, 63, 131, 260, 
5, FX_R_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_R_SEED, eco1, 549, 0.22, 1, 0.67, 0.13, 151.31, 13.41, 301.42, 
5, NOFX_R_SEED, eco2, 2383, 0.41, 1, 0.58, 0.23, 170.01, 21.13, 293.01, 
5, NOFX_R_SEED, eco3, 2206, 0.71, 1, 0.43, 0.26, 179.27, 56.9, 293.66, 
5, NOFX_R_SEED, eco4, 797, 0.91, 1, 0.46, 0.28, 161.62, 66.28, 286.99, 
5, NOFX_R_SEED, eco5, 253, 1, 1, 0.55, 0.33, 113.53, 105.73, 272.96, 
5, NOFX_R_SEED, eco6, 749, 0.84, 1, 0.51, 0.3, 98.4, 124.94, 262.59, 
5, NOFX_R_SEED, eco7, 502, 0.72, 1, 0.54, 0.32, 87.35, 131.32, 260.88, 
5, NOFX_R_SEED, eco8, 44, 0.65, 1, 0.67, 0.39, 67.61, 130.68, 258.11, 
5, NOFX_R_SEED, eco9, 2, 0.6, 1, 0.71, 0.36, 63, 131, 260, 
5, NOFX_R_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_NOR_SEED, eco1, 390, 0.22, 1, 0.67, 0.13, 150.54, 13.6, 300.31, 
5, NOFX_NOR_SEED, eco2, 1770, 0.41, 1, 0.56, 0.23, 170.57, 22.36, 291.58, 
5, NOFX_NOR_SEED, eco3, 1589, 0.71, 1, 0.44, 0.26, 176.56, 56.04, 292.34, 
5, NOFX_NOR_SEED, eco4, 650, 0.91, 1, 0.5, 0.3, 154.23, 64.12, 284.51, 
5, NOFX_NOR_SEED, eco5, 240, 1, 1, 0.56, 0.34, 110.36, 106.64, 271.85, 
5, NOFX_NOR_SEED, eco6, 769, 0.84, 1, 0.5, 0.3, 98.99, 125.05, 262.62, 
5, NOFX_NOR_SEED, eco7, 432, 0.72, 1, 0.56, 0.33, 84.79, 131.2, 261.03, 
5, NOFX_NOR_SEED, eco8, 37, 0.66, 1, 0.67, 0.39, 67.57, 130.14, 259.16, 
5, NOFX_NOR_SEED, eco9, 2, 0.6, 1, 0.71, 0.36, 63, 131, 260, 
5, NOFX_NOR_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuAlbi, eco1, 91, 0, 1, 0.65, 0, 143.29, 15.32, 292.91, 
5, PinuAlbi, eco2, 596, 0, 1, 0.46, 0, 174.17, 29.02, 284.17, 
5, PinuAlbi, eco3, 435, 0, 1, 0.46, 0, 161.54, 50.12, 284.6, 
5, PinuAlbi, eco4, 348, 0.01, 1, 0.5, 0.01, 143.59, 57.75, 277.78, 
5, PinuAlbi, eco5, 257, 0.38, 1, 0.51, 0.22, 107.53, 107.84, 269.57, 
5, PinuAlbi, eco6, 546, 0.97, 1, 0.43, 0.26, 99.86, 124.64, 262.29, 
5, PinuAlbi, eco7, 265, 0.98, 1, 0.54, 0.32, 80.39, 130.66, 260.83, 
5, PinuAlbi, eco8, 36, 0.98, 1, 0.67, 0.4, 65.47, 128, 260, 
5, PinuAlbi, eco9, 1, 0.93, 1, 0.69, 0.41, 62, 131, 260, 
5, PinuAlbi, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
