Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
5, AbieConc, 0, 0, 0, 1456, 
5, AbieMagn, 0, 0, 0, 1225, 
5, CaloDecu, 0, 0, 0, 439, 
5, FX_R_SEED, 0, 0, 0, 0, 
5, NOFX_R_SEED, 0, 0, 0, 2, 
5, NOFX_NOR_SEED, 0, 0, 0, 0, 
5, PinuAlbi, 0, 0, 0, 76, 
5, PinuCont, 0, 0, 0, 104, 
5, PinuJeff, 0, 0, 0, 279, 
5, PinuLamb, 0, 0, 0, 240, 
5, PinuMont, 0, 0, 0, 182, 
5, PopuTrem, 0, 0, 0, 20, 
5, TsugMert, 0, 0, 0, 1442, 
5, AcerMacr, 0, 0, 0, 3, 
5, AescCali, 0, 0, 0, 8, 
5, AlnuRhom, 0, 0, 0, 4, 
5, ArbuMenz, 0, 0, 1, 65, 
5, CornNutt, 0, 0, 0, 33, 
5, JuniOcci, 0, 0, 0, 382, 
5, LithDens, 0, 0, 0, 89, 
5, PinuAtte, 0, 0, 0, 1, 
5, PinuMono, 0, 0, 0, 2, 
5, PinuPond, 0, 0, 0, 373, 
5, PinuSabi, 0, 0, 0, 143, 
5, PinuWash, 0, 0, 0, 0, 
5, PseuMenz, 0, 0, 0, 674, 
5, QuerChry, 0, 0, 0, 1338, 
5, QuerDoug, 0, 0, 0, 241, 
5, QuerGarr, 0, 0, 0, 6, 
5, QuerKell, 0, 0, 1, 791, 
5, QuerWisl, 0, 0, 0, 563, 
5, TaxuBrev, 0, 0, 0, 0, 
5, TorrCali, 0, 0, 0, 21, 
5, UmbeCali, 0, 0, 0, 32, 
10, AbieConc, 0, 0, 0, 1275, 
10, AbieMagn, 0, 0, 0, 1118, 
10, CaloDecu, 0, 0, 0, 335, 
10, FX_R_SEED, 0, 0, 0, 0, 
10, NOFX_R_SEED, 0, 0, 0, 2, 
10, NOFX_NOR_SEED, 0, 0, 0, 0, 
10, PinuAlbi, 0, 0, 0, 92, 
10, PinuCont, 0, 0, 0, 79, 
10, PinuJeff, 0, 0, 0, 240, 
10, PinuLamb, 0, 0, 0, 248, 
10, PinuMont, 0, 0, 0, 170, 
10, PopuTrem, 0, 0, 0, 20, 
10, TsugMert, 0, 0, 0, 1731, 
10, AcerMacr, 0, 0, 1, 3, 
10, AescCali, 0, 0, 0, 5, 
10, AlnuRhom, 0, 0, 0, 5, 
10, ArbuMenz, 0, 0, 1, 65, 
10, CornNutt, 0, 0, 2, 50, 
10, JuniOcci, 0, 0, 0, 290, 
10, LithDens, 0, 0, 1, 60, 
10, PinuAtte, 0, 0, 0, 0, 
10, PinuMono, 0, 0, 0, 62, 
10, PinuPond, 0, 0, 0, 329, 
10, PinuSabi, 0, 0, 0, 94, 
10, PinuWash, 0, 0, 0, 0, 
10, PseuMenz, 0, 0, 0, 478, 
10, QuerChry, 0, 0, 8, 906, 
10, QuerDoug, 0, 0, 0, 120, 
10, QuerGarr, 0, 0, 0, 8, 
10, QuerKell, 0, 0, 5, 365, 
10, QuerWisl, 0, 0, 3, 302, 
10, TaxuBrev, 0, 0, 0, 1, 
10, TorrCali, 0, 0, 0, 38, 
10, UmbeCali, 0, 0, 0, 31, 
15, AbieConc, 0, 0, 0, 866, 
15, AbieMagn, 0, 0, 0, 770, 
15, CaloDecu, 0, 0, 0, 271, 
15, FX_R_SEED, 0, 0, 0, 0, 
15, NOFX_R_SEED, 0, 0, 0, 1, 
15, NOFX_NOR_SEED, 0, 0, 0, 0, 
15, PinuAlbi, 0, 0, 0, 46, 
15, PinuCont, 0, 0, 0, 43, 
15, PinuJeff, 0, 0, 0, 121, 
15, PinuLamb, 0, 0, 0, 142, 
15, PinuMont, 0, 0, 0, 107, 
15, PopuTrem, 0, 0, 0, 6, 
15, TsugMert, 0, 0, 0, 331, 
15, AcerMacr, 0, 0, 0, 0, 
15, AescCali, 0, 0, 0, 0, 
15, AlnuRhom, 0, 0, 0, 0, 
15, ArbuMenz, 0, 0, 0, 21, 
15, CornNutt, 0, 0, 0, 14, 
15, JuniOcci, 0, 0, 0, 220, 
15, LithDens, 0, 0, 0, 39, 
15, PinuAtte, 0, 0, 0, 0, 
15, PinuMono, 0, 0, 0, 38, 
15, PinuPond, 0, 0, 0, 246, 
