Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 0, 925, 0, 3559.4, 8858.3, 0, 0, 0, 0, 5, 238.8, 0, 0, 0, 4163.4, 416.3, 2559.9, 21.2, 1631.9, 288, 0, 0, 505.8, 864.7, 964.6, 1224.2, 0, 0, 11.3, 4.6, 12.8, 0.1, 8.2, 28.8, 0, 0, 33.8, 43.3, 42.1, 48.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210.1, 0, 0, 
0, eco2, 1, 8080, 0, 6071.3, 12886.9, 0, 0, 0, 0, 5, 361.3, 0, 0, 0, 6056.8, 605.7, 2826.5, 65, 1801.9, 318, 0, 0, 712.1, 1522.1, 1852.6, 1984.5, 0, 0, 15.7, 6.9, 14.1, 0.3, 9, 31.8, 0, 0, 47.5, 76.1, 75.4, 79.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324.2, 0, 0, 
0, eco3, 2, 7090, 0, 9610.2, 18402.7, 0, 0, 0, 0, 5, 539, 0, 0, 0, 8649.3, 864.9, 3164.2, 100.1, 2017.2, 356, 0, 0, 1224.7, 2227.6, 3116.7, 3041.3, 0, 0, 22.4, 9.3, 15.8, 0.5, 10.1, 35.6, 0, 0, 81.7, 111.3, 125.5, 121.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 491, 0, 0, 
0, eco4, 3, 7250, 0, 8335.7, 20275.8, 0, 0, 0, 0, 5, 489.7, 0, 0, 0, 9529.6, 953, 3191, 96.1, 2034.2, 359, 0, 0, 1209.7, 2137, 2684.4, 2304.5, 0, 0, 25.2, 9.4, 16, 0.5, 10.2, 35.9, 0, 0, 80.6, 106.8, 108, 92.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 438.7, 0, 0, 
0, eco5, 4, 6494, 0, 5672, 18209.2, 0, 0, 0, 0, 5, 362.1, 0, 0, 0, 8558.3, 855.8, 2937.5, 71, 1872.6, 330.5, 0, 0, 962.6, 1592.4, 1936.9, 1180.1, 0, 0, 24.8, 6, 14.7, 0.4, 9.4, 33, 0, 0, 64.1, 79.6, 77.9, 47.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 316.3, 0, 0, 
0, eco6, 5, 12796, 0, 8273.7, 22611.2, 0, 0, 0, 0, 5, 477.8, 0, 0, 0, 10627.3, 1062.7, 2846.4, 106.8, 1814.6, 320.2, 0, 0, 792, 2323.5, 2811.7, 2346.5, 0, 0, 35.6, 5.6, 14.2, 0.5, 9.1, 32, 0, 0, 52.8, 116.2, 112.7, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 421.8, 0, 0, 
0, eco7, 6, 7385, 0, 9589.9, 24668.8, 0, 0, 0, 0, 5, 543.3, 0, 0, 0, 11594.3, 1159.4, 2840.4, 128.7, 1810.7, 319.5, 0, 0, 880.2, 2766.5, 3044.3, 2898.8, 0, 0, 41.1, 6.3, 14.2, 0.6, 9.1, 32, 0, 0, 58.7, 138.3, 122, 116.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 481.1, 0, 0, 
0, eco8, 7, 1197, 0, 9073.1, 20986.8, 0, 0, 0, 0, 5, 521.9, 0, 0, 0, 9863.8, 986.4, 2616, 136.6, 1667.7, 294.3, 0, 0, 1243.3, 2952.6, 2663.2, 2214.1, 0, 0, 34.8, 5.3, 13.1, 0.7, 8.3, 29.4, 0, 0, 82.4, 147.6, 106.7, 88.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 468.1, 0, 0, 
0, eco9, 8, 47, 0, 12875.6, 15146.4, 0, 0, 0, 0, 5, 640.9, 0, 0, 0, 7118.8, 711.9, 1683.8, 151.8, 1073.4, 189.4, 0, 0, 1037.7, 3234.5, 3522.4, 5080.9, 0, 0, 23.7, 3.6, 8.4, 0.8, 5.4, 18.9, 0, 0, 69.2, 161.8, 140.9, 203.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 604.4, 0, 0, 
5, eco1, 0, 925, -134.8, 3706, 6707.9, 261.8, 26.2, 40.3, 52.7, 12.59, 208.6, 6.5, 234.8, 23.5, 2904.1, 290.4, 2231.3, 57, 29.9, 79.8, 3.7, 5.1, 759.2, 842.8, 879.2, 1224.8, 5.8, 0.6, 8.1, 3, 10, 0.5, 0.2, 5.8, 0, 0.2, 24.3, 52.7, 35.6, 49.2, 0, 0.7, 0, 0, 2.1, 0.8, -1.3, 0, 5.06, 2.03, 0.58, 1547.5, 24.3, 2.4, 0.5, 180.6, 0.21, 0, 
5, eco2, 1, 8080, -267.1, 6086.5, 13610.8, 490.3, 49, 80.7, 110.3, 9.41, 338.7, 11.8, 459.4, 45.9, 5937.6, 593.8, 2934, 118.6, 54.9, 118.2, 7.4, 9.4, 1070, 1430.2, 1599, 1987.3, 10.8, 1.2, 15.4, 6.8, 13, 1, 0.3, 7.8, 0, 0.4, 35.7, 92.6, 64.1, 80.2, 0.1, 0.9, 0, 0, 3.4, 2.4, -2.5, 0, 5.43, 1.23, 0.74, 897.6, 15.8, 4.3, 0.9, 290.4, 0.15, 0, 
5, eco3, 2, 7090, -205.5, 9188.8, 17956.3, 529.6, 53, 86.8, 147, 12.5, 501.8, 17.1, 506.7, 50.7, 7935.2, 793.5, 3312.9, 173.7, 59.7, 130.2, 8, 10.1, 1415, 2134.2, 2594, 3045.6, 12, 1.3, 20.6, 8.7, 14.3, 1.4, 0.3, 8.6, 0, 0.4, 53.7, 140.3, 104.8, 123, 0.1, 0.9, 0, 0, 5, 3.6, -3.9, 0, 5.81, 2.01, 1.23, 1190.1, 24.6, 4.6, 0.9, 443.6, 0.2, 0, 
5, eco4, 3, 7250, -250.8, 8264.1, 21906.5, 545.1, 54.5, 94.1, 176.7, 13.52, 469.7, 15.6, 545.9, 54.6, 9755.6, 975.6, 3720.3, 176.3, 65.2, 151.7, 8.5, 11.2, 1599.6, 2034.7, 2320.5, 2309.3, 13, 1.4, 25.9, 9.7, 16.4, 1.3, 0.3, 10.2, 0, 0.5, 60, 131.3, 92.6, 93.4, 0.1, 1.1, 0, 0, 5.2, 2.7, -3.3, 0, 6.39, 2.05, 1.43, 401.8, 9.2, 4.7, 1, 402, 0.22, 0, 
5, eco5, 4, 6494, -173.4, 5963.4, 20685.8, 397.3, 39.7, 76.4, 158.3, 11.95, 352.5, 11.6, 480.9, 48.1, 9244.5, 924.5, 3488.4, 140.5, 56.4, 155.7, 6.9, 10.6, 1511.3, 1508, 1760.6, 1183.6, 12.6, 1.3, 26.9, 6.6, 15.8, 0.9, 0.3, 10.9, 0, 0.4, 54.5, 94.3, 67.9, 48.1, 0.1, 1.1, 0, 0, 4.3, 1.8, -2.3, 0, 6.55, 3.09, 2.04, 22.3, 0.6, 3.5, 1, 288.4, 0.2, 0, 
5, eco6, 5, 12796, -168.1, 8267.1, 23460, 405.8, 40.6, 63.3, 174.8, 9.25, 469.1, 12.6, 465.4, 46.5, 10565.6, 1056.6, 3493.6, 185, 52.7, 163.2, 4.7, 8.5, 1451.2, 2133.1, 2334.4, 2348.3, 14, 1.4, 35.5, 5.6, 16, 1, 0.3, 12.5, 0, 0.4, 48.8, 134.2, 95.5, 94.7, 0.1, 1.1, 0, 0, 3, 3.1, -2.5, 0, 5.54, 2.53, 1.29, 12.3, 0.3, 4.3, 1.2, 395.6, 0.15, 0, 
5, eco7, 6, 7385, -86, 9592.2, 24718.8, 354.8, 35.5, 51.7, 184.6, 9.31, 533.3, 13.9, 400.7, 40.1, 11214.2, 1121.4, 3575.1, 213.8, 55.9, 177.5, 4, 7.5, 1566.6, 2534.2, 2591.1, 2900.3, 12.3, 1.2, 39.8, 6.1, 16.5, 1.1, 0.3, 14.4, 0, 0.3, 54.6, 153.4, 107, 116.8, 0.1, 1.2, 0, 0, 3, 3.6, -2.8, 0, 6.01, 4.66, 1.68, 20.4, 0.4, 4, 1, 456.2, 0.14, 0, 
5, eco8, 7, 1197, -66.5, 9084, 21800.6, 310.6, 31.1, 45.7, 162.8, 12.51, 512.2, 13, 355.3, 35.5, 9873.5, 987.3, 3302.5, 209.9, 60.5, 176.1, 3.7, 6.9, 1805.7, 2669, 2393.2, 2216, 10.9, 1.1, 35, 5.3, 15.3, 1.1, 0.3, 14.7, 0, 0.3, 73.3, 154.2, 98.9, 89.2, 0.1, 1.1, 0, 0, 3.6, 3.1, -2.3, 0, 5.91, 5.61, 2.04, 23.8, 0.6, 3.5, 0.9, 443.5, 0.19, 0, 
5, eco9, 8, 47, -27.3, 12451.4, 16354, 252.5, 25.3, 41.4, 123.3, 8.89, 636.6, 12.1, 302.6, 30.3, 7368.7, 736.9, 2212.8, 205.4, 50.7, 117.3, 3.4, 6, 1355, 2984.7, 3031.1, 5080.6, 8.9, 0.9, 24.7, 3.8, 10.1, 1, 0.3, 9.3, 0, 0.3, 60, 177.3, 127.4, 203.8, 0.1, 0.7, 0, 0, 2.7, 3, -2.5, 0, 5.75, 1.77, 1.27, 0, 0, 2.7, 0.7, 587.2, 0.14, 0, 
10, eco1, 0, 925, -123.6, 3517.3, 7835, 243.2, 24.3, 59.9, 59.7, 12.74, 207.2, 5.1, 334.6, 33.5, 3334.5, 333.4, 2304.2, 77.3, 63.1, 80.8, 8.9, 11.7, 642.2, 823.5, 826.5, 1225.2, 8.3, 0.9, 9.3, 3.4, 9.8, 0.7, 0.3, 3.4, 0, 0.5, 19.3, 58.1, 31, 49.4, 0.1, 0, 0, 0, 1.6, 1.1, -1, 0, 3.82, 2.64, 0.75, 99.8, 1.6, 1.9, 0.7, 174.8, 0.22, 0, 
10, eco2, 1, 8080, -204.2, 5662.8, 15689.9, 443.9, 44.4, 115.2, 124, 9.83, 335, 10.8, 633.1, 63.3, 6740.9, 674.1, 3164.1, 159.9, 104.3, 129.7, 16.2, 19.6, 920.5, 1330.9, 1422.4, 1989, 14.9, 1.7, 17.5, 7.7, 12.9, 1.5, 0.5, 4.7, 0.1, 0.8, 27.6, 99.9, 54.5, 80.8, 0.1, -0.2, 0, 0, 2.7, 3.5, -2.2, 0, 4.16, 1.81, 0.92, 161.7, 2.6, 3.4, 1.2, 278.8, 0.16, 0, 
10, eco3, 2, 7090, -164.8, 8306, 18613.5, 484.5, 48.5, 122.1, 147.7, 13.81, 483, 14.7, 685.4, 68.5, 8063.1, 806.3, 3667.4, 224.6, 111.1, 132.8, 17.2, 20.6, 1081.2, 1989.4, 2187.1, 3048.3, 16.2, 1.8, 20.9, 8.9, 14, 2, 0.6, 4.6, 0.1, 0.9, 34.3, 153.3, 87.8, 124, 0.1, -0.2, 0, 0, 3.1, 5.2, -3.1, 0, 3.91, 2.96, 1.64, 629.4, 12.1, 3.7, 1.3, 419.3, 0.23, 0, 
