SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 9, 13, 0, 9, 13, 0, 144143, 303050, 0, 
2, 13, 15, 0, 12, 15, 0, 180767, 250828, 0, 
3, 15, 9, 0, 15, 9, 0, 262129, 175236, 0, 
4, 8, 19, 0, 8, 19, 0, 141752, 398776, 0, 
5, 19, 10, 0, 19, 10, 0, 297230, 224347, 0, 
6, 15, 14, 0, 14, 14, 0, 126522, 191582, 0, 
7, 11, 19, 0, 11, 12, 0, 107885, 285833, 0, 
8, 18, 7, 0, 18, 7, 0, 145971, 102655, 0, 
9, 13, 369, 0, 13, 16, 0, 95931, 4111517, 0, 
10, 13, 157, 0, 13, 12, 0, 132780, 1247401, 0, 
11, 16, 7, 0, 14, 7, 0, 132234, 116425, 0, 
12, 16, 617, 0, 16, 15, 0, 143827, 5915436, 0, 
13, 17, 17, 0, 17, 17, 0, 159267, 307440, 0, 
14, 1025, 10, 0, 17, 10, 0, 7011297, 132120, 0, 
15, 12, 20, 0, 12, 19, 0, 110870, 225184, 0, 
16, 9, 13, 0, 9, 13, 0, 60647, 123206, 0, 
17, 9, 13, 0, 9, 13, 0, 81156, 173075, 0, 
18, 17, 17, 0, 15, 16, 0, 127308, 223936, 0, 
19, 15, 13, 0, 15, 13, 0, 124105, 210094, 0, 
20, 2956, 1879, 0, 18, 16, 0, 22280917, 21017194, 0, 
21, 19, 18, 0, 19, 18, 0, 107193, 294135, 0, 
22, 61, 15, 0, 13, 15, 0, 451815, 225420, 0, 
23, 1103, 416, 0, 11, 13, 0, 8588360, 2788085, 0, 
24, 1078, 235, 0, 17, 12, 0, 7010861, 2858474, 0, 
25, 328, 674, 0, 13, 19, 0, 1816858, 8359414, 0, 
26, 54, 13, 0, 20, 13, 0, 249937, 190918, 0, 
27, 348, 330, 0, 11, 13, 0, 2272832, 2858018, 0, 
28, 705, 17, 0, 19, 17, 0, 4797297, 212993, 0, 
29, 1621, 1540, 0, 13, 17, 0, 7578480, 14690395, 0, 
30, 219, 25, 0, 15, 18, 0, 935363, 290173, 0, 
31, 9, 1486, 0, 7, 16, 0, 48496, 22465162, 0, 
32, 26, 19, 0, 26, 19, 0, 173981, 256133, 0, 
33, 369, 26, 0, 21, 18, 0, 1869671, 304047, 0, 
34, 873, 23, 0, 13, 18, 0, 4211585, 210322, 0, 
35, 13, 14, 0, 12, 13, 0, 114309, 143840, 0, 
36, 16, 340, 0, 14, 21, 0, 79194, 4123791, 0, 
37, 1175, 1200, 0, 17, 8, 0, 6104855, 8058849, 0, 
38, 13, 12, 0, 13, 12, 0, 49795, 111533, 0, 
39, 667, 2085, 0, 16, 18, 0, 2392632, 26881150, 0, 
40, 2778, 2869, 0, 21, 23, 0, 18268653, 23922309, 0, 
41, 734, 1731, 0, 18, 21, 0, 2910199, 12502691, 0, 
42, 311, 1111, 0, 18, 13, 0, 1274899, 10344723, 0, 
43, 27, 23, 0, 24, 23, 0, 138145, 214748, 0, 
44, 754, 36, 0, 10, 20, 0, 2621353, 356781, 0, 
45, 751, 430, 0, 15, 15, 0, 2559963, 3874602, 0, 
46, 15, 1894, 0, 15, 20, 0, 59713, 13086134, 0, 
47, 1874, 16, 0, 25, 13, 0, 9052585, 160516, 0, 
48, 100, 378, 0, 18, 19, 0, 360967, 3444341, 0, 
49, 947, 398, 0, 15, 14, 0, 4188554, 4300690, 0, 
50, 328, 12, 0, 19, 12, 0, 1314004, 119202, 0, 
51, 1689, 357, 0, 12, 23, 0, 6524415, 3220515, 0, 
52, 21, 262, 0, 20, 20, 0, 89090, 1498848, 0, 
53, 21, 2075, 0, 21, 19, 0, 118780, 18449877, 0, 
54, 860, 17, 0, 12, 17, 0, 2699896, 154075, 0, 
55, 938, 21, 0, 19, 17, 0, 3763752, 224756, 0, 
