SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 291, 1, 1, 41.4694134257236, Accidental, 
2, 180, 1, 1, 36.273437129719, Accidental, 
3, 331, 1, 1, 47.1413847663564, Accidental, 
3, 346, 1, 1, 14.6051981189193, Lightning, 
8, 193, 1, 1, 37.4098146177519, Accidental, 
9, 265, 1, 1, 34.6776838442927, Accidental, 
10, 201, 1, 1, 39.9282491250813, Accidental, 
12, 138, 1, 1, 14.9662063368922, Lightning, 
12, 227, 1, 1, 37.3677618195142, Accidental, 
12, 245, 1, 1, 33.2608911638156, Accidental, 
12, 283, 1, 1, 40.8087613094665, Accidental, 
14, 155, 1, 1, 15.2758357229492, Accidental, 
15, 111, 1, 1, 7.53605766004065, Lightning, 
15, 261, 1, 1, 42.3177906927496, Accidental, 
16, 277, 1, 1, 29.3403760033877, Lightning, 
17, 293, 1, 1, 46.7931160518055, Accidental, 
18, 89, 1, 1, 3.58221139398005, Lightning, 
18, 185, 1, 1, 34.8960062635511, Accidental, 
19, 174, 1, 1, 37.7317429556347, Accidental, 
20, 220, 1, 1, 38.5363946108688, Accidental, 
21, 312, 1, 1, 20.0292734588466, Lightning, 
22, 245, 1, 1, 44.0883092460658, Accidental, 
22, 264, 1, 1, 36.4163338680402, Accidental, 
24, 312, 1, 1, 37.5867404879563, Accidental, 
25, 275, 1, 1, 36.66345451444, Accidental, 
25, 325, 1, 1, 13.2660646521935, Lightning, 
26, 172, 1, 1, 37.8482773560184, Accidental, 
26, 268, 1, 1, 45.9921599358673, Accidental, 
28, 196, 1, 1, 45.2294970799854, Accidental, 
28, 255, 1, 1, 46.0015745619742, Accidental, 
29, 168, 1, 1, 23.2703531287331, Lightning, 
30, 209, 1, 1, 34.2658926390094, Accidental, 
30, 246, 1, 1, 55.3155346725323, Accidental, 
30, 265, 1, 1, 38.6873076813853, Accidental, 
31, 171, 1, 1, 36.2362876602385, Accidental, 
31, 215, 1, 1, 60.2774671989953, Accidental, 
31, 217, 1, 1, 49.2402151575159, Accidental, 
31, 265, 1, 1, 27.923138956355, Lightning, 
32, 207, 1, 1, 38.3700356415388, Accidental, 
32, 242, 1, 1, 58.9006189170223, Accidental, 
32, 300, 1, 1, 35.4851555125367, Lightning, 
33, 263, 1, 1, 41.5068103590306, Accidental, 
33, 264, 1, 1, 42.3073256303729, Accidental, 
37, 233, 1, 1, 42.113923272057, Accidental, 
38, 123, 1, 1, 17.1974114094894, Lightning, 
38, 222, 1, 1, 51.3278795415776, Accidental, 
38, 258, 1, 1, 47.6379530914487, Lightning, 
38, 264, 1, 1, 44.1868221566811, Accidental, 
39, 38, 1, 1, 5.45931998478517, Lightning, 
40, 194, 1, 1, 35.9267976935032, Lightning, 
41, 200, 1, 1, 26.3808163657505, Lightning, 
