Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, AbieConc, eco1, 157, 0.01, 1, 0.66, 0, 140.73, 16.03, 288.44, 
5, AbieConc, eco2, 829, 0.01, 1, 0.47, 0.01, 173.38, 30.03, 283.06, 
5, AbieConc, eco3, 424, 0.45, 1, 0.52, 0.25, 156.2, 44.78, 280.67, 
5, AbieConc, eco4, 493, 0.77, 1, 0.54, 0.32, 140.96, 56.11, 275.84, 
5, AbieConc, eco5, 505, 0.99, 1, 0.53, 0.32, 107.06, 107.99, 268.48, 
5, AbieConc, eco6, 682, 0.91, 1, 0.45, 0.27, 101.78, 122.96, 261.02, 
5, AbieConc, eco7, 412, 0.8, 1, 0.59, 0.35, 79.09, 128.15, 260.64, 
5, AbieConc, eco8, 88, 0.74, 1, 0.68, 0.41, 66.48, 128.11, 260, 
5, AbieConc, eco9, 3, 0.66, 1, 0.68, 0.39, 65, 131, 260, 
5, AbieConc, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AbieMagn, eco1, 160, 0, 1, 0.65, 0, 140.6, 16.26, 287.75, 
5, AbieMagn, eco2, 871, 0.01, 1, 0.46, 0, 173.24, 30.03, 283, 
5, AbieMagn, eco3, 427, 0.26, 1, 0.49, 0.15, 158.46, 44.69, 280.17, 
5, AbieMagn, eco4, 503, 0.67, 1, 0.53, 0.31, 139.74, 56.31, 275.8, 
5, AbieMagn, eco5, 514, 0.96, 1, 0.52, 0.31, 106.95, 107.83, 268.45, 
5, AbieMagn, eco6, 718, 0.93, 1, 0.43, 0.26, 101.55, 123.04, 261.01, 
5, AbieMagn, eco7, 397, 0.83, 1, 0.58, 0.35, 78.81, 128.09, 260.79, 
5, AbieMagn, eco8, 88, 0.77, 1, 0.66, 0.4, 67.45, 128.26, 259.83, 
5, AbieMagn, eco9, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AbieMagn, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, CaloDecu, eco1, 109, 0.01, 1, 0.68, 0.01, 139.85, 16.22, 287.57, 
5, CaloDecu, eco2, 482, 0.01, 1, 0.48, 0.01, 177.21, 30.02, 283.12, 
5, CaloDecu, eco3, 193, 0.56, 1, 0.57, 0.31, 150.99, 43.19, 280.35, 
5, CaloDecu, eco4, 244, 0.89, 1, 0.59, 0.35, 136.34, 55.38, 276.37, 
5, CaloDecu, eco5, 233, 0.98, 1, 0.56, 0.34, 106.27, 108.05, 268.2, 
5, CaloDecu, eco6, 504, 0.53, 1, 0.46, 0.26, 103.98, 124.8, 262.94, 
5, CaloDecu, eco7, 249, 0.24, 1, 0.58, 0.14, 83.08, 130.54, 261.11, 
5, CaloDecu, eco8, 39, 0.13, 1, 0.69, 0.08, 67.08, 128.85, 259.62, 
5, CaloDecu, eco9, 2, 0, 1, 0.7, 0, 64.5, 131, 260, 
5, CaloDecu, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, FX_R_SEED, eco1, 172, 0.2, 1, 0.7, 0.12, 133.4, 17, 285, 
5, FX_R_SEED, eco2, 514, 0.4, 1, 0.5, 0.2, 171.19, 30.89, 282.15, 
5, FX_R_SEED, eco3, 224, 0.71, 1, 0.62, 0.36, 138.6, 44.71, 281.19, 
5, FX_R_SEED, eco4, 242, 0.91, 1, 0.59, 0.36, 134.12, 56.98, 277.71, 
5, FX_R_SEED, eco5, 229, 1, 1, 0.57, 0.34, 108.98, 107.12, 272.79, 
5, FX_R_SEED, eco6, 678, 0.84, 1, 0.49, 0.3, 100.45, 124.85, 262.95, 
5, FX_R_SEED, eco7, 464, 0.72, 1, 0.52, 0.31, 89.54, 131.43, 261.57, 
5, FX_R_SEED, eco8, 41, 0.65, 1, 0.67, 0.39, 67.8, 129.9, 257.8, 
5, FX_R_SEED, eco9, 1, 0.6, 1, 0.73, 0.36, 59, 131, 260, 
5, FX_R_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_R_SEED, eco1, 174, 0.2, 1, 0.7, 0.12, 132.48, 17, 285, 
5, NOFX_R_SEED, eco2, 518, 0.4, 1, 0.49, 0.2, 171.83, 30.89, 282.15, 
5, NOFX_R_SEED, eco3, 219, 0.71, 1, 0.62, 0.36, 139.23, 44.86, 281.01, 
5, NOFX_R_SEED, eco4, 240, 0.91, 1, 0.59, 0.35, 135.65, 57.25, 278.03, 
5, NOFX_R_SEED, eco5, 214, 1, 1, 0.57, 0.34, 109.37, 107.06, 273.13, 
5, NOFX_R_SEED, eco6, 684, 0.84, 1, 0.49, 0.3, 100.55, 124.87, 263.03, 
5, NOFX_R_SEED, eco7, 467, 0.72, 1, 0.53, 0.31, 89.34, 131.24, 261.57, 
5, NOFX_R_SEED, eco8, 37, 0.65, 1, 0.66, 0.39, 68.38, 130.38, 257.57, 
5, NOFX_R_SEED, eco9, 2, 0.6, 1, 0.71, 0.36, 63, 131, 260, 
5, NOFX_R_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_NOR_SEED, eco1, 147, 0.21, 1, 0.69, 0.13, 136.79, 16.65, 285.82, 
5, NOFX_NOR_SEED, eco2, 506, 0.4, 1, 0.48, 0.2, 174.23, 30.64, 282.43, 
