Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,SoilWaterContent,
5, 7, eco1, 0, 925, 0, 26, 29.85, 3.04, 5.7, -26.81, 0.04, 0, 0.73, 
5, 7, eco2, 1, 8080, 0, 25.5, 58.92, 7.9, 13.13, -51.02, 0.04, 0, 1.65, 
5, 7, eco3, 2, 7090, 0.1, 24.4, 72.04, 10.92, 17.24, -61.11, 0.04, 0, 1.77, 
5, 7, eco4, 3, 7250, 0.3, 23.3, 55.5, 12.67, 17.13, -42.83, 0.04, 0, 1.63, 
5, 7, eco5, 4, 6494, 0.8, 21.3, 10.82, 2.8, 3.6, -8.02, 0.04, 0, -0.97, 
5, 7, eco6, 5, 12796, 1.5, 18.3, 70.57, 16.27, 21.84, -54.3, 0.05, 0, 2.23, 
5, 7, eco7, 6, 7385, 1.8, 17.1, 68.35, 25.64, 29.96, -42.71, 0.05, 0, 2.65, 
5, 7, eco8, 7, 1197, 2.1, 16.3, 65.19, 29.53, 32.79, -35.66, 0.05, 0, 2.76, 
5, 7, eco9, 8, 47, 2.2, 15.4, 61.89, 67.82, 67.81, 5.93, 0.05, 0, 3.76, 
5, 8, eco1, 0, 925, 0.8, 24.3, 46.71, 3.25, 7.61, -43.46, 0.04, 0, 0.38, 
5, 8, eco2, 1, 8080, 0.9, 23.7, 66.68, 7.13, 13.17, -59.55, 0.04, 0, 1.22, 
5, 8, eco3, 2, 7090, 1, 22.6, 77.02, 10.02, 16.89, -67, 0.04, 0, 1.36, 
5, 8, eco4, 3, 7250, 0.9, 21.5, 71.03, 10.05, 16.28, -60.98, 0.04, 0, 1.26, 
5, 8, eco5, 4, 6494, 0.8, 19.5, 13.54, 2.86, 3.91, -10.68, 0.04, 0, -0.35, 
5, 8, eco6, 5, 12796, 0.5, 16.6, 69.49, 9.34, 15.47, -60.14, 0.04, 0, 1.52, 
5, 8, eco7, 6, 7385, 0.6, 15.5, 66.33, 13.35, 18.71, -52.97, 0.04, 0, 1.77, 
5, 8, eco8, 7, 1197, 0.5, 14.7, 63, 12.91, 17.89, -50.09, 0.04, 0, 1.82, 
5, 8, eco9, 8, 47, 0.5, 13.9, 49.01, 17.43, 20.86, -31.58, 0.04, 0, 2.42, 
5, 9, eco1, 0, 925, 0.7, 22.7, 46.99, 3.05, 7.44, -43.94, 0.04, 0, 0.19, 
5, 9, eco2, 1, 8080, 0.8, 22.1, 68.08, 6.36, 12.59, -61.71, 0.04, 0, 0.99, 
5, 9, eco3, 2, 7090, 1, 20.9, 78.91, 9.53, 16.59, -69.39, 0.04, 0, 1.12, 
5, 9, eco4, 3, 7250, 1.2, 19.6, 78.66, 9.94, 16.91, -68.71, 0.04, 0, 1.13, 
5, 9, eco5, 4, 6494, 1.5, 17.5, 62.09, 4.22, 10.06, -57.87, 0.05, 0, 0.24, 
5, 9, eco6, 5, 12796, 1.3, 14.3, 65.74, 10.67, 16.2, -55.07, 0.05, 0, 1.34, 
5, 9, eco7, 6, 7385, 1.8, 13.1, 61.83, 17.03, 21.39, -44.8, 0.05, 0, 1.63, 
5, 9, eco8, 7, 1197, 2.1, 12.2, 57.19, 18.55, 22.16, -38.64, 0.05, 0, 1.74, 
