Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, AbieConc, eco1, 142, 0.01, 1, 0.67, 0.01, 136.82, 16.28, 286.56, 
5, AbieConc, eco2, 884, 0.01, 1, 0.47, 0, 174.69, 29.87, 282.65, 
5, AbieConc, eco3, 428, 0.45, 1, 0.52, 0.25, 157.02, 44.34, 281.01, 
5, AbieConc, eco4, 507, 0.78, 1, 0.54, 0.32, 139.83, 56.87, 276.07, 
5, AbieConc, eco5, 517, 0.99, 1, 0.52, 0.31, 108.2, 107.76, 268.7, 
5, AbieConc, eco6, 780, 0.91, 1, 0.46, 0.27, 101.05, 123.26, 261.41, 
5, AbieConc, eco7, 378, 0.8, 1, 0.62, 0.37, 75.79, 127.6, 259.94, 
5, AbieConc, eco8, 88, 0.74, 1, 0.68, 0.41, 66.32, 128.34, 260.08, 
5, AbieConc, eco9, 1, 0.66, 1, 0.72, 0.39, 58, 131, 260, 
5, AbieConc, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AbieMagn, eco1, 155, 0, 1, 0.65, 0, 139.52, 16.23, 286.95, 
5, AbieMagn, eco2, 833, 0, 1, 0.47, 0, 172.32, 29.84, 282.77, 
5, AbieMagn, eco3, 435, 0.27, 1, 0.5, 0.15, 157.36, 44.2, 281.36, 
5, AbieMagn, eco4, 525, 0.68, 1, 0.51, 0.3, 142.28, 56.98, 276.42, 
5, AbieMagn, eco5, 505, 0.96, 1, 0.52, 0.31, 107.16, 107.83, 268.71, 
5, AbieMagn, eco6, 778, 0.93, 1, 0.44, 0.26, 100.67, 123.23, 261.34, 
5, AbieMagn, eco7, 367, 0.83, 1, 0.59, 0.35, 77.46, 127.71, 260.14, 
5, AbieMagn, eco8, 82, 0.77, 1, 0.67, 0.4, 66.55, 128, 260, 
5, AbieMagn, eco9, 1, 0.69, 1, 0.75, 0.41, 52, 131, 260, 
5, AbieMagn, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, CaloDecu, eco1, 106, 0, 1, 0.68, 0, 140.75, 16.36, 286.72, 
5, CaloDecu, eco2, 475, 0, 1, 0.48, 0, 176.58, 30.22, 282.61, 
5, CaloDecu, eco3, 221, 0.55, 1, 0.56, 0.3, 152.99, 46.18, 282.74, 
5, CaloDecu, eco4, 253, 0.89, 1, 0.58, 0.35, 136.11, 57.52, 277.32, 
5, CaloDecu, eco5, 286, 0.98, 1, 0.56, 0.34, 107.21, 107.85, 269.67, 
5, CaloDecu, eco6, 548, 0.53, 1, 0.49, 0.27, 100.37, 124.41, 262.22, 
5, CaloDecu, eco7, 217, 0.26, 1, 0.61, 0.16, 78.12, 129.59, 259.89, 
5, CaloDecu, eco8, 37, 0.13, 1, 0.7, 0.08, 66.05, 128, 260, 
5, CaloDecu, eco9, 1, 0, 1, 0.71, 0, 62, 131, 260, 
5, CaloDecu, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, FX_R_SEED, eco1, 180, 0.2, 1, 0.69, 0.12, 133.99, 17, 285, 
5, FX_R_SEED, eco2, 534, 0.4, 1, 0.49, 0.2, 171.3, 30.63, 282.19, 
5, FX_R_SEED, eco3, 202, 0.7, 1, 0.61, 0.35, 139.29, 46.32, 281.11, 
5, FX_R_SEED, eco4, 254, 0.91, 1, 0.59, 0.35, 134.52, 60.54, 279.04, 
5, FX_R_SEED, eco5, 200, 1, 1, 0.57, 0.34, 106.66, 108.08, 271.89, 
5, FX_R_SEED, eco6, 799, 0.84, 1, 0.5, 0.3, 98.97, 124.62, 261.97, 
5, FX_R_SEED, eco7, 439, 0.72, 1, 0.55, 0.33, 86.35, 131.03, 260.98, 
5, FX_R_SEED, eco8, 36, 0.66, 1, 0.68, 0.39, 69.72, 130.08, 262.08, 
5, FX_R_SEED, eco9, 2, 0.6, 1, 0.71, 0.36, 63, 131, 260, 
5, FX_R_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_R_SEED, eco1, 180, 0.2, 1, 0.69, 0.12, 134.61, 17, 285, 
