Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7918, 19612, 0, 5, 2935, 
5, -223, 8004, 21788, 481.5, 11.09, 3522.1, 
10, -184.4, 7443.5, 23591.2, 486.2, 11.5, 3952.2, 
15, -197.1, 7132.3, 25033.7, 437.1, 12.87, 4246.4, 
20, -121.6, 7017, 25951.3, 414.1, 11.72, 4488.7, 
25, -104.9, 6995.1, 26603.9, 377.1, 11.51, 4715.7, 
30, -46.1, 6992.3, 27002.3, 363.7, 11.82, 4853.8, 
35, -47.6, 6945.6, 27274.6, 402.4, 12.83, 4852.9, 
40, -65.9, 6974.3, 27381, 359.5, 11.64, 4980.2, 
45, -30.8, 6997.8, 27301.8, 317.7, 12.6, 5084, 
50, -17.2, 7028.4, 27187.1, 306.5, 13.09, 5164.3, 
55, -6.9, 7051.1, 26947.2, 297.5, 13.22, 5227.5, 
60, 1.5, 7078, 26752.2, 290.3, 13.13, 5269.6, 
65, 6.8, 7083, 26423.3, 284.3, 12.87, 5277.3, 
70, 11.6, 7086.7, 26034.2, 279.3, 12.51, 5300.7, 
75, 15.7, 7100.2, 25767, 275.1, 12.15, 5298.1, 
80, 17.6, 7091.3, 25368.9, 271.7, 11.78, 5283.8, 
