EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
1, 2, 59, 182, 39.1341398682533, 211, 777, Accidental, 1, 1, 24, 83, 12.3516217332, 15.3989868523085, 214.59279052, NaN, 39.13, NaN, 0, 0, 0.129999995231628, 1, 542, 248, 11102, 
2, 4, 76, 140, 29.0957803472492, 241, 590, Accidental, 1, 1, 18, 31, 13.3635995136, 14.4124013176651, 257.07743209, NaN, 29.1, NaN, 0, 0, 0.102438680827618, 0.694096316189236, 0, 392, 4052, 
3, 4, 99, 139, 41.3976416884322, 262, 816, Accidental, 1, 1, 36, 52, 12.833116704, 15.4046224571952, 133.8479592, NaN, 41.4, NaN, 0, 0, 0.129999995231628, 0.566954265679253, 0, 470, 11553, 
4, 6, 53, 565, 14.8065307845107, 135, 379, Accidental, 1, 1, 38, 54, 13.2018087528, 18.0403834615642, 258.19918705, NaN, 14.81, NaN, 478.463164235039, 475.604518688036, 0.118295080959797, 0.0525314084757122, 687, 389, 20368, 
5, 6, 1, 114, 18.8078135024743, 301, 382, Accidental, 1, 1, 33, 56, 7.7392375524, 11.71301230772, 225.1958226, NaN, 18.81, NaN, 772.297257656442, 701.301128716774, 0.178081333637238, 0.0814930033699568, 0, 389, 14342, 
6, 7, 1, 240, 30.5283561063998, 198, 621, Accidental, 1, 1, 39, 95, 12.5356782564, 14.911682738831, 245.15891116, NaN, 30.53, NaN, 684.453709022492, 621.025713780766, 0.129999995231628, 0.081583495064727, 800, 344, 13038, 
7, 7, 34, 162, 32.57004495963, 250, 714, Accidental, 1, 1, 26, 53, 13.8070349856, 20.32439422133, 255.99108132, NaN, 32.57, NaN, 772.297257656442, 762.863878515391, 0.129999995231628, 0.108392020141458, 0, 290, 7739, 
8, 7, 104, 181, 16.2952218018817, 340, 345, Accidental, 1, 1, 32, 55, 11.1834597996, 12.3820075153503, 134.983252, NaN, 16.3, NaN, 729.153760059678, 684.633704195139, 0.19191175699234, 0.0811203556353665, 253, 354, 12327, 
9, 8, 60, 491, 0.828651029875362, 56, 85, Lightning, 1, 1, 33, 59, 9.5143340556, 13.4172672013449, 161.4119994, NaN, 0.83, NaN, 521.651779899183, 502.971827547039, 0.129999995231628, 0.0882891433844303, 1077, 352, 21524, 
10, 8, 4, 213, 42.8081847675639, 214, 817, Accidental, 1, 1, 24, 59, 11.8053768384, 13.1666377368452, 186.075109188, NaN, 42.81, NaN, 729.153760059678, 670.940072377955, 0.129999995231628, 0.0874631855339606, 837, 321, 8392, 
11, 9, 58, 131, 28.3304744676893, 196, 493, Accidental, 1, 1, 28, 47, 7.2248091084, 6.48816370197162, 114.1035602, NaN, 28.33, NaN, 772.297257656442, 724.691119124997, 0.129999995231628, 0.0933244373694013, 0, 378, 8371, 
12, 9, 35, 277, 26.8280441098535, 196, 489, Lightning, 1, 1, 24, 54, 9.1584587232, 8.55392866520665, 121.6713886, NaN, 26.83, NaN, 618.017614653294, 618.017614653294, 0.100000001490116, 0.0750676625140958, 698, 343, 10835, 
13, 10, 47, 140, 49.7334629295374, 172, 875, Accidental, 2, 369, 5940, 13050, 17.243678020039, 18.7348657900099, 132.237412690785, 0, 48.53, 0.723652011197224, 770.533675962214, 726.316564684109, 0.141130912049515, 0.0760328584537704, 102.062330623306, 332.36, 2017490, 
14, 13, 85, 528, 4.36926628599853, 58, 135, Lightning, 1, 1, 34, 48, 11.6063062164, 12.2760577028209, 225.893247575, NaN, 4.37, NaN, 542.343433913082, 499.754164264446, 0.129999995231628, 0.0812715651311655, 111, 493, 20655, 
15, 15, 35, 434, 22.3149160333792, 253, 417, Lightning, 1, 1, 11, 16, 10.7795623572, 9.21533734259503, 299.6483329, NaN, 22.31, NaN, 542.343433913082, 522.633687037093, 0.118917390704155, 0.10379460595222, 53, 460, 2049, 
