Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, AbieConc, eco1, 156, 0, 1, 0.71, 0, 153.72, 0.58, 335.72, 
5, AbieConc, eco2, 953, 0, 1, 0.61, 0, 187.3, 0.55, 331.67, 
5, AbieConc, eco3, 512, 0, 1, 0.64, 0, 178.05, 0.78, 327.28, 
5, AbieConc, eco4, 630, 0.41, 1, 0.63, 0.24, 170.36, 15.98, 324.38, 
5, AbieConc, eco5, 816, 0.84, 1, 0.59, 0.34, 144.18, 51.12, 290.16, 
5, AbieConc, eco6, 749, 0.97, 1, 0.48, 0.29, 117.89, 102.51, 267.31, 
5, AbieConc, eco7, 319, 0.9, 1, 0.52, 0.31, 105.33, 110.71, 264.27, 
5, AbieConc, eco8, 73, 0.8, 1, 0.56, 0.33, 90.55, 120.34, 260.42, 
5, AbieConc, eco9, 1, 0.7, 1, 0.53, 0.32, 87, 131, 260, 
5, AbieConc, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AbieMagn, eco1, 155, 0, 1, 0.7, 0, 153.56, 0.7, 335.83, 
5, AbieMagn, eco2, 952, 0, 1, 0.6, 0, 188.59, 0.62, 331.76, 
5, AbieMagn, eco3, 494, 0, 1, 0.63, 0, 177.3, 0.76, 327.88, 
5, AbieMagn, eco4, 615, 0.25, 1, 0.61, 0.15, 172.01, 15.59, 324.81, 
5, AbieMagn, eco5, 824, 0.76, 1, 0.58, 0.33, 143.81, 51, 289.99, 
5, AbieMagn, eco6, 737, 0.98, 1, 0.47, 0.28, 117.65, 102.49, 267.12, 
5, AbieMagn, eco7, 346, 0.92, 1, 0.51, 0.3, 103.82, 111.3, 263.87, 
5, AbieMagn, eco8, 61, 0.84, 1, 0.54, 0.32, 91.87, 120.3, 261.02, 
5, AbieMagn, eco9, 2, 0.73, 1, 0.48, 0.29, 90.5, 131, 260, 
5, AbieMagn, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, CaloDecu, eco1, 122, 0, 1, 0.72, 0, 153.91, 0.59, 335.55, 
5, CaloDecu, eco2, 584, 0, 1, 0.64, 0, 186.72, 0.72, 331.55, 
5, CaloDecu, eco3, 249, 0, 1, 0.65, 0, 179.55, 0.6, 329.38, 
5, CaloDecu, eco4, 305, 0.45, 1, 0.65, 0.26, 172.64, 14.06, 327.71, 
5, CaloDecu, eco5, 404, 0.91, 1, 0.61, 0.36, 145.23, 51.7, 290.26, 
5, CaloDecu, eco6, 420, 0.81, 1, 0.49, 0.3, 127, 99.55, 271.43, 
5, CaloDecu, eco7, 157, 0.61, 1, 0.52, 0.28, 115.75, 107, 269.01, 
5, CaloDecu, eco8, 30, 0.3, 1, 0.57, 0.17, 93.1, 119.4, 261.03, 
5, CaloDecu, eco9, 2, 0.03, 1, 0.53, 0.02, 90.5, 131, 260, 
5, CaloDecu, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, FX_R_SEED, eco1, 197, 0, 1, 0.73, 0, 150.05, 0, 336.83, 
5, FX_R_SEED, eco2, 566, 0, 1, 0.63, 0, 190.3, 0.07, 331.78, 
5, FX_R_SEED, eco3, 227, 0.35, 1, 0.69, 0.21, 164.85, 0.55, 325.85, 
5, FX_R_SEED, eco4, 271, 0.61, 1, 0.65, 0.34, 167.82, 18.92, 323.97, 
5, FX_R_SEED, eco5, 346, 0.92, 1, 0.62, 0.37, 145.31, 47, 290.62, 
5, FX_R_SEED, eco6, 629, 0.95, 1, 0.5, 0.3, 125.3, 100.36, 271.87, 
5, FX_R_SEED, eco7, 333, 0.88, 1, 0.47, 0.28, 124.2, 107.41, 270.77, 
5, FX_R_SEED, eco8, 35, 0.78, 1, 0.53, 0.32, 106.31, 114.14, 264.43, 
5, FX_R_SEED, eco9, 1, 0.64, 1, 0.58, 0.35, 83, 131, 260, 
5, FX_R_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_R_SEED, eco1, 187, 0, 1, 0.74, 0, 148.5, 0.1, 336.53, 
5, NOFX_R_SEED, eco2, 541, 0, 1, 0.63, 0, 189.29, 0.08, 331.65, 
5, NOFX_R_SEED, eco3, 227, 0.35, 1, 0.69, 0.21, 164.35, 0.66, 325.66, 
5, NOFX_R_SEED, eco4, 271, 0.62, 1, 0.65, 0.35, 167.5, 18.68, 323.55, 
5, NOFX_R_SEED, eco5, 352, 0.92, 1, 0.62, 0.37, 146.66, 47.34, 291.28, 
5, NOFX_R_SEED, eco6, 621, 0.95, 1, 0.5, 0.3, 124.03, 100.95, 271.47, 
5, NOFX_R_SEED, eco7, 332, 0.88, 1, 0.47, 0.28, 123.04, 107.58, 270.43, 
5, NOFX_R_SEED, eco8, 34, 0.78, 1, 0.53, 0.32, 106.24, 113.94, 264.56, 
5, NOFX_R_SEED, eco9, 2, 0.64, 1, 0.54, 0.33, 88.5, 131, 260, 
5, NOFX_R_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, NOFX_NOR_SEED, eco1, 159, 0, 1, 0.73, 0, 153.71, 0.23, 337.09, 
5, NOFX_NOR_SEED, eco2, 592, 0, 1, 0.63, 0, 188.7, 0.5, 331.82, 
5, NOFX_NOR_SEED, eco3, 261, 0.33, 1, 0.68, 0.2, 168.35, 0.67, 327.13, 
5, NOFX_NOR_SEED, eco4, 307, 0.61, 1, 0.66, 0.34, 166.2, 16.91, 324.86, 
5, NOFX_NOR_SEED, eco5, 355, 0.92, 1, 0.61, 0.36, 147.74, 49.04, 291.32, 
5, NOFX_NOR_SEED, eco6, 616, 0.95, 1, 0.49, 0.29, 128.9, 99.08, 273.19, 
5, NOFX_NOR_SEED, eco7, 305, 0.88, 1, 0.49, 0.29, 120.79, 107.52, 270.19, 
5, NOFX_NOR_SEED, eco8, 41, 0.76, 1, 0.55, 0.33, 100.71, 116.32, 263.02, 
5, NOFX_NOR_SEED, eco9, 2, 0.64, 1, 0.54, 0.33, 88.5, 131, 260, 
5, NOFX_NOR_SEED, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuAlbi, eco1, 110, 0, 1, 0.68, 0, 158.94, 0.82, 336.03, 
5, PinuAlbi, eco2, 566, 0, 1, 0.59, 0, 187.46, 0.74, 331.61, 
5, PinuAlbi, eco3, 262, 0, 1, 0.62, 0, 177.9, 0.57, 329.53, 
5, PinuAlbi, eco4, 298, 0, 1, 0.63, 0, 166.74, 15.05, 326.5, 
5, PinuAlbi, eco5, 396, 0, 1, 0.57, 0, 143.73, 52.25, 290.19, 
5, PinuAlbi, eco6, 430, 0.72, 1, 0.43, 0.24, 126.4, 99.67, 271.05, 
5, PinuAlbi, eco7, 151, 0.88, 1, 0.46, 0.27, 114.68, 107.6, 268.58, 
5, PinuAlbi, eco8, 32, 1, 1, 0.53, 0.32, 89.91, 121, 260, 
5, PinuAlbi, eco9, 1, 0.95, 1, 0.51, 0.3, 87, 131, 260, 
5, PinuAlbi, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuCont, eco1, 185, 0, 1, 0.7, 0, 147.99, 0.1, 336.38, 
5, PinuCont, eco2, 560, 0, 1, 0.56, 0, 189.6, 0.15, 331.68, 
5, PinuCont, eco3, 224, 0, 1, 0.64, 0, 164.69, 0.67, 325.77, 
5, PinuCont, eco4, 269, 0, 1, 0.6, 0, 166.02, 19.04, 323.19, 
5, PinuCont, eco5, 348, 0, 1, 0.56, 0, 145.85, 47.47, 290.86, 
5, PinuCont, eco6, 624, 0.75, 1, 0.4, 0.23, 124.85, 100.6, 271.85, 
5, PinuCont, eco7, 332, 0.89, 1, 0.37, 0.22, 122.73, 107.96, 270.48, 
5, PinuCont, eco8, 33, 0.94, 1, 0.43, 0.26, 107.21, 113.73, 264.7, 
5, PinuCont, eco9, 2, 0.88, 1, 0.46, 0.28, 88.5, 131, 260, 
5, PinuCont, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
