Time,ROS,AgentName,CohortsKilled,DamagedSites,TotalBiomassMortality,MeanSeverity,ClimateThreshold1,ClimateThreshold2,
2, 1, WPBR_chronic, 1, 1, 497, 1, 27.08, 4.03, 
7, 1, WPBR_chronic, 14, 1, 4876, 1, 586.81, 4.35, 
11, 1, WPBR_chronic, 2, 1, 851, 1, 590.64, 0.95, 
12, 2, FirEngraver, 2509, 139, 1563994, 1, 591.01, 7.3, 
16, 2, FirEngraver, 3068, 154, 2073733, 1, 609.1, 6.79, 
17, 2, FirEngraver, 2659, 146, 1661285, 1, 608.23, 4.49, 
18, 3, FirEngraver, 4294, 242, 2812910, 1.02, 608.25, 3.47, 
19, 1, WPBR_chronic, 1, 1, 135, 1, 607.88, 1.21, 
23, 1, WPBR_chronic, 4, 1, 578, 1, 578.25, 5.22, 
24, 1, WPBR_chronic, 1, 1, 88, 1, 579.26, 2.75, 
26, 2, JeffreyPineBeetle, 1754, 268, 1022247, 1.64, 622.81, 4.37, 
26, 2, MountainPineBeetle, 1047, 216, 694122, 1.6, 622.81, 4.37, 
26, 1, FirEngraver, 1533, 86, 1029532, 1, 622.81, 4.37, 
26, 2, WPineBeetle, 3536, 490, 2187597, 2.88, 622.81, 4.37, 
27, 2, JeffreyPineBeetle, 1414, 215, 818509, 1.62, 620.97, 4.44, 
27, 1, MountainPineBeetle, 384, 93, 262935, 1, 620.97, 4.44, 
27, 1, FirEngraver, 1296, 78, 851256, 1, 620.97, 4.44, 
27, 3, WPineBeetle, 5170, 702, 3267046, 2.95, 620.97, 4.44, 
28, 1, JeffreyPineBeetle, 884, 127, 550103, 1, 621.19, 3.76, 
28, 3, MountainPineBeetle, 1125, 263, 765038, 2, 621.19, 3.76, 
28, 1, FirEngraver, 1563, 89, 1047917, 1, 621.19, 3.76, 
28, 1, WPineBeetle, 1602, 233, 1007969, 1.85, 621.19, 3.76, 
29, 1, JeffreyPineBeetle, 748, 119, 388844, 1, 621.14, 3.68, 
29, 1, MountainPineBeetle, 413, 88, 279391, 1, 621.14, 3.68, 
29, 1, FirEngraver, 1507, 91, 1041174, 1, 621.14, 3.68, 
29, 2, WPineBeetle, 3265, 478, 2137767, 2.81, 621.14, 3.68, 
30, 2, JeffreyPineBeetle, 1749, 274, 1070903, 1.65, 621.5, 3, 
30, 2, MountainPineBeetle, 750, 175, 505493, 1.58, 621.5, 3, 
30, 1, FirEngraver, 1008, 73, 621218, 1, 621.5, 3, 
30, 3, WPineBeetle, 4520, 662, 2881987, 2.93, 621.5, 3, 
31, 1, FirEngraver, 1288, 77, 894985, 1, 613.25, 4.18, 
32, 1, WPBR_chronic, 7, 1, 1082, 1, 609.47, 1.53, 
33, 1, FirEngraver, 1349, 84, 916692, 1, 608.35, 3.54, 
34, 1, FirEngraver, 1573, 99, 1095037, 1, 608.79, 3.36, 
35, 1, FirEngraver, 1542, 91, 1102003, 1, 609.14, 5.1, 
35, 1, WPBR_chronic, 8, 2, 2947, 1, 609.14, 5.1, 
36, 3, JeffreyPineBeetle, 2550, 385, 1458886, 2.03, 642.11, 8.36, 
36, 2, JeffreyPineBeetle, 912, 166, 549674, 1.96, 642.11, 8.36, 
36, 1, MountainPineBeetle, 454, 103, 349461, 1, 642.11, 8.36, 
