SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 1, 871, 0, 1, 67, 0, 8221, 6067894, 
2, 0, 0, 728, 0, 0, 56, 0, 0, 4151594, 
3, 1, 0, 1040, 1, 0, 80, 3138, 0, 6229746, 
4, 0, 0, 1032, 0, 0, 80, 0, 0, 6360400, 
5, 0, 1, 1040, 0, 1, 80, 0, 7064, 6135493, 
6, 0, 0, 936, 0, 0, 72, 0, 0, 5060599, 
7, 684, 2, 689, 1, 2, 53, 3540154, 7575, 3662088, 
8, 1, 0, 1040, 1, 0, 80, 4078, 0, 5483810, 
9, 1, 0, 1040, 1, 0, 80, 5757, 0, 5132029, 
10, 1, 0, 1040, 1, 0, 80, 2863, 0, 5269822, 
11, 2, 0, 793, 2, 0, 61, 1463, 0, 3578392, 
12, 297, 0, 689, 1, 0, 53, 1124911, 0, 2987633, 
13, 0, 0, 1040, 0, 0, 80, 0, 0, 4223829, 
14, 0, 1, 1040, 0, 1, 80, 0, 4572, 3973861, 
15, 0, 0, 884, 0, 0, 68, 0, 0, 3433742, 
16, 2, 0, 1031, 2, 0, 80, 13431, 0, 3919535, 
17, 1, 0, 741, 1, 0, 57, 3873, 0, 2287283, 
18, 0, 1, 793, 0, 1, 61, 0, 13059, 2672098, 
19, 538, 1, 1040, 1, 1, 80, 2357428, 6702, 3217299, 
20, 0, 0, 884, 0, 0, 68, 0, 0, 2898037, 
21, 0, 0, 988, 0, 0, 76, 0, 0, 3221219, 
22, 2, 0, 715, 1, 0, 55, 7979, 0, 2205851, 
23, 1, 0, 1040, 1, 0, 80, 1398, 0, 2888108, 
24, 0, 1, 1040, 0, 1, 80, 0, 10517, 2934765, 
25, 0, 2, 832, 0, 2, 64, 0, 15847, 2233705, 
26, 424, 0, 832, 1, 0, 64, 1321489, 0, 2413507, 
27, 0, 0, 650, 0, 0, 50, 0, 0, 1778059, 
28, 1, 0, 767, 1, 0, 59, 2365, 0, 2106090, 
29, 0, 0, 884, 0, 0, 68, 0, 0, 2490164, 
30, 0, 0, 923, 0, 0, 71, 0, 0, 2547639, 
31, 3525, 1, 468, 4, 1, 36, 10185571, 1635, 1121690, 
32, 1617, 0, 507, 2, 0, 39, 4834328, 0, 1149333, 
33, 0, 0, 975, 0, 0, 75, 0, 0, 2269144, 
34, 0, 0, 845, 0, 0, 65, 0, 0, 1862534, 
35, 0, 0, 781, 0, 0, 61, 0, 0, 1723605, 
36, 1, 0, 1040, 1, 0, 80, 5350, 0, 2570783, 
37, 896, 0, 650, 3, 0, 50, 2354930, 0, 1485319, 
38, 931, 1, 455, 1, 1, 35, 2035211, 425, 1035922, 
39, 1, 0, 858, 1, 0, 66, 3324, 0, 1704019, 
40, 0, 1, 1040, 0, 1, 80, 0, 2100, 2155375, 
41, 0, 1, 1027, 0, 1, 79, 0, 252, 2223442, 
