Time,ROS,AgentName,CohortsKilled,DamagedSites,TotalBiomassMortality,MeanSeverity,ClimateThreshold1,ClimateThreshold2,
6, 2, JeffreyPineBeetle, 1231, 211, 565108, 1.2, 623.87, 3.12, 
6, 3, MountainPineBeetle, 1242, 288, 413948, 1.9, 623.87, 3.12, 
6, 3, FirEngraver, 3021, 176, 1725000, 1.01, 623.87, 3.12, 
6, 2, WPineBeetle, 2842, 393, 1008524, 2.7, 623.87, 3.12, 
7, 2, JeffreyPineBeetle, 1310, 239, 564630, 1.23, 638.84, 6.43, 
7, 2, JeffreyPineBeetle, 871, 150, 395386, 1.86, 638.84, 6.43, 
7, 1, MountainPineBeetle, 324, 73, 110662, 1, 638.84, 6.43, 
7, 3, MountainPineBeetle, 1262, 302, 409962, 2.92, 638.84, 6.43, 
7, 2, FirEngraver, 2186, 131, 1321576, 1, 638.84, 6.43, 
7, 3, FirEngraver_Peak, 18826, 1265, 10632577, 2.02, 638.84, 6.43, 
7, 3, WPineBeetle, 4186, 571, 1541204, 2.92, 638.84, 6.43, 
9, 3, JeffreyPineBeetle, 1684, 300, 721929, 2.01, 649.29, 5.83, 
9, 3, JeffreyPineBeetle, 1199, 204, 525763, 2.02, 649.29, 5.83, 
9, 1, MountainPineBeetle, 406, 87, 140395, 1, 649.29, 5.83, 
9, 2, MountainPineBeetle, 780, 195, 276817, 2.23, 649.29, 5.83, 
9, 2, FirEngraver, 1956, 123, 1119917, 1, 649.29, 5.83, 
9, 3, FirEngraver_Peak, 17512, 1214, 9857110, 2.02, 649.29, 5.83, 
9, 1, WPBR_chronic, 1, 1, 37, 1, 649.29, 5.83, 
9, 2, WPineBeetle, 2479, 372, 928862, 2.67, 649.29, 5.83, 
10, 3, JeffreyPineBeetle, 2027, 356, 906864, 2, 651.41, 4.24, 
10, 2, JeffreyPineBeetle, 699, 120, 318594, 1.85, 651.41, 4.24, 
10, 2, MountainPineBeetle, 745, 172, 286458, 1.44, 651.41, 4.24, 
10, 3, FirEngraver, 2988, 183, 1750517, 1.03, 651.41, 4.24, 
