Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_AbieConc,CohortsHarvested_AbieMagn,CohortsHarvested_CaloDecu,CohortsHarvested_FX_R_SEED,CohortsHarvested_NOFX_R_SEED,CohortsHarvested_NOFX_NOR_SEED,CohortsHarvested_PinuAlbi,CohortsHarvested_PinuCont,CohortsHarvested_PinuJeff,CohortsHarvested_PinuLamb,CohortsHarvested_PinuMont,CohortsHarvested_PopuTrem,CohortsHarvested_TsugMert,CohortsHarvested_AcerMacr,CohortsHarvested_AescCali,CohortsHarvested_AlnuRhom,CohortsHarvested_ArbuMenz,CohortsHarvested_CornNutt,CohortsHarvested_JuniOcci,CohortsHarvested_LithDens,CohortsHarvested_PinuAtte,CohortsHarvested_PinuMono,CohortsHarvested_PinuPond,CohortsHarvested_PinuSabi,CohortsHarvested_PinuWash,CohortsHarvested_PseuMenz,CohortsHarvested_QuerChry,CohortsHarvested_QuerDoug,CohortsHarvested_QuerGarr,CohortsHarvested_QuerKell,CohortsHarvested_QuerWisl,CohortsHarvested_TaxuBrev,CohortsHarvested_TorrCali,CohortsHarvested_UmbeCali,BiomassHarvestedMg_AbieConc,BiomassHarvestedMg_AbieMagn,BiomassHarvestedMg_CaloDecu,BiomassHarvestedMg_FX_R_SEED,BiomassHarvestedMg_NOFX_R_SEED,BiomassHarvestedMg_NOFX_NOR_SEED,BiomassHarvestedMg_PinuAlbi,BiomassHarvestedMg_PinuCont,BiomassHarvestedMg_PinuJeff,BiomassHarvestedMg_PinuLamb,BiomassHarvestedMg_PinuMont,BiomassHarvestedMg_PopuTrem,BiomassHarvestedMg_TsugMert,BiomassHarvestedMg_AcerMacr,BiomassHarvestedMg_AescCali,BiomassHarvestedMg_AlnuRhom,BiomassHarvestedMg_ArbuMenz,BiomassHarvestedMg_CornNutt,BiomassHarvestedMg_JuniOcci,BiomassHarvestedMg_LithDens,BiomassHarvestedMg_PinuAtte,BiomassHarvestedMg_PinuMono,BiomassHarvestedMg_PinuPond,BiomassHarvestedMg_PinuSabi,BiomassHarvestedMg_PinuWash,BiomassHarvestedMg_PseuMenz,BiomassHarvestedMg_QuerChry,BiomassHarvestedMg_QuerDoug,BiomassHarvestedMg_QuerGarr,BiomassHarvestedMg_QuerKell,BiomassHarvestedMg_QuerWisl,BiomassHarvestedMg_TaxuBrev,BiomassHarvestedMg_TorrCali,BiomassHarvestedMg_UmbeCali,
1, 1, PIF_CC_28, 27, 1386, 0, 17136.2628504395, 326, 179, 162, 0, 0, 0, 5, 13, 104, 75, 9, 0, 22, 1, 2, 6, 10, 0, 6, 0, 0, 3, 177, 6, 0, 223, 7, 3, 0, 39, 8, 0, 0, 0, 6173.07481817007, 2528.52840744257, 1430.39520421028, 0, 0, 0, 33.0480000972748, 171.525600504875, 1060.16040312052, 403.509601187706, 55.6956001639366, 0, 192.942000567913, 3.75840001106262, 7.35480002164841, 37.389600110054, 51.321600151062, 0, 99.5328002929687, 0, 0, 14.9364000439644, 1368.77040402889, 26.7300000786781, 0, 2954.84760869741, 46.1700001358986, 19.0836000561714, 0, 413.100001215935, 44.3880001306534, 0, 0, 0, 
1, 3, PIF_CC_30, 22, 681, 0, 10154.095229888, 235, 65, 23, 0, 0, 0, 0, 0, 204, 10, 3, 0, 14, 0, 0, 1, 0, 1, 7, 0, 0, 2, 59, 15, 0, 6, 7, 2, 0, 25, 2, 0, 0, 0, 4473.82441316843, 735.480002164841, 159.60240046978, 0, 0, 0, 0, 0, 3599.60761059523, 55.3068001627922, 19.5048000574112, 0, 150.336000442505, 0, 0, 7.35480002164841, 0, 3.36960000991821, 63.3420001864433, 0, 0, 15.6492000460625, 428.263201260567, 127.461600375175, 0, 24.0408000707626, 29.1600000858307, 8.91000002622604, 0, 243.874800717831, 9.00720002651214, 0, 0, 0, 
1, 5, PIF_CC_32, 13, 659, 0, 10983.1464323282, 223, 217, 17, 0, 0, 0, 2, 22, 127, 14, 10, 0, 5, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 6, 3, 0, 0, 0, 4726.64161391258, 3638.90881071091, 86.1192002534866, 0, 0, 0, 8.16480002403259, 168.156000494957, 1891.35000556707, 68.9796002030373, 58.2228001713753, 0, 29.3220000863075, 0, 0, 0, 0, 0, 208.55880061388, 0, 0, 0, 18.079200053215, 0, 0, 0, 0, 4.11480001211166, 0, 61.2036001801491, 15.3252000451088, 0, 0, 0, 
1, 7, PIF_CC_34, 29, 1423, 0, 21861.835264349, 429, 446, 55, 1, 0, 0, 2, 28, 252, 18, 12, 0, 17, 0, 0, 1, 0, 0, 6, 0, 0, 0, 48, 0, 0, 4, 23, 11, 2, 42, 26, 0, 0, 0, 8285.32802438736, 7912.89002329111, 344.088001012802, 3.85560001134872, 0, 0, 8.87760002613068, 209.077200615406, 3471.109210217, 79.1532002329826, 98.852400290966, 0, 189.410400557518, 0, 0, 4.82760001420975, 0, 0, 39.0420001149178, 0, 0, 0, 242.352000713348, 0, 0, 20.3796000599861, 203.407200598717, 54.2376001596451, 10.5624000310898, 529.578001558781, 154.807200455666, 0, 0, 0, 
1, 2, PIF_PCT_29, 31, 1181, 76, 23133.470468092, 555, 123, 196, 0, 0, 0, 0, 0, 10, 14, 3, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 49, 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 14761.0512434483, 1301.24880383015, 1846.80000543594, 0, 0, 0, 0, 0, 83.2032002449036, 65.9340001940727, 21.4164000630379, 0, 12.7656000375748, 0, 0, 0, 0, 0, 26.4384000778198, 0, 0, 0, 346.842001020908, 0, 0, 4667.7708137393, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 4, PIF_PCT_31, 29, 302, 155, 3799.93681118488, 48, 20, 42, 0, 0, 0, 0, 0, 46, 3, 1, 0, 23, 0, 0, 0, 0, 0, 16, 0, 0, 0, 89, 16, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 357.242401051521, 104.587200307846, 255.150000751019, 0, 0, 0, 0, 0, 266.392800784111, 20.5740000605583, 3.04560000896454, 0, 174.117600512505, 0, 0, 0, 0, 0, 242.708400714397, 0, 0, 0, 802.321202361584, 135.885600399971, 0, 1437.91200423241, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 6, PIF_PCT_33, 18, 685, 116, 14613.534043014, 280, 368, 5, 0, 0, 0, 11, 26, 56, 1, 16, 0, 26, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 5097.55681500435, 7481.19242202044, 35.7372001051903, 0, 0, 0, 189.313200557232, 281.847600829601, 702.205202066898, 3.04560000896454, 85.3740002512932, 0, 668.800801968575, 0, 0, 0, 0, 0, 13.8024000406265, 0, 0, 0, 9.03960002660751, 34.1820001006126, 0, 11.4372000336647, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 8, PIF_PCT_35, 36, 1420, 181, 31749.3108934522, 573, 768, 46, 0, 0, 0, 4, 20, 87, 7, 51, 0, 14, 0, 0, 0, 0, 0, 11, 0, 0, 0, 9, 3, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 11423.3328336239, 18453.6144543171, 277.117200815678, 0, 0, 0, 23.1336000680923, 103.194000303745, 768.560402262211, 45.2304001331329, 357.372001051903, 0, 91.2384002685547, 0, 0, 0, 0, 0, 72.9324002146721, 0, 0, 0, 70.016400206089, 19.6020000576973, 0, 43.9668001294136, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 31, FED_SGH_10, 51, 1993, 528, 26745.0660787225, 356, 11, 429, 0, 0, 0, 0, 0, 14, 54, 1, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450, 9, 0, 1187, 0, 0, 0, 0, 0, 0, 0, 0, 3798.31681118011, 57.9636001706123, 3828.93481127024, 0, 0, 0, 0, 0, 88.6788002610207, 141.037200415134, 3.46680001020432, 0, 67.9428001999855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2995.38000881672, 48.4704001426697, 0, 15714.8748462558, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 31, PNIF_SG_10, 18, 739, 204, 10007.8740294576, 229, 2, 174, 0, 0, 0, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 8, 0, 334, 0, 0, 0, 0, 0, 0, 0, 0, 3409.41961003542, 10.2708000302315, 1457.15760428905, 0, 0, 0, 0, 0, 62.8884001851082, 35.2836001038551, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1126.7100033164, 54.9828001618385, 0, 3851.16121133566, 0, 0, 0, 0, 0, 0, 0, 0, 
