SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 0, 4480, 0, 0, 320, 0, 0, 28274385, 
2, 0, 0, 2912, 0, 0, 208, 0, 0, 17312268, 
3, 1, 0, 4470, 1, 0, 320, 6514, 0, 23944300, 
4, 0, 0, 4480, 0, 0, 320, 0, 0, 24864804, 
5, 1, 0, 4480, 1, 0, 320, 11651, 0, 23151991, 
6, 0, 0, 4480, 0, 0, 320, 0, 0, 20376559, 
7, 0, 0, 4480, 0, 0, 320, 0, 0, 19405915, 
8, 0, 1, 4447, 0, 1, 320, 0, 11284, 18014742, 
9, 1, 0, 4469, 1, 0, 320, 5145, 0, 16612908, 
10, 0, 0, 4479, 0, 0, 320, 0, 0, 15607732, 
11, 0, 0, 4472, 0, 0, 320, 0, 0, 13376346, 
12, 1, 0, 4471, 1, 0, 320, 1986, 0, 13040782, 
13, 3, 0, 4468, 1, 0, 320, 11742, 0, 12683278, 
14, 0, 0, 4480, 0, 0, 320, 0, 0, 12821378, 
15, 1, 0, 4469, 1, 0, 320, 2609, 0, 11999446, 
16, 0, 0, 4480, 0, 0, 320, 0, 0, 9610904, 
17, 0, 1, 4471, 0, 1, 320, 0, 2355, 10052054, 
18, 0, 1, 4480, 0, 1, 320, 0, 1338, 9460833, 
19, 0, 0, 4480, 0, 0, 320, 0, 0, 9591143, 
20, 0, 0, 4463, 0, 0, 320, 0, 0, 8908207, 
21, 0, 1, 4473, 0, 1, 320, 0, 2276, 8266665, 
22, 0, 0, 2576, 0, 0, 184, 0, 0, 4506540, 
23, 1, 0, 4480, 1, 0, 320, 3117, 0, 8433396, 
24, 7, 0, 3732, 1, 0, 268, 26149, 0, 6599556, 
25, 1, 0, 4190, 1, 0, 300, 3194, 0, 7284866, 
26, 1, 0, 4480, 1, 0, 320, 2106, 0, 6774907, 
27, 966, 1, 2576, 3, 1, 184, 2311257, 898, 4020973, 
28, 398, 1, 3855, 2, 1, 276, 1178625, 569, 5972588, 
29, 1, 1, 2734, 1, 1, 196, 2161, 1071, 3809834, 
30, 0, 1, 4023, 0, 1, 288, 0, 5819, 5923374, 
31, 0, 0, 2968, 0, 0, 212, 0, 0, 3918321, 
32, 0, 0, 3920, 0, 0, 280, 0, 0, 5836181, 
33, 10, 0, 1960, 2, 0, 140, 36064, 0, 2974060, 
34, 2, 0, 3179, 2, 0, 228, 3727, 0, 4573582, 
35, 1, 0, 3752, 1, 0, 268, 1238, 0, 5327307, 
36, 0, 2, 4467, 0, 2, 320, 0, 4082, 6200252, 
37, 2, 1, 2723, 2, 1, 196, 4686, 8402, 3635067, 
38, 0, 1, 4480, 0, 1, 320, 0, 3332, 5660208, 
39, 2344, 0, 3852, 3, 0, 276, 5513227, 0, 5448355, 
40, 0, 0, 3136, 0, 0, 224, 0, 0, 3943273, 
41, 1, 3, 2632, 1, 3, 188, 4098, 13314, 2883929, 
